ticker,branch_id
BKLN,18d RSI BKLN LT42 - L BKLN
BSCQ,3d RSI BSCQ LT55 - L BSCQ
BSCR,3d RSI BSCR LT20 - L BSCR
DLN,3d RSI DLN LT13 - L DLN
DRV,4d RSI DRV LT16 - L DRV
FAZ,13d RSI FAZ LT32 - L FAZ
FIXD,3d RSI FIXD LT13 - L FIXD
FNDB,5d RSI FNDB LT18 - L FNDB
FPEI,21d RSI FPEI LT38 - L FPEI
FTSL,14d RSI FTSL LT39 - L FTSL
FTXL,8d RSI FTXL LT30 - L FTXL
FTXO,11d RSI FTXO LT24 - L FTXO
FXU,5d RSI FXU LT62 - L FXU
GOVI,5d RSI GOVI LT21 - L GOVI
GSIE,3d RSI GSIE LT13 - L GSIE
GSY,3d RSI GSY LT70 - L GSY
GTO,3d RSI GTO LT16 - L GTO
IDMO,3d RSI IDMO LT26 - L IDMO
IHDG,19d RSI IHDG LT40 - L IHDG
KIE,4d RSI KIE LT29 - L KIE
PCEF,5d RSI PCEF LT16 - L PCEF
PCY,3d RSI PCY LT19 - L PCY
PWZ,3d RSI PWZ LT45 - L PWZ
RWM,4d RSI RWM LT13 - L RWM
TDIV,5d RSI TDIV LT27 - L TDIV
USFR,3d RSI USFR LT69 - L USFR
VOOG,7d RSI VOOG LT21 - L VOOG
XLG,5d RSI XLG LT10 - L XLG
XLY,20d RSI XLY LT33 - L XLY
