ticker,old_branches,new_branches
DDM,20d RSI DDM LT34 - L DDM,21d RSI DDM LT35 - L DDM
DRV,21d RSI DRV LT36 - L DRV,5d RSI DRV LT21 - L DRV
FGD,5d RSI FGD LT12 - L FGD,13d RSI FGD LT30 - L FGD
FNDB,6d RSI FNDB LT17 - L FNDB,12d RSI FNDB LT30 - L FNDB
FNDX,9d RSI FNDX LT25 - L FNDX,6d RSI FNDX LT16 - L FNDX
FPE,20d RSI FPE LT24 - L FPE,11d RSI FPE LT16 - L FPE
FPEI,5d RSI FPEI LT10 - L FPEI,6d RSI FPEI LT10 - L FPEI
FTGC,4d RSI FTGC LT11 - L FTGC,11d RSI FTGC LT28 - L FTGC
FTXO,15d RSI FTXO LT33 - L FTXO,16d RSI FTXO LT34 - L FTXO
FTXR,5d RSI FTXR LT14 - L FTXR,14d RSI FTXR LT31 - L FTXR
FVD,10d RSI FVD LT24 - L FVD,5d RSI FVD LT11 - L FVD
FXN,15d RSI FXN LT35 - L FXN,14d RSI FXN LT35 - L FXN
GOVI,8d RSI GOVI LT20 - L GOVI,6d RSI GOVI LT14 - L GOVI
IHDG,14d RSI IHDG LT32 - L IHDG,4d RSI IHDG LT12 - L IHDG
KBE,11d RSI KBE LT29 - L KBE,12d RSI KBE LT30 - L KBE
KBWB,17d RSI KBWB LT33 - L KBWB,19d RSI KBWB LT34 - L KBWB
KBWD,20d RSI KBWD LT31 - L KBWD,18d RSI KBWD LT30 - L KBWD
PCEF,19d RSI PCEF LT27 - L PCEF,17d RSI PCEF LT26 - L PCEF
PGF,7d RSI PGF LT16 - L PGF,5d RSI PGF LT11 - L PGF
PXF,6d RSI PXF LT22 - L PXF,6d RSI PXF LT23 - L PXF
QYLD,18d RSI QYLD LT34 - L QYLD,9d RSI QYLD LT19 - L QYLD
RLY,19d RSI RLY LT35 - L RLY,21d RSI RLY LT36 - L RLY
RWM,4d RSI RWM LT13 - L RWM,5d RSI RWM LT18 - L RWM
SCHA,21d RSI SCHA LT33 - L SCHA,19d RSI SCHA LT32 - L SCHA
SECT,18d RSI SECT LT35 - L SECT,19d RSI SECT LT36 - L SECT
SPYD,3d RSI SPYD LT10 - L SPYD,8d RSI SPYD LT23 - L SPYD
SPYG,21d RSI SPYG LT37 - L SPYG,21d RSI SPYG LT35 - L SPYG
SPYV,7d RSI SPYV LT19 - L SPYV,11d RSI SPYV LT27 - L SPYV
SSO,17d RSI SSO LT34 - L SSO,20d RSI SSO LT37 - L SSO
TZA,11d RSI TZA LT30 - L TZA,4d RSI TZA LT14 - L TZA
VRP,5d RSI VRP LT10 - L VRP,21d RSI VRP LT25 - L VRP
WTPI,20d RSI WTPI LT34 - L WTPI,21d RSI WTPI LT34 - L WTPI
XLF,13d RSI XLF LT31 - L XLF,12d RSI XLF LT30 - L XLF
XLU,10d RSI XLU LT22 - L XLU,11d RSI XLU LT24 - L XLU
XYLD,15d RSI XYLD LT27 - L XYLD,16d RSI XYLD LT28 - L XYLD
