ticker,branch_id
IEMG,3d RSI IEMG LT12 - L IEMG
IEUR,12d RSI IEUR LT38 - L IEUR
IEV,14d RSI IEV LT39 - L IEV
IGEB,6d RSI IGEB LT49 - L IGEB
IGF,11d RSI IGF LT63 - L IGF
IGIB,15d RSI IGIB LT60 - L IGIB
IGLD,20d RSI IGLD LT49 - L IGLD
IGOV,6d RSI IGOV LT19 - L IGOV
IGSB,6d RSI IGSB LT32 - L IGSB
IHDG,4d RSI IHDG LT26 - L IHDG
IHE,4d RSI IHE LT24 - L IHE
IJS,5d RSI IJS LT14 - L IJS
IMTM,3d RSI IMTM LT18 - L IMTM
INDY,6d RSI INDY LT19 - L INDY
IOO,6d RSI IOO LT29 - L IOO
IPAC,14d RSI IPAC LT42 - L IPAC
IQDF,20d RSI IQDF LT44 - L IQDF
IQLT,3d RSI IQLT LT17 - L IQLT
ITA,4d RSI ITA LT13 - L ITA
ITB,4d RSI ITB LT12 - L ITB
IVLU,15d RSI IVLU LT46 - L IVLU
IVW,9d RSI IVW LT28 - L IVW
IWP,15d RSI IWP LT30 - L IWP
IWV,6d RSI IWV LT21 - L IWV
IXUS,21d RSI IXUS LT43 - L IXUS
IYC,15d RSI IYC LT31 - L IYC
IYG,4d RSI IYG LT18 - L IYG
IYH,5d RSI IYH LT29 - L IYH
JDST,4d RSI JDST LT11 - L JDST
JETS,4d RSI JETS LT14 - L JETS
JIVE,19d RSI JIVE LT46 - L JIVE
JPIB,3d RSI JPIB LT10 - L JPIB
JPST,3d RSI JPST LT62 - L JPST
KBWD,20d RSI KBWD LT42 - L KBWD
KIE,4d RSI KIE LT30 - L KIE
LMBS,19d RSI LMBS LT56 - L LMBS
LVHI,20d RSI LVHI LT53 - L LVHI
MCHI,11d RSI MCHI LT33 - L MCHI
MGK,4d RSI MGK LT10 - L MGK
MLPA,3d RSI MLPA LT20 - L MLPA
MLPX,17d RSI MLPX LT47 - L MLPX
MMIT,3d RSI MMIT LT11 - L MMIT
MOAT,4d RSI MOAT LT26 - L MOAT
MOO,3d RSI MOO LT10 - L MOO
MUNI,5d RSI MUNI LT17 - L MUNI
NAIL,6d RSI NAIL LT19 - L NAIL
NEAR,5d RSI NEAR LT38 - L NEAR
NUGT,3d RSI NUGT LT25 - L NUGT
NULG,3d RSI NULG LT12 - L NULG
NULV,6d RSI NULV LT27 - L NULV
OUNZ,6d RSI OUNZ LT35 - L OUNZ
PALL,20d RSI PALL LT43 - L PALL
PAVE,13d RSI PAVE LT31 - L PAVE
PCEF,6d RSI PCEF LT18 - L PCEF
PCY,3d RSI PCY LT18 - L PCY
PEY,3d RSI PEY LT11 - L PEY
PFF,5d RSI PFF LT14 - L PFF
PFFD,21d RSI PFFD LT35 - L PFFD
PFXF,21d RSI PFXF LT38 - L PFXF
PGF,20d RSI PGF LT36 - L PGF
PGX,21d RSI PGX LT35 - L PGX
PICK,19d RSI PICK LT44 - L PICK
PPA,15d RSI PPA LT41 - L PPA
PPH,20d RSI PPH LT42 - L PPH
PPLT,6d RSI PPLT LT36 - L PPLT
PREF,17d RSI PREF LT44 - L PREF
PSK,19d RSI PSK LT35 - L PSK
PSLV,17d RSI PSLV LT58 - L PSLV
PWZ,3d RSI PWZ LT26 - L PWZ
PXF,18d RSI PXF LT43 - L PXF
QLTA,5d RSI QLTA LT23 - L QLTA
RING,3d RSI RING LT26 - L RING
RPG,3d RSI RPG LT16 - L RPG
RPV,12d RSI RPV LT38 - L RPV
RSPN,3d RSI RSPN LT14 - L RSPN
RSPS,7d RSI RSPS LT20 - L RSPS
RWM,4d RSI RWM LT15 - L RWM
