ticker,branch_id
AAXJ,13d RSI AAXJ LT37 - L AAXJ
ACWV,16d RSI ACWV LT56 - L ACWV
ACWX,17d RSI ACWX LT41 - L ACWX
AGG,4d RSI AGG LT21 - L AGG
ANGL,4d RSI ANGL LT19 - L ANGL
AOA,3d RSI AOA LT13 - L AOA
AOK,3d RSI AOK LT26 - L AOK
AOM,3d RSI AOM LT19 - L AOM
AOR,3d RSI AOR LT15 - L AOR
ARKK,15d RSI ARKK LT33 - L ARKK
ARKW,19d RSI ARKW LT35 - L ARKW
BAR,7d RSI BAR LT37 - L BAR
BBHY,3d RSI BBHY LT17 - L BBHY
BBLU,3d RSI BBLU LT13 - L BBLU
BIV,3d RSI BIV LT13 - L BIV
BIZD,5d RSI BIZD LT21 - L BIZD
BLV,3d RSI BLV LT11 - L BLV
BND,3d RSI BND LT16 - L BND
BNDX,4d RSI BNDX LT15 - L BNDX
BOIL,16d RSI BOIL LT34 - L BOIL
BOND,15d RSI BOND LT40 - L BOND
BOTZ,4d RSI BOTZ LT13 - L BOTZ
BSV,3d RSI BSV LT16 - L BSV
BWX,4d RSI BWX LT12 - L BWX
BWZ,10d RSI BWZ LT29 - L BWZ
CEF,17d RSI CEF LT51 - L CEF
CIBR,10d RSI CIBR LT32 - L CIBR
CMF,4d RSI CMF LT12 - L CMF
COLO,3d RSI COLO LT10 - L COLO
CORN,21d RSI CORN LT38 - L CORN
COWZ,13d RSI COWZ LT39 - L COWZ
CQQQ,14d RSI CQQQ LT36 - L CQQQ
CWEB,13d RSI CWEB LT30 - L CWEB
CWI,21d RSI CWI LT43 - L CWI
CXSE,13d RSI CXSE LT41 - L CXSE
DBB,20d RSI DBB LT40 - L DBB
DBEF,15d RSI DBEF LT42 - L DBEF
DDM,8d RSI DDM LT26 - L DDM
DDWM,21d RSI DDWM LT53 - L DDWM
DEM,3d RSI DEM LT10 - L DEM
DES,3d RSI DES LT12 - L DES
DGRO,3d RSI DGRO LT12 - L DGRO
DGRW,3d RSI DGRW LT11 - L DGRW
DGS,4d RSI DGS LT16 - L DGS
DIA,8d RSI DIA LT27 - L DIA
DIVI,19d RSI DIVI LT42 - L DIVI
DIVO,3d RSI DIVO LT17 - L DIVO
DOG,20d RSI DOG LT38 - L DOG
DRIP,21d RSI DRIP LT38 - L DRIP
DULL,6d RSI DULL LT11 - L DULL
DUST,13d RSI DUST LT21 - L DUST
DVYE,16d RSI DVYE LT46 - L DVYE
DXJ,17d RSI DXJ LT44 - L DXJ
EAGL,19d RSI EAGL LT37 - L EAGL
EBND,6d RSI EBND LT28 - L EBND
ECH,4d RSI ECH LT14 - L ECH
EDIV,6d RSI EDIV LT33 - L EDIV
EDV,4d RSI EDV LT16 - L EDV
EDZ,21d RSI EDZ LT31 - L EDZ
EEM,3d RSI EEM LT10 - L EEM
EEMA,15d RSI EEMA LT38 - L EEMA
EEMV,15d RSI EEMV LT44 - L EEMV
EFA,19d RSI EFA LT42 - L EFA
EFG,3d RSI EFG LT10 - L EFG
EFV,17d RSI EFV LT45 - L EFV
EIDO,12d RSI EIDO LT30 - L EIDO
EIS,4d RSI EIS LT17 - L EIS
EMB,3d RSI EMB LT22 - L EMB
EMGF,12d RSI EMGF LT38 - L EMGF
EMHY,3d RSI EMHY LT26 - L EMHY
EMLC,5d RSI EMLC LT28 - L EMLC
EMLP,19d RSI EMLP LT50 - L EMLP
EMXC,3d RSI EMXC LT13 - L EMXC
EPHE,9d RSI EPHE LT28 - L EPHE
EPI,4d RSI EPI LT12 - L EPI
EPOL,21d RSI EPOL LT48 - L EPOL
EPP,9d RSI EPP LT32 - L EPP
EPU,15d RSI EPU LT51 - L EPU
ERY,18d RSI ERY LT37 - L ERY
ESGD,20d RSI ESGD LT42 - L ESGD
ESGE,3d RSI ESGE LT11 - L ESGE
EUFN,20d RSI EUFN LT49 - L EUFN
EWC,5d RSI EWC LT27 - L EWC
EWD,3d RSI EWD LT10 - L EWD
EWG,19d RSI EWG LT45 - L EWG
EWH,21d RSI EWH LT48 - L EWH
EWI,21d RSI EWI LT51 - L EWI
EWJ,17d RSI EWJ LT42 - L EWJ
EWM,4d RSI EWM LT13 - L EWM
EWP,21d RSI EWP LT62 - L EWP
EWQ,20d RSI EWQ LT44 - L EWQ
EWS,10d RSI EWS LT41 - L EWS
EWT,3d RSI EWT LT12 - L EWT
EWU,8d RSI EWU LT39 - L EWU
EWW,3d RSI EWW LT10 - L EWW
EWZS,18d RSI EWZS LT40 - L EWZS
EZA,18d RSI EZA LT41 - L EZA
EZU,20d RSI EZU LT47 - L EZU
FALN,4d RSI FALN LT15 - L FALN
FAS,3d RSI FAS LT15 - L FAS
FBND,21d RSI FBND LT44 - L FBND
FBT,5d RSI FBT LT32 - L FBT
FDD,18d RSI FDD LT48 - L FDD
FDN,9d RSI FDN LT25 - L FDN
FDT,17d RSI FDT LT47 - L FDT
FDVV,3d RSI FDVV LT10 - L FDVV
FEMB,9d RSI FEMB LT67 - L FEMB
FEZ,21d RSI FEZ LT45 - L FEZ
FFTY,3d RSI FFTY LT17 - L FFTY
FGD,20d RSI FGD LT50 - L FGD
FHLC,4d RSI FHLC LT26 - L FHLC
FIDU,3d RSI FIDU LT17 - L FIDU
FLCH,11d RSI FLCH LT33 - L FLCH
FLCO,12d RSI FLCO LT37 - L FLCO
FLGB,7d RSI FLGB LT38 - L FLGB
FLJP,17d RSI FLJP LT42 - L FLJP
FLKR,3d RSI FLKR LT14 - L FLKR
FLMI,3d RSI FLMI LT11 - L FLMI
FLOT,21d RSI FLOT LT68 - L FLOT
FLRN,20d RSI FLRN LT63 - L FLRN
FLTR,21d RSI FLTR LT55 - L FLTR
FLTW,3d RSI FLTW LT15 - L FLTW
FMB,4d RSI FMB LT14 - L FMB
FNCL,3d RSI FNCL LT14 - L FNCL
FNDC,7d RSI FNDC LT23 - L FNDC
FNDE,11d RSI FNDE LT35 - L FNDE
FNDF,18d RSI FNDF LT42 - L FNDF
FPE,13d RSI FPE LT41 - L FPE
FSTA,5d RSI FSTA LT22 - L FSTA
FTEC,5d RSI FTEC LT17 - L FTEC
FTSM,15d RSI FTSM LT69 - L FTSM
FTXR,3d RSI FTXR LT10 - L FTXR
FUTY,3d RSI FUTY LT58 - L FUTY
FXE,11d RSI FXE LT37 - L FXE
FXF,6d RSI FXF LT24 - L FXF
FXI,15d RSI FXI LT42 - L FXI
FXO,3d RSI FXO LT15 - L FXO
FXR,9d RSI FXR LT23 - L FXR
FXY,4d RSI FXY LT14 - L FXY
GDX,18d RSI GDX LT59 - L GDX
GDXJ,21d RSI GDXJ LT45 - L GDXJ
GEM,3d RSI GEM LT12 - L GEM
GIGB,17d RSI GIGB LT40 - L GIGB
GLD,7d RSI GLD LT37 - L GLD
GLL,6d RSI GLL LT10 - L GLL
GLTR,17d RSI GLTR LT52 - L GLTR
GOVT,11d RSI GOVT LT38 - L GOVT
GREK,20d RSI GREK LT58 - L GREK
GRID,3d RSI GRID LT10 - L GRID
GSLC,4d RSI GSLC LT14 - L GSLC
GVAL,3d RSI GVAL LT37 - L GVAL
GVI,4d RSI GVI LT20 - L GVI
HACK,13d RSI HACK LT33 - L HACK
HDEF,21d RSI HDEF LT58 - L HDEF
HDV,18d RSI HDV LT50 - L HDV
HEFA,16d RSI HEFA LT42 - L HEFA
HEWJ,16d RSI HEWJ LT44 - L HEWJ
HFXI,20d RSI HFXI LT46 - L HFXI
HTRB,3d RSI HTRB LT16 - L HTRB
HYD,4d RSI HYD LT13 - L HYD
HYDB,15d RSI HYDB LT43 - L HYDB
HYG,3d RSI HYG LT17 - L HYG
HYLB,3d RSI HYLB LT18 - L HYLB
HYLS,3d RSI HYLS LT11 - L HYLS
HYMB,4d RSI HYMB LT11 - L HYMB
HYS,18d RSI HYS LT48 - L HYS
IAGG,4d RSI IAGG LT15 - L IAGG
IAI,9d RSI IAI LT27 - L IAI
IAT,5d RSI IAT LT14 - L IAT
IAU,7d RSI IAU LT37 - L IAU
IBDR,3d RSI IBDR LT50 - L IBDR
IBDS,3d RSI IBDS LT19 - L IBDS
IBND,5d RSI IBND LT17 - L IBND
ICOW,19d RSI ICOW LT51 - L ICOW
ICSH,9d RSI ICSH LT66 - L ICSH
IDEV,19d RSI IDEV LT42 - L IDEV
IDV,21d RSI IDV LT60 - L IDV
IDX,5d RSI IDX LT14 - L IDX
IEF,3d RSI IEF LT13 - L IEF
IEFA,21d RSI IEFA LT43 - L IEFA
IEI,3d RSI IEI LT14 - L IEI
IEMG,3d RSI IEMG LT12 - L IEMG
IEUR,12d RSI IEUR LT38 - L IEUR
IEV,14d RSI IEV LT39 - L IEV
IGEB,6d RSI IGEB LT49 - L IGEB
IGF,11d RSI IGF LT63 - L IGF
IGIB,15d RSI IGIB LT60 - L IGIB
IGLB,5d RSI IGLB LT20 - L IGLB
IGM,8d RSI IGM LT24 - L IGM
IGOV,6d RSI IGOV LT19 - L IGOV
IGSB,6d RSI IGSB LT32 - L IGSB
IGV,4d RSI IGV LT13 - L IGV
IHE,4d RSI IHE LT24 - L IHE
IHF,15d RSI IHF LT31 - L IHF
IHI,12d RSI IHI LT36 - L IHI
IJJ,3d RSI IJJ LT12 - L IJJ
IJS,5d RSI IJS LT14 - L IJS
ILF,3d RSI ILF LT11 - L ILF
IMTM,3d RSI IMTM LT18 - L IMTM
INDA,15d RSI INDA LT30 - L INDA
INDY,6d RSI INDY LT19 - L INDY
