ticker,branch_id
DFEN,19d RSI DFEN LT40 - L DFEN
DFJ,20d RSI DFJ LT41 - L DFJ
DFNL,4d RSI DFNL LT14 - L DFNL
DGP,16d RSI DGP LT46 - L DGP
DGRE,12d RSI DGRE LT41 - L DGRE
DGRO,3d RSI DGRO LT11 - L DGRO
DGRS,5d RSI DGRS LT18 - L DGRS
DGRW,4d RSI DGRW LT16 - L DGRW
DGT,3d RSI DGT LT11 - L DGT
DHS,20d RSI DHS LT40 - L DHS
DIAL,3d RSI DIAL LT10 - L DIAL
DIG,10d RSI DIG LT30 - L DIG
DIM,5d RSI DIM LT23 - L DIM
DINT,4d RSI DINT LT15 - L DINT
DIV,7d RSI DIV LT30 - L DIV
DIVB,3d RSI DIVB LT10 - L DIVB
DIVO,6d RSI DIVO LT25 - L DIVO
DJD,15d RSI DJD LT38 - L DJD
DJP,20d RSI DJP LT48 - L DJP
DLN,8d RSI DLN LT28 - L DLN
DLS,3d RSI DLS LT10 - L DLS
DNL,3d RSI DNL LT10 - L DNL
DOL,4d RSI DOL LT24 - L DOL
DON,10d RSI DON LT30 - L DON
DRSK,3d RSI DRSK LT10 - L DRSK
DRV,4d RSI DRV LT16 - L DRV
DSI,14d RSI DSI LT32 - L DSI
DSTL,3d RSI DSTL LT16 - L DSTL
DTD,3d RSI DTD LT15 - L DTD
DTEC,7d RSI DTEC LT18 - L DTEC
DTH,3d RSI DTH LT17 - L DTH
DUG,17d RSI DUG LT36 - L DUG
DULL,6d RSI DULL LT10 - L DULL
DUSA,4d RSI DUSA LT13 - L DUSA
DUSL,7d RSI DUSL LT24 - L DUSL
DVOL,4d RSI DVOL LT20 - L DVOL
DVY,20d RSI DVY LT39 - L DVY
DVYE,17d RSI DVYE LT46 - L DVYE
DWAS,4d RSI DWAS LT14 - L DWAS
DWLD,4d RSI DWLD LT10 - L DWLD
DWM,3d RSI DWM LT11 - L DWM
DWSH,8d RSI DWSH LT25 - L DWSH
DWX,8d RSI DWX LT32 - L DWX
DXJ,20d RSI DXJ LT44 - L DXJ
EAGG,4d RSI EAGG LT20 - L EAGG
EBIZ,3d RSI EBIZ LT10 - L EBIZ
EBND,6d RSI EBND LT27 - L EBND
ECH,17d RSI ECH LT39 - L ECH
ECNS,17d RSI ECNS LT35 - L ECNS
ECON,11d RSI ECON LT36 - L ECON
EDEN,17d RSI EDEN LT32 - L EDEN
EDIV,5d RSI EDIV LT27 - L EDIV
EDOW,3d RSI EDOW LT10 - L EDOW
EELV,11d RSI EELV LT43 - L EELV
EEM,14d RSI EEM LT38 - L EEM
EEMS,6d RSI EEMS LT27 - L EEMS
EEMV,19d RSI EEMV LT45 - L EEMV
EEMX,3d RSI EEMX LT11 - L EEMX
EES,10d RSI EES LT22 - L EES
EET,3d RSI EET LT10 - L EET
EEV,20d RSI EEV LT30 - L EEV
EFA,14d RSI EFA LT36 - L EFA
EFAS,5d RSI EFAS LT24 - L EFAS
EFAX,3d RSI EFAX LT12 - L EFAX
EFG,20d RSI EFG LT38 - L EFG
EFNL,20d RSI EFNL LT44 - L EFNL
EFO,18d RSI EFO LT40 - L EFO
EFV,15d RSI EFV LT43 - L EFV
EFZ,18d RSI EFZ LT35 - L EFZ
EIDO,11d RSI EIDO LT29 - L EIDO
EINC,17d RSI EINC LT35 - L EINC
EIRL,3d RSI EIRL LT10 - L EIRL
ELD,3d RSI ELD LT16 - L ELD
EMCB,21d RSI EMCB LT45 - L EMCB
EMCS,14d RSI EMCS LT38 - L EMCS
EMHY,17d RSI EMHY LT44 - L EMHY
EMLC,4d RSI EMLC LT22 - L EMLC
EMLP,6d RSI EMLP LT31 - L EMLP
EMMF,4d RSI EMMF LT20 - L EMMF
EMQQ,11d RSI EMQQ LT25 - L EMQQ
EMTL,5d RSI EMTL LT30 - L EMTL
EMXC,3d RSI EMXC LT12 - L EMXC
ENFR,13d RSI ENFR LT28 - L ENFR
ENOR,15d RSI ENOR LT46 - L ENOR
ENZL,4d RSI ENZL LT12 - L ENZL
EPOL,11d RSI EPOL LT38 - L EPOL
EPP,10d RSI EPP LT34 - L EPP
EPRF,5d RSI EPRF LT14 - L EPRF
EPS,4d RSI EPS LT13 - L EPS
EPU,6d RSI EPU LT32 - L EPU
EPV,14d RSI EPV LT30 - L EPV
EQAL,8d RSI EQAL LT27 - L EQAL
EQIN,6d RSI EQIN LT20 - L EQIN
EQL,3d RSI EQL LT11 - L EQL
EQWL,4d RSI EQWL LT14 - L EQWL
ERTH,20d RSI ERTH LT40 - L ERTH
ERX,10d RSI ERX LT30 - L ERX
ESG,4d RSI ESG LT11 - L ESG
ESGD,17d RSI ESGD LT38 - L ESGD
ESGE,14d RSI ESGE LT38 - L ESGE
ESGV,7d RSI ESGV LT23 - L ESGV
ESML,10d RSI ESML LT23 - L ESML
ESPO,5d RSI ESPO LT12 - L ESPO
EUDG,13d RSI EUDG LT37 - L EUDG
EUFN,3d RSI EUFN LT11 - L EUFN
EUM,6d RSI EUM LT17 - L EUM
EUO,10d RSI EUO LT25 - L EUO
EURL,5d RSI EURL LT21 - L EURL
EUSA,10d RSI EUSA LT29 - L EUSA
EVX,14d RSI EVX LT32 - L EVX
EWA,6d RSI EWA LT18 - L EWA
EWC,18d RSI EWC LT43 - L EWC
EWG,6d RSI EWG LT22 - L EWG
EWJ,15d RSI EWJ LT40 - L EWJ
EWK,3d RSI EWK LT10 - L EWK
EWL,8d RSI EWL LT28 - L EWL
EWN,21d RSI EWN LT40 - L EWN
EWO,14d RSI EWO LT44 - L EWO
EWP,3d RSI EWP LT23 - L EWP
EWQ,10d RSI EWQ LT34 - L EWQ
EWS,12d RSI EWS LT39 - L EWS
EWU,3d RSI EWU LT10 - L EWU
EWV,13d RSI EWV LT35 - L EWV
EWX,4d RSI EWX LT11 - L EWX
EWY,3d RSI EWY LT13 - L EWY
EWZ,4d RSI EWZ LT14 - L EWZ
EWZS,11d RSI EWZS LT33 - L EWZS
EXI,3d RSI EXI LT12 - L EXI
EYLD,10d RSI EYLD LT31 - L EYLD
EZM,8d RSI EZM LT23 - L EZM
FAAR,10d RSI FAAR LT36 - L FAAR
FAD,3d RSI FAD LT14 - L FAD
FALN,3d RSI FALN LT10 - L FALN
FAN,11d RSI FAN LT42 - L FAN
FAS,18d RSI FAS LT38 - L FAS
FBT,8d RSI FBT LT36 - L FBT
FCAL,4d RSI FCAL LT14 - L FCAL
FCEF,3d RSI FCEF LT14 - L FCEF
FCG,21d RSI FCG LT35 - L FCG
FCOM,8d RSI FCOM LT22 - L FCOM
FCOR,18d RSI FCOR LT43 - L FCOR
FCVT,9d RSI FCVT LT26 - L FCVT
FDD,6d RSI FDD LT28 - L FDD
FDHY,10d RSI FDHY LT26 - L FDHY
FDIS,16d RSI FDIS LT28 - L FDIS
FDIV,6d RSI FDIV LT24 - L FDIV
FDL,3d RSI FDL LT12 - L FDL
FDLO,4d RSI FDLO LT12 - L FDLO
FDM,4d RSI FDM LT10 - L FDM
FDMO,10d RSI FDMO LT27 - L FDMO
FDN,7d RSI FDN LT21 - L FDN
FDNI,20d RSI FDNI LT36 - L FDNI
FDRR,3d RSI FDRR LT11 - L FDRR
FEM,6d RSI FEM LT27 - L FEM
FEMB,17d RSI FEMB LT55 - L FEMB
FEMS,3d RSI FEMS LT14 - L FEMS
FENY,4d RSI FENY LT14 - L FENY
FEP,3d RSI FEP LT11 - L FEP
FEUZ,14d RSI FEUZ LT45 - L FEUZ
FEX,3d RSI FEX LT12 - L FEX
FEZ,10d RSI FEZ LT32 - L FEZ
FFTY,17d RSI FFTY LT39 - L FFTY
FGD,4d RSI FGD LT15 - L FGD
FGM,11d RSI FGM LT39 - L FGM
FHLC,3d RSI FHLC LT22 - L FHLC
FIBR,12d RSI FIBR LT64 - L FIBR
FID,21d RSI FID LT56 - L FID
FIDI,7d RSI FIDI LT34 - L FIDI
FIDU,12d RSI FIDU LT33 - L FIDU
FILL,10d RSI FILL LT31 - L FILL
FINX,8d RSI FINX LT21 - L FINX
FITE,7d RSI FITE LT19 - L FITE
FIVA,21d RSI FIVA LT44 - L FIVA
FIW,3d RSI FIW LT10 - L FIW
FIXD,5d RSI FIXD LT24 - L FIXD
FKU,3d RSI FKU LT19 - L FKU
FLBL,4d RSI FLBL LT12 - L FLBL
FLBR,18d RSI FLBR LT39 - L FLBR
FLCA,7d RSI FLCA LT29 - L FLCA
FLCH,10d RSI FLCH LT31 - L FLCH
FLCO,3d RSI FLCO LT11 - L FLCO
FLDR,3d RSI FLDR LT30 - L FLDR
FLEE,4d RSI FLEE LT14 - L FLEE
FLEU,3d RSI FLEU LT13 - L FLEU
FLGB,21d RSI FLGB LT52 - L FLGB
FLGR,4d RSI FLGR LT17 - L FLGR
FLHY,3d RSI FLHY LT13 - L FLHY
FLIA,3d RSI FLIA LT16 - L FLIA
FLIN,3d RSI FLIN LT13 - L FLIN
FLJH,13d RSI FLJH LT40 - L FLJH
FLJP,15d RSI FLJP LT40 - L FLJP
FLLA,3d RSI FLLA LT10 - L FLLA
FLMB,10d RSI FLMB LT28 - L FLMB
FLMI,3d RSI FLMI LT19 - L FLMI
FLMX,8d RSI FLMX LT34 - L FLMX
FLOT,15d RSI FLOT LT63 - L FLOT
FLQL,4d RSI FLQL LT15 - L FLQL
FLQM,5d RSI FLQM LT23 - L FLQM
FLQS,14d RSI FLQS LT29 - L FLQS
FLRN,19d RSI FLRN LT61 - L FLRN
FLRT,15d RSI FLRT LT30 - L FLRT
FLSW,16d RSI FLSW LT40 - L FLSW
FLTB,3d RSI FLTB LT15 - L FLTB
FLTR,18d RSI FLTR LT52 - L FLTR
FLTW,3d RSI FLTW LT12 - L FLTW
FMAT,5d RSI FMAT LT20 - L FMAT
FMB,5d RSI FMB LT18 - L FMB
FMF,4d RSI FMF LT11 - L FMF
FMHI,10d RSI FMHI LT23 - L FMHI
FNDA,10d RSI FNDA LT22 - L FNDA
FNDB,5d RSI FNDB LT20 - L FNDB
FNDC,13d RSI FNDC LT37 - L FNDC
FNDF,17d RSI FNDF LT41 - L FNDF
FNDX,3d RSI FNDX LT10 - L FNDX
FNGD,4d RSI FNGD LT10 - L FNGD
FNGO,4d RSI FNGO LT16 - L FNGO
FNK,3d RSI FNK LT11 - L FNK
FNX,4d RSI FNX LT13 - L FNX
FNY,11d RSI FNY LT28 - L FNY
FPEI,17d RSI FPEI LT38 - L FPEI
FPX,13d RSI FPX LT32 - L FPX
FPXI,4d RSI FPXI LT16 - L FPXI
FQAL,3d RSI FQAL LT12 - L FQAL
FREL,8d RSI FREL LT34 - L FREL
FRI,14d RSI FRI LT37 - L FRI
FSCS,10d RSI FSCS LT28 - L FSCS
FSMB,3d RSI FSMB LT11 - L FSMB
FTA,17d RSI FTA LT37 - L FTA
FTC,6d RSI FTC LT20 - L FTC
FTGC,20d RSI FTGC LT46 - L FTGC
FTHI,5d RSI FTHI LT10 - L FTHI
FTLS,5d RSI FTLS LT10 - L FTLS
FTQI,16d RSI FTQI LT33 - L FTQI
FTRI,18d RSI FTRI LT48 - L FTRI
FTSD,16d RSI FTSD LT49 - L FTSD
FTSL,12d RSI FTSL LT39 - L FTSL
FTSM,17d RSI FTSM LT70 - L FTSM
FTXG,5d RSI FTXG LT16 - L FTXG
FTXH,3d RSI FTXH LT14 - L FTXH
FTXL,8d RSI FTXL LT30 - L FTXL
FTXN,4d RSI FTXN LT12 - L FTXN
FTXO,11d RSI FTXO LT24 - L FTXO
FUMB,6d RSI FUMB LT31 - L FUMB
FUTY,4d RSI FUTY LT15 - L FUTY
FV,10d RSI FV LT24 - L FV
FVAL,6d RSI FVAL LT21 - L FVAL
FVC,10d RSI FVC LT25 - L FVC
FVD,4d RSI FVD LT29 - L FVD
FXA,3d RSI FXA LT10 - L FXA
FXB,4d RSI FXB LT13 - L FXB
FXC,11d RSI FXC LT30 - L FXC
FXD,10d RSI FXD LT22 - L FXD
FXE,11d RSI FXE LT33 - L FXE
FXF,7d RSI FXF LT25 - L FXF
FXG,5d RSI FXG LT19 - L FXG
FXH,3d RSI FXH LT14 - L FXH
FXI,4d RSI FXI LT12 - L FXI
FXL,10d RSI FXL LT25 - L FXL
FXN,3d RSI FXN LT10 - L FXN
FXO,11d RSI FXO LT31 - L FXO
FXR,10d RSI FXR LT25 - L FXR
FXU,3d RSI FXU LT10 - L FXU
FXZ,3d RSI FXZ LT11 - L FXZ
FYC,10d RSI FYC LT22 - L FYC
FYLD,21d RSI FYLD LT46 - L FYLD
FYT,4d RSI FYT LT13 - L FYT
FYX,14d RSI FYX LT25 - L FYX
GAL,3d RSI GAL LT11 - L GAL
GBF,6d RSI GBF LT29 - L GBF
GBTC,20d RSI GBTC LT36 - L GBTC
GCC,8d RSI GCC LT37 - L GCC
GCOW,16d RSI GCOW LT43 - L GCOW
GDMA,4d RSI GDMA LT15 - L GDMA
GDX,13d RSI GDX LT45 - L GDX
GEM,8d RSI GEM LT31 - L GEM
GGME,5d RSI GGME LT16 - L GGME
GHYB,3d RSI GHYB LT11 - L GHYB
GHYG,3d RSI GHYG LT11 - L GHYG
GII,5d RSI GII LT64 - L GII
GLD,3d RSI GLD LT14 - L GLD
GLDI,3d RSI GLDI LT13 - L GLDI
GLDM,10d RSI GLDM LT42 - L GLDM
GLIN,5d RSI GLIN LT10 - L GLIN
GLOF,4d RSI GLOF LT14 - L GLOF
GLTR,15d RSI GLTR LT51 - L GLTR
GMF,18d RSI GMF LT39 - L GMF
GNMA,4d RSI GNMA LT19 - L GNMA
GNR,17d RSI GNR LT45 - L GNR
GOAU,21d RSI GOAU LT47 - L GOAU
GOEX,18d RSI GOEX LT45 - L GOEX
GOP,10d RSI GOP LT41 - L GOP
GOVI,5d RSI GOVI LT20 - L GOVI
GOVT,6d RSI GOVT LT27 - L GOVT
GQRE,15d RSI GQRE LT41 - L GQRE
GREK,19d RSI GREK LT46 - L GREK
GRID,4d RSI GRID LT19 - L GRID
GRNB,15d RSI GRNB LT43 - L GRNB
GRPM,8d RSI GRPM LT21 - L GRPM
GSC,13d RSI GSC LT28 - L GSC
GSEU,3d RSI GSEU LT12 - L GSEU
GSEW,10d RSI GSEW LT30 - L GSEW
GSG,14d RSI GSG LT41 - L GSG
GSIE,3d RSI GSIE LT13 - L GSIE
GSJY,15d RSI GSJY LT40 - L GSJY
GSSC,10d RSI GSSC LT23 - L GSSC
GSY,5d RSI GSY LT66 - L GSY
GTIP,4d RSI GTIP LT23 - L GTIP
GTO,3d RSI GTO LT16 - L GTO
GUNR,21d RSI GUNR LT41 - L GUNR
GUSH,17d RSI GUSH LT32 - L GUSH
GVAL,3d RSI GVAL LT12 - L GVAL
