ticker,branch_id
AAXJ,13d RSI AAXJ LT37 - L AAXJ
ACWX,17d RSI ACWX LT41 - L ACWX
AGG,4d RSI AGG LT21 - L AGG
AOA,3d RSI AOA LT13 - L AOA
ARKW,19d RSI ARKW LT35 - L ARKW
ASHR,5d RSI ASHR LT17 - L ASHR
BBHY,3d RSI BBHY LT17 - L BBHY
BIV,3d RSI BIV LT13 - L BIV
BLV,3d RSI BLV LT11 - L BLV
BND,3d RSI BND LT16 - L BND
BNDX,4d RSI BNDX LT15 - L BNDX
BOND,15d RSI BOND LT40 - L BOND
BOTZ,4d RSI BOTZ LT13 - L BOTZ
BWX,4d RSI BWX LT12 - L BWX
BWZ,10d RSI BWZ LT29 - L BWZ
CMF,4d RSI CMF LT12 - L CMF
CQQQ,14d RSI CQQQ LT36 - L CQQQ
DBB,20d RSI DBB LT40 - L DBB
DBEF,15d RSI DBEF LT42 - L DBEF
DDM,8d RSI DDM LT26 - L DDM
DEM,3d RSI DEM LT10 - L DEM
DGS,4d RSI DGS LT16 - L DGS
DIA,8d RSI DIA LT27 - L DIA
DIVI,19d RSI DIVI LT42 - L DIVI
DOG,20d RSI DOG LT38 - L DOG
DRIP,21d RSI DRIP LT38 - L DRIP
DUST,13d RSI DUST LT21 - L DUST
DXD,21d RSI DXD LT38 - L DXD
EDV,4d RSI EDV LT16 - L EDV
EDZ,21d RSI EDZ LT31 - L EDZ
EEMA,15d RSI EEMA LT38 - L EEMA
EFAV,18d RSI EFAV LT41 - L EFAV
EIS,4d RSI EIS LT17 - L EIS
EMB,3d RSI EMB LT22 - L EMB
EMGF,12d RSI EMGF LT38 - L EMGF
EPHE,9d RSI EPHE LT28 - L EPHE
EPI,4d RSI EPI LT12 - L EPI
ERY,18d RSI ERY LT37 - L ERY
ESGU,6d RSI ESGU LT22 - L ESGU
EWD,3d RSI EWD LT10 - L EWD
EWH,21d RSI EWH LT48 - L EWH
EWI,21d RSI EWI LT51 - L EWI
EWM,4d RSI EWM LT13 - L EWM
EWT,3d RSI EWT LT12 - L EWT
EWW,3d RSI EWW LT10 - L EWW
EZA,18d RSI EZA LT41 - L EZA
EZU,20d RSI EZU LT47 - L EZU
FAZ,12d RSI FAZ LT31 - L FAZ
FBND,21d RSI FBND LT44 - L FBND
FDT,17d RSI FDT LT47 - L FDT
FDVV,3d RSI FDVV LT10 - L FDVV
FLKR,3d RSI FLKR LT14 - L FLKR
FNCL,3d RSI FNCL LT14 - L FNCL
FNDE,11d RSI FNDE LT35 - L FNDE
