ticker,branch_id
ASHR,5d RSI ASHR LT17 - L ASHR
BKLN,3d RSI BKLN LT28 - L BKLN
BSCQ,7d RSI BSCQ LT66 - L BSCQ
BSCR,3d RSI BSCR LT11 - L BSCR
DFEN,4d RSI DFEN LT13 - L DFEN
DIV,19d RSI DIV LT43 - L DIV
DIVB,4d RSI DIVB LT15 - L DIVB
DLN,3d RSI DLN LT12 - L DLN
DRV,3d RSI DRV LT10 - L DRV
DVY,4d RSI DVY LT19 - L DVY
DXD,21d RSI DXD LT38 - L DXD
EFAV,18d RSI EFAV LT41 - L EFAV
ESGU,6d RSI ESGU LT22 - L ESGU
EWL,18d RSI EWL LT46 - L EWL
FAZ,12d RSI FAZ LT31 - L FAZ
FIXD,6d RSI FIXD LT27 - L FIXD
FMHI,11d RSI FMHI LT25 - L FMHI
FNDA,7d RSI FNDA LT18 - L FNDA
FPEI,19d RSI FPEI LT38 - L FPEI
FTCS,8d RSI FTCS LT44 - L FTCS
FTSL,21d RSI FTSL LT46 - L FTSL
FTXO,13d RSI FTXO LT27 - L FTXO
GNR,20d RSI GNR LT50 - L GNR
GOVI,4d RSI GOVI LT17 - L GOVI
GSIE,3d RSI GSIE LT12 - L GSIE
GSY,4d RSI GSY LT69 - L GSY
GTO,3d RSI GTO LT18 - L GTO
HYEM,16d RSI HYEM LT42 - L HYEM
IDMO,4d RSI IDMO LT30 - L IDMO
IDU,4d RSI IDU LT12 - L IDU
IGLD,20d RSI IGLD LT49 - L IGLD
IHDG,4d RSI IHDG LT26 - L IHDG
ITA,4d RSI ITA LT13 - L ITA
IWV,6d RSI IWV LT21 - L IWV
IYM,3d RSI IYM LT11 - L IYM
KIE,4d RSI KIE LT30 - L KIE
LRGF,13d RSI LRGF LT32 - L LRGF
MLN,8d RSI MLN LT22 - L MLN
MORT,20d RSI MORT LT39 - L MORT
NLR,3d RSI NLR LT11 - L NLR
PALL,20d RSI PALL LT43 - L PALL
PCEF,6d RSI PCEF LT18 - L PCEF
PCY,3d RSI PCY LT18 - L PCY
PEY,3d RSI PEY LT11 - L PEY
PFF,5d RSI PFF LT14 - L PFF
PFXF,21d RSI PFXF LT38 - L PFXF
PGF,20d RSI PGF LT36 - L PGF
PGX,21d RSI PGX LT35 - L PGX
PPA,15d RSI PPA LT41 - L PPA
PPH,20d RSI PPH LT42 - L PPH
PWZ,3d RSI PWZ LT26 - L PWZ
REM,20d RSI REM LT39 - L REM
RSPS,7d RSI RSPS LT20 - L RSPS
RWM,4d RSI RWM LT15 - L RWM
SCHC,4d RSI SCHC LT16 - L SCHC
SCZ,17d RSI SCZ LT39 - L SCZ
SECT,7d RSI SECT LT22 - L SECT
SGOL,7d RSI SGOL LT35 - L SGOL
SHLD,7d RSI SHLD LT27 - L SHLD
SIL,20d RSI SIL LT46 - L SIL
SLYV,4d RSI SLYV LT13 - L SLYV
SUB,3d RSI SUB LT10 - L SUB
ULST,15d RSI ULST LT54 - L ULST
USFR,3d RSI USFR LT70 - L USFR
UTES,3d RSI UTES LT13 - L UTES
UTSL,4d RSI UTSL LT12 - L UTSL
VBR,4d RSI VBR LT14 - L VBR
VOOG,13d RSI VOOG LT32 - L VOOG
VPU,5d RSI VPU LT18 - L VPU
VT,3d RSI VT LT10 - L VT
VTEB,4d RSI VTEB LT13 - L VTEB
XLB,3d RSI XLB LT17 - L XLB
XLG,4d RSI XLG LT10 - L XLG
XLU,5d RSI XLU LT18 - L XLU
XLY,19d RSI XLY LT33 - L XLY
XRT,18d RSI XRT LT30 - L XRT
XYLD,4d RSI XYLD LT10 - L XYLD
