ticker,ours_branches,sheet_branches
FXN,15d RSI FXN LT35 - L FXN,14d RSI FXN LT35 - L FXN
FXO,9d RSI FXO LT28 - L FXO,18d RSI FXO LT38 - L FXO
GCOW,12d RSI GCOW LT28 - L GCOW,17d RSI GCOW LT32 - L GCOW
GIGB,7d RSI GIGB LT18 - L GIGB,7d RSI GIGB LT19 - L GIGB
GLD,10d RSI GLD LT24 - L GLD,14d RSI GLD LT30 - L GLD
GOVI,10d RSI GOVI LT22 - L GOVI,6d RSI GOVI LT14 - L GOVI
GOVT,5d RSI GOVT LT14 - L GOVT,18d RSI GOVT LT29 - L GOVT
GSG,3d RSI GSG LT10 - L GSG,4d RSI GSG LT14 - L GSG
GSIE,5d RSI GSIE LT10 - L GSIE,13d RSI GSIE LT30 - L GSIE
GVAL,5d RSI GVAL LT15 - L GVAL,6d RSI GVAL LT19 - L GVAL
HDV,10d RSI HDV LT28 - L HDV,9d RSI HDV LT26 - L HDV
HYLB,17d RSI HYLB LT29 - L HYLB,14d RSI HYLB LT27 - L HYLB
IAT,13d RSI IAT LT31 - L IAT,11d RSI IAT LT30 - L IAT
IAU,10d RSI IAU LT24 - L IAU,9d RSI IAU LT22 - L IAU
IBB,5d RSI IBB LT12 - L IBB,4d RSI IBB LT10 - L IBB
ICLN,7d RSI ICLN LT15 - L ICLN,6d RSI ICLN LT13 - L ICLN
ICOW,13d RSI ICOW LT30 - L ICOW,10d RSI ICOW LT29 - L ICOW
IDEV,14d RSI IDEV LT30 - L IDEV,14d RSI IDEV LT31 - L IDEV
IDMO,15d RSI IDMO LT31 - L IDMO,15d RSI IDMO LT32 - L IDMO
IDX,17d RSI IDX LT33 - L IDX,15d RSI IDX LT32 - L IDX
IEF,5d RSI IEF LT13 - L IEF,4d RSI IEF LT11 - L IEF
IEFA,10d RSI IEFA LT24 - L IEFA,10d RSI IEFA LT26 - L IEFA
IEUR,4d RSI IEUR LT11 - L IEUR,4d RSI IEUR LT13 - L IEUR
IEV,6d RSI IEV LT16 - L IEV,4d RSI IEV LT12 - L IEV
IGIB,21d RSI IGIB LT27 - L IGIB,9d RSI IGIB LT18 - L IGIB
IGLB,5d RSI IGLB LT12 - L IGLB,20d RSI IGLB LT29 - L IGLB
IHDG,13d RSI IHDG LT31 - L IHDG,4d RSI IHDG LT12 - L IHDG
IHE,15d RSI IHE LT32 - L IHE,20d RSI IHE LT37 - L IHE
IJH,13d RSI IJH LT32 - L IJH,21d RSI IJH LT36 - L IJH
IJJ,16d RSI IJJ LT35 - L IJJ,12d RSI IJJ LT31 - L IJJ
IJS,16d RSI IJS LT33 - L IJS,15d RSI IJS LT33 - L IJS
IMTM,16d RSI IMTM LT31 - L IMTM,14d RSI IMTM LT30 - L IMTM
INDA,7d RSI INDA LT20 - L INDA,17d RSI INDA LT35 - L INDA
INTF,11d RSI INTF LT28 - L INTF,18d RSI INTF LT34 - L INTF
IOO,5d RSI IOO LT12 - L IOO,15d RSI IOO LT33 - L IOO
IQLT,13d RSI IQLT LT28 - L IQLT,19d RSI IQLT LT33 - L IQLT
IWN,20d RSI IWN LT35 - L IWN,16d RSI IWN LT32 - L IWN
IWO,6d RSI IWO LT19 - L IWO,4d RSI IWO LT18 - L IWO
IWP,12d RSI IWP LT27 - L IWP,6d RSI IWP LT19 - L IWP
IWS,17d RSI IWS LT33 - L IWS,16d RSI IWS LT33 - L IWS
IXUS,13d RSI IXUS LT28 - L IXUS,11d RSI IXUS LT27 - L IXUS
IYF,10d RSI IYF LT29 - L IYF,19d RSI IYF LT35 - L IYF
IYJ,20d RSI IYJ LT36 - L IYJ,21d RSI IYJ LT36 - L IYJ
IYK,19d RSI IYK LT34 - L IYK,7d RSI IYK LT21 - L IYK
IYM,11d RSI IYM LT26 - L IYM,12d RSI IYM LT27 - L IYM
IYW,4d RSI IYW LT11 - L IYW,3d RSI IYW LT11 - L IYW
JETS,13d RSI JETS LT29 - L JETS,9d RSI JETS LT23 - L JETS
JHMD,11d RSI JHMD LT27 - L JHMD,5d RSI JHMD LT16 - L JHMD
KBE,11d RSI KBE LT29 - L KBE,12d RSI KBE LT30 - L KBE
KBWB,17d RSI KBWB LT33 - L KBWB,19d RSI KBWB LT34 - L KBWB
KBWD,20d RSI KBWD LT31 - L KBWD,18d RSI KBWD LT30 - L KBWD
KBWY,5d RSI KBWY LT12 - L KBWY,8d RSI KBWY LT21 - L KBWY
MDY,18d RSI MDY LT34 - L MDY,13d RSI MDY LT32 - L MDY
MGV,5d RSI MGV LT13 - L MGV,10d RSI MGV LT27 - L MGV
MLPX,21d RSI MLPX LT39 - L MLPX,19d RSI MLPX LT38 - L MLPX
MMIT,10d RSI MMIT LT10 - L MMIT,11d RSI MMIT LT11 - L MMIT
NULV,15d RSI NULV LT30 - L NULV,11d RSI NULV LT26 - L NULV
NUSC,8d RSI NUSC LT24 - L NUSC,20d RSI NUSC LT34 - L NUSC
OILK,6d RSI OILK LT22 - L OILK,6d RSI OILK LT23 - L OILK
PALL,10d RSI PALL LT31 - L PALL,5d RSI PALL LT19 - L PALL
PEY,5d RSI PEY LT15 - L PEY,5d RSI PEY LT14 - L PEY
PGF,14d RSI PGF LT24 - L PGF,5d RSI PGF LT11 - L PGF
PPLT,4d RSI PPLT LT14 - L PPLT,4d RSI PPLT LT15 - L PPLT
PSC,15d RSI PSC LT32 - L PSC,14d RSI PSC LT31 - L PSC
PXF,6d RSI PXF LT22 - L PXF,6d RSI PXF LT23 - L PXF
RLY,19d RSI RLY LT35 - L RLY,21d RSI RLY LT36 - L RLY
RPV,4d RSI RPV LT16 - L RPV,3d RSI RPV LT10 - L RPV
RSPS,8d RSI RSPS LT21 - L RSPS,5d RSI RSPS LT14 - L RSPS
RWM,4d RSI RWM LT13 - L RWM,5d RSI RWM LT18 - L RWM
RWR,14d RSI RWR LT25 - L RWR,20d RSI RWR LT30 - L RWR
SCHA,21d RSI SCHA LT33 - L SCHA,19d RSI SCHA LT32 - L SCHA
SCHC,15d RSI SCHC LT31 - L SCHC,21d RSI SCHC LT35 - L SCHC
SCHF,14d RSI SCHF LT30 - L SCHF,16d RSI SCHF LT32 - L SCHF
SDIV,15d RSI SDIV LT24 - L SDIV,10d RSI SDIV LT20 - L SDIV
SECT,18d RSI SECT LT35 - L SECT,19d RSI SECT LT36 - L SECT
SILJ,21d RSI SILJ LT36 - L SILJ,16d RSI SILJ LT34 - L SILJ
SJNK,12d RSI SJNK LT27 - L SJNK,10d RSI SJNK LT25 - L SJNK
SLVP,21d RSI SLVP LT35 - L SLVP,4d RSI SLVP LT12 - L SLVP
SLYV,17d RSI SLYV LT34 - L SLYV,15d RSI SLYV LT33 - L SLYV
SMH,4d RSI SMH LT11 - L SMH,5d RSI SMH LT15 - L SMH
SMIN,10d RSI SMIN LT25 - L SMIN,20d RSI SMIN LT36 - L SMIN
SMLF,21d RSI SMLF LT37 - L SMLF,14d RSI SMLF LT34 - L SMLF
SOXX,4d RSI SOXX LT13 - L SOXX,5d RSI SOXX LT16 - L SOXX
SPAB,11d RSI SPAB LT21 - L SPAB,8d RSI SPAB LT17 - L SPAB
SPDW,10d RSI SPDW LT25 - L SPDW,14d RSI SPDW LT31 - L SPDW
SPHD,5d RSI SPHD LT16 - L SPHD,4d RSI SPHD LT12 - L SPHD
SPHQ,20d RSI SPHQ LT35 - L SPHQ,18d RSI SPHQ LT34 - L SPHQ
SPIP,5d RSI SPIP LT12 - L SPIP,18d RSI SPIP LT32 - L SPIP
SPLV,6d RSI SPLV LT13 - L SPLV,12d RSI SPLV LT24 - L SPLV
SPMD,13d RSI SPMD LT32 - L SPMD,21d RSI SPMD LT35 - L SPMD
SPTL,13d RSI SPTL LT26 - L SPTL,11d RSI SPTL LT25 - L SPTL
SUSC,20d RSI SUSC LT28 - L SUSC,6d RSI SUSC LT15 - L SUSC
TAIL,16d RSI TAIL LT35 - L TAIL,14d RSI TAIL LT34 - L TAIL
TDIV,4d RSI TDIV LT11 - L TDIV,5d RSI TDIV LT14 - L TDIV
TDTF,4d RSI TDTF LT11 - L TDTF,21d RSI TDTF LT35 - L TDTF
TECS,6d RSI TECS LT23 - L TECS,5d RSI TECS LT21 - L TECS
THD,21d RSI THD LT34 - L THD,15d RSI THD LT32 - L THD
TLH,18d RSI TLH LT29 - L TLH,20d RSI TLH LT30 - L TLH
TMV,16d RSI TMV LT40 - L TMV,3d RSI TMV LT14 - L TMV
TOTL,11d RSI TOTL LT21 - L TOTL,9d RSI TOTL LT20 - L TOTL
UCO,6d RSI UCO LT22 - L UCO,5d RSI UCO LT20 - L UCO
UDN,14d RSI UDN LT25 - L UDN,5d RSI UDN LT11 - L UDN
UGL,21d RSI UGL LT35 - L UGL,19d RSI UGL LT34 - L UGL
UITB,5d RSI UITB LT13 - L UITB,6d RSI UITB LT16 - L UITB
USDU,3d RSI USDU LT12 - L USDU,14d RSI USDU LT36 - L USDU
USIG,19d RSI USIG LT27 - L USIG,7d RSI USIG LT17 - L USIG
USO,17d RSI USO LT37 - L USO,7d RSI USO LT25 - L USO
USRT,18d RSI USRT LT29 - L USRT,19d RSI USRT LT30 - L USRT
VBK,10d RSI VBK LT23 - L VBK,6d RSI VBK LT19 - L VBK
VBR,21d RSI VBR LT36 - L VBR,17d RSI VBR LT34 - L VBR
VCLT,5d RSI VCLT LT12 - L VCLT,8d RSI VCLT LT20 - L VCLT
VDC,5d RSI VDC LT15 - L VDC,6d RSI VDC LT17 - L VDC
VEA,18d RSI VEA LT33 - L VEA,12d RSI VEA LT28 - L VEA
VEU,6d RSI VEU LT17 - L VEU,11d RSI VEU LT27 - L VEU
VHT,19d RSI VHT LT35 - L VHT,5d RSI VHT LT14 - L VHT
VIG,13d RSI VIG LT28 - L VIG,16d RSI VIG LT32 - L VIG
VIOO,18d RSI VIOO LT34 - L VIOO,14d RSI VIOO LT32 - L VIOO
VIXM,14d RSI VIXM LT32 - L VIXM,15d RSI VIXM LT32 - L VIXM
VOX,21d RSI VOX LT34 - L VOX,4d RSI VOX LT13 - L VOX
VRP,5d RSI VRP LT10 - L VRP,21d RSI VRP LT25 - L VRP
VTC,6d RSI VTC LT14 - L VTC,5d RSI VTC LT12 - L VTC
VTIP,17d RSI VTIP LT33 - L VTIP,11d RSI VTIP LT25 - L VTIP
VXUS,10d RSI VXUS LT26 - L VXUS,11d RSI VXUS LT27 - L VXUS
WTPI,20d RSI WTPI LT34 - L WTPI,21d RSI WTPI LT34 - L WTPI
WTV,18d RSI WTV LT35 - L WTV,21d RSI WTV LT37 - L WTV
XBI,10d RSI XBI LT23 - L XBI,8d RSI XBI LT20 - L XBI
XLI,15d RSI XLI LT33 - L XLI,16d RSI XLI LT34 - L XLI
XLP,4d RSI XLP LT11 - L XLP,6d RSI XLP LT17 - L XLP
XLU,10d RSI XLU LT22 - L XLU,11d RSI XLU LT24 - L XLU
XLY,14d RSI XLY LT30 - L XLY,16d RSI XLY LT31 - L XLY
XMHQ,21d RSI XMHQ LT40 - L XMHQ,18d RSI XMHQ LT39 - L XMHQ
