ticker,ours_branches,sheet_branches
EWJ,15d RSI EWJ LT40 - L EWJ,17d RSI EWJ LT42 - L EWJ
EWL,8d RSI EWL LT28 - L EWL,18d RSI EWL LT46 - L EWL
EWP,3d RSI EWP LT23 - L EWP,21d RSI EWP LT62 - L EWP
EWQ,10d RSI EWQ LT34 - L EWQ,20d RSI EWQ LT44 - L EWQ
EWS,12d RSI EWS LT39 - L EWS,10d RSI EWS LT41 - L EWS
EWU,3d RSI EWU LT10 - L EWU,8d RSI EWU LT39 - L EWU
EWZS,11d RSI EWZS LT33 - L EWZS,18d RSI EWZS LT40 - L EWZS
FALN,3d RSI FALN LT10 - L FALN,4d RSI FALN LT15 - L FALN
FAS,18d RSI FAS LT38 - L FAS,3d RSI FAS LT15 - L FAS
FBT,8d RSI FBT LT36 - L FBT,5d RSI FBT LT32 - L FBT
FDD,6d RSI FDD LT28 - L FDD,18d RSI FDD LT48 - L FDD
FDN,7d RSI FDN LT21 - L FDN,9d RSI FDN LT25 - L FDN
FEMB,17d RSI FEMB LT55 - L FEMB,9d RSI FEMB LT67 - L FEMB
FEZ,10d RSI FEZ LT32 - L FEZ,21d RSI FEZ LT45 - L FEZ
FFTY,17d RSI FFTY LT39 - L FFTY,3d RSI FFTY LT17 - L FFTY
FGD,4d RSI FGD LT15 - L FGD,20d RSI FGD LT50 - L FGD
FHLC,3d RSI FHLC LT22 - L FHLC,4d RSI FHLC LT26 - L FHLC
FIDU,12d RSI FIDU LT33 - L FIDU,3d RSI FIDU LT17 - L FIDU
FIXD,5d RSI FIXD LT24 - L FIXD,6d RSI FIXD LT27 - L FIXD
FLCH,10d RSI FLCH LT31 - L FLCH,11d RSI FLCH LT33 - L FLCH
FLCO,3d RSI FLCO LT11 - L FLCO,12d RSI FLCO LT37 - L FLCO
FLGB,21d RSI FLGB LT52 - L FLGB,7d RSI FLGB LT38 - L FLGB
FLJP,15d RSI FLJP LT40 - L FLJP,17d RSI FLJP LT42 - L FLJP
FLMI,3d RSI FLMI LT19 - L FLMI,3d RSI FLMI LT11 - L FLMI
FLOT,15d RSI FLOT LT63 - L FLOT,21d RSI FLOT LT68 - L FLOT
FLRN,19d RSI FLRN LT61 - L FLRN,20d RSI FLRN LT63 - L FLRN
FLTR,18d RSI FLTR LT52 - L FLTR,21d RSI FLTR LT55 - L FLTR
FLTW,3d RSI FLTW LT12 - L FLTW,3d RSI FLTW LT15 - L FLTW
FMB,5d RSI FMB LT18 - L FMB,4d RSI FMB LT14 - L FMB
FMHI,10d RSI FMHI LT23 - L FMHI,11d RSI FMHI LT25 - L FMHI
FNDA,10d RSI FNDA LT22 - L FNDA,7d RSI FNDA LT18 - L FNDA
FNDC,13d RSI FNDC LT37 - L FNDC,7d RSI FNDC LT23 - L FNDC
FNDF,17d RSI FNDF LT41 - L FNDF,18d RSI FNDF LT42 - L FNDF
FPEI,17d RSI FPEI LT38 - L FPEI,19d RSI FPEI LT38 - L FPEI
FTSL,12d RSI FTSL LT39 - L FTSL,21d RSI FTSL LT46 - L FTSL
FTSM,17d RSI FTSM LT70 - L FTSM,15d RSI FTSM LT69 - L FTSM
FTXO,11d RSI FTXO LT24 - L FTXO,13d RSI FTXO LT27 - L FTXO
FUTY,4d RSI FUTY LT15 - L FUTY,3d RSI FUTY LT58 - L FUTY
FXE,11d RSI FXE LT33 - L FXE,11d RSI FXE LT37 - L FXE
FXF,7d RSI FXF LT25 - L FXF,6d RSI FXF LT24 - L FXF
FXI,4d RSI FXI LT12 - L FXI,15d RSI FXI LT42 - L FXI
FXO,11d RSI FXO LT31 - L FXO,3d RSI FXO LT15 - L FXO
FXR,10d RSI FXR LT25 - L FXR,9d RSI FXR LT23 - L FXR
GDX,13d RSI GDX LT45 - L GDX,18d RSI GDX LT59 - L GDX
GEM,8d RSI GEM LT31 - L GEM,3d RSI GEM LT12 - L GEM
GLD,3d RSI GLD LT14 - L GLD,7d RSI GLD LT37 - L GLD
GLTR,15d RSI GLTR LT51 - L GLTR,17d RSI GLTR LT52 - L GLTR
GNR,17d RSI GNR LT45 - L GNR,20d RSI GNR LT50 - L GNR
GOVI,5d RSI GOVI LT20 - L GOVI,4d RSI GOVI LT17 - L GOVI
GOVT,6d RSI GOVT LT27 - L GOVT,11d RSI GOVT LT38 - L GOVT
GREK,19d RSI GREK LT46 - L GREK,20d RSI GREK LT58 - L GREK
GRID,4d RSI GRID LT19 - L GRID,3d RSI GRID LT10 - L GRID
GSIE,3d RSI GSIE LT13 - L GSIE,3d RSI GSIE LT12 - L GSIE
GSY,5d RSI GSY LT66 - L GSY,4d RSI GSY LT69 - L GSY
GTO,3d RSI GTO LT16 - L GTO,3d RSI GTO LT18 - L GTO
GVAL,3d RSI GVAL LT12 - L GVAL,3d RSI GVAL LT37 - L GVAL
GVI,5d RSI GVI LT25 - L GVI,4d RSI GVI LT20 - L GVI
HACK,4d RSI HACK LT11 - L HACK,13d RSI HACK LT33 - L HACK
HDEF,3d RSI HDEF LT18 - L HDEF,21d RSI HDEF LT58 - L HDEF
HDV,3d RSI HDV LT16 - L HDV,18d RSI HDV LT50 - L HDV
HEWJ,18d RSI HEWJ LT44 - L HEWJ,16d RSI HEWJ LT44 - L HEWJ
HFXI,3d RSI HFXI LT10 - L HFXI,20d RSI HFXI LT46 - L HFXI
HYDB,20d RSI HYDB LT42 - L HYDB,15d RSI HYDB LT43 - L HYDB
HYLB,3d RSI HYLB LT16 - L HYLB,3d RSI HYLB LT18 - L HYLB
HYMB,3d RSI HYMB LT10 - L HYMB,4d RSI HYMB LT11 - L HYMB
HYS,20d RSI HYS LT45 - L HYS,18d RSI HYS LT48 - L HYS
IAGG,10d RSI IAGG LT32 - L IAGG,4d RSI IAGG LT15 - L IAGG
IAI,10d RSI IAI LT29 - L IAI,9d RSI IAI LT27 - L IAI
IAU,7d RSI IAU LT36 - L IAU,7d RSI IAU LT37 - L IAU
IBDR,3d RSI IBDR LT18 - L IBDR,3d RSI IBDR LT50 - L IBDR
IBND,9d RSI IBND LT31 - L IBND,5d RSI IBND LT17 - L IBND
ICOW,10d RSI ICOW LT37 - L ICOW,19d RSI ICOW LT51 - L ICOW
ICSH,10d RSI ICSH LT67 - L ICSH,9d RSI ICSH LT66 - L ICSH
IDMO,3d RSI IDMO LT18 - L IDMO,4d RSI IDMO LT30 - L IDMO
IDV,4d RSI IDV LT19 - L IDV,21d RSI IDV LT60 - L IDV
IEI,3d RSI IEI LT13 - L IEI,3d RSI IEI LT14 - L IEI
IEMG,3d RSI IEMG LT10 - L IEMG,3d RSI IEMG LT12 - L IEMG
IEUR,3d RSI IEUR LT10 - L IEUR,12d RSI IEUR LT38 - L IEUR
IEV,13d RSI IEV LT38 - L IEV,14d RSI IEV LT39 - L IEV
IGEB,4d RSI IGEB LT33 - L IGEB,6d RSI IGEB LT49 - L IGEB
IGF,6d RSI IGF LT52 - L IGF,11d RSI IGF LT63 - L IGF
IGIB,5d RSI IGIB LT21 - L IGIB,15d RSI IGIB LT60 - L IGIB
IGOV,4d RSI IGOV LT11 - L IGOV,6d RSI IGOV LT19 - L IGOV
IGSB,3d RSI IGSB LT17 - L IGSB,6d RSI IGSB LT32 - L IGSB
IHDG,3d RSI IHDG LT17 - L IHDG,4d RSI IHDG LT26 - L IHDG
IHE,5d RSI IHE LT30 - L IHE,4d RSI IHE LT24 - L IHE
IJS,10d RSI IJS LT24 - L IJS,5d RSI IJS LT14 - L IJS
IMTM,3d RSI IMTM LT15 - L IMTM,3d RSI IMTM LT18 - L IMTM
INDY,9d RSI INDY LT24 - L INDY,6d RSI INDY LT19 - L INDY
IOO,7d RSI IOO LT33 - L IOO,6d RSI IOO LT29 - L IOO
IPAC,18d RSI IPAC LT42 - L IPAC,14d RSI IPAC LT42 - L IPAC
IQDF,3d RSI IQDF LT10 - L IQDF,20d RSI IQDF LT44 - L IQDF
IQLT,3d RSI IQLT LT10 - L IQLT,3d RSI IQLT LT17 - L IQLT
ITA,17d RSI ITA LT40 - L ITA,4d RSI ITA LT13 - L ITA
ITB,4d RSI ITB LT15 - L ITB,4d RSI ITB LT12 - L ITB
IVLU,20d RSI IVLU LT44 - L IVLU,15d RSI IVLU LT46 - L IVLU
IVW,10d RSI IVW LT28 - L IVW,9d RSI IVW LT28 - L IVW
IWP,14d RSI IWP LT29 - L IWP,15d RSI IWP LT30 - L IWP
IWV,10d RSI IWV LT29 - L IWV,6d RSI IWV LT21 - L IWV
IXUS,18d RSI IXUS LT41 - L IXUS,21d RSI IXUS LT43 - L IXUS
IYC,18d RSI IYC LT33 - L IYC,15d RSI IYC LT31 - L IYC
IYG,3d RSI IYG LT13 - L IYG,4d RSI IYG LT18 - L IYG
IYH,3d RSI IYH LT24 - L IYH,5d RSI IYH LT29 - L IYH
JDST,4d RSI JDST LT12 - L JDST,4d RSI JDST LT11 - L JDST
JETS,5d RSI JETS LT16 - L JETS,4d RSI JETS LT14 - L JETS
JPIB,3d RSI JPIB LT11 - L JPIB,3d RSI JPIB LT10 - L JPIB
JPST,10d RSI JPST LT67 - L JPST,3d RSI JPST LT62 - L JPST
KBWD,18d RSI KBWD LT37 - L KBWD,20d RSI KBWD LT42 - L KBWD
KIE,4d RSI KIE LT31 - L KIE,4d RSI KIE LT30 - L KIE
LMBS,3d RSI LMBS LT18 - L LMBS,19d RSI LMBS LT56 - L LMBS
LVHI,12d RSI LVHI LT46 - L LVHI,20d RSI LVHI LT53 - L LVHI
MCHI,19d RSI MCHI LT45 - L MCHI,11d RSI MCHI LT33 - L MCHI
MGK,10d RSI MGK LT27 - L MGK,4d RSI MGK LT10 - L MGK
MLPA,18d RSI MLPA LT42 - L MLPA,3d RSI MLPA LT20 - L MLPA
MLPX,12d RSI MLPX LT36 - L MLPX,17d RSI MLPX LT47 - L MLPX
MMIT,20d RSI MMIT LT49 - L MMIT,3d RSI MMIT LT11 - L MMIT
MOAT,9d RSI MOAT LT29 - L MOAT,4d RSI MOAT LT26 - L MOAT
MOO,7d RSI MOO LT26 - L MOO,3d RSI MOO LT10 - L MOO
MUNI,4d RSI MUNI LT13 - L MUNI,5d RSI MUNI LT17 - L MUNI
NAIL,5d RSI NAIL LT18 - L NAIL,6d RSI NAIL LT19 - L NAIL
NEAR,4d RSI NEAR LT34 - L NEAR,5d RSI NEAR LT38 - L NEAR
NUGT,20d RSI NUGT LT48 - L NUGT,3d RSI NUGT LT25 - L NUGT
NULG,4d RSI NULG LT14 - L NULG,3d RSI NULG LT12 - L NULG
NULV,3d RSI NULV LT10 - L NULV,6d RSI NULV LT27 - L NULV
OUNZ,3d RSI OUNZ LT14 - L OUNZ,6d RSI OUNZ LT35 - L OUNZ
PALL,20d RSI PALL LT41 - L PALL,20d RSI PALL LT43 - L PALL
PAVE,10d RSI PAVE LT27 - L PAVE,13d RSI PAVE LT31 - L PAVE
PCEF,10d RSI PCEF LT24 - L PCEF,6d RSI PCEF LT18 - L PCEF
PCY,3d RSI PCY LT19 - L PCY,3d RSI PCY LT18 - L PCY
PEY,5d RSI PEY LT18 - L PEY,3d RSI PEY LT11 - L PEY
PFF,6d RSI PFF LT17 - L PFF,5d RSI PFF LT14 - L PFF
PFFD,20d RSI PFFD LT34 - L PFFD,21d RSI PFFD LT35 - L PFFD
PFXF,19d RSI PFXF LT36 - L PFXF,21d RSI PFXF LT38 - L PFXF
PGF,20d RSI PGF LT35 - L PGF,20d RSI PGF LT36 - L PGF
PGX,18d RSI PGX LT33 - L PGX,21d RSI PGX LT35 - L PGX
PICK,8d RSI PICK LT32 - L PICK,19d RSI PICK LT44 - L PICK
PPA,10d RSI PPA LT30 - L PPA,15d RSI PPA LT41 - L PPA
PPH,10d RSI PPH LT29 - L PPH,20d RSI PPH LT42 - L PPH
PPLT,20d RSI PPLT LT48 - L PPLT,6d RSI PPLT LT36 - L PPLT
PREF,19d RSI PREF LT44 - L PREF,17d RSI PREF LT44 - L PREF
PSK,18d RSI PSK LT34 - L PSK,19d RSI PSK LT35 - L PSK
PSLV,13d RSI PSLV LT55 - L PSLV,17d RSI PSLV LT58 - L PSLV
PWZ,4d RSI PWZ LT44 - L PWZ,3d RSI PWZ LT26 - L PWZ
PXF,16d RSI PXF LT41 - L PXF,18d RSI PXF LT43 - L PXF
QLTA,4d RSI QLTA LT18 - L QLTA,5d RSI QLTA LT23 - L QLTA
RING,3d RSI RING LT19 - L RING,3d RSI RING LT26 - L RING
RPG,4d RSI RPG LT13 - L RPG,3d RSI RPG LT16 - L RPG
RPV,10d RSI RPV LT34 - L RPV,12d RSI RPV LT38 - L RPV
RSPN,12d RSI RSPN LT29 - L RSPN,3d RSI RSPN LT14 - L RSPN
RSPS,10d RSI RSPS LT26 - L RSPS,7d RSI RSPS LT20 - L RSPS
RWM,4d RSI RWM LT14 - L RWM,4d RSI RWM LT15 - L RWM
SCHE,4d RSI SCHE LT19 - L SCHE,3d RSI SCHE LT13 - L SCHE
SCHO,3d RSI SCHO LT29 - L SCHO,3d RSI SCHO LT27 - L SCHO
SCHP,4d RSI SCHP LT23 - L SCHP,20d RSI SCHP LT49 - L SCHP
SCHV,3d RSI SCHV LT11 - L SCHV,4d RSI SCHV LT18 - L SCHV
SCHZ,3d RSI SCHZ LT12 - L SCHZ,3d RSI SCHZ LT15 - L SCHZ
SCO,5d RSI SCO LT13 - L SCO,4d RSI SCO LT11 - L SCO
SDIV,12d RSI SDIV LT32 - L SDIV,19d RSI SDIV LT39 - L SDIV
SGOL,9d RSI SGOL LT41 - L SGOL,7d RSI SGOL LT35 - L SGOL
SHNY,8d RSI SHNY LT36 - L SHNY,18d RSI SHNY LT47 - L SHNY
SHYG,3d RSI SHYG LT13 - L SHYG,3d RSI SHYG LT12 - L SHYG
SILJ,3d RSI SILJ LT13 - L SILJ,11d RSI SILJ LT42 - L SILJ
SIVR,13d RSI SIVR LT51 - L SIVR,21d RSI SIVR LT56 - L SIVR
SKYY,10d RSI SKYY LT25 - L SKYY,11d RSI SKYY LT27 - L SKYY
SLQD,3d RSI SLQD LT35 - L SLQD,3d RSI SLQD LT36 - L SLQD
SLV,19d RSI SLV LT47 - L SLV,21d RSI SLV LT56 - L SLV
SLVP,4d RSI SLVP LT28 - L SLVP,20d RSI SLVP LT50 - L SLVP
SMH,3d RSI SMH LT13 - L SMH,3d RSI SMH LT15 - L SMH
SMIN,10d RSI SMIN LT24 - L SMIN,7d RSI SMIN LT21 - L SMIN
SOXX,12d RSI SOXX LT33 - L SOXX,11d RSI SOXX LT38 - L SOXX
SPAB,5d RSI SPAB LT23 - L SPAB,4d RSI SPAB LT20 - L SPAB
SPDW,3d RSI SPDW LT12 - L SPDW,20d RSI SPDW LT42 - L SPDW
SPEM,11d RSI SPEM LT36 - L SPEM,5d RSI SPEM LT20 - L SPEM
SPHY,3d RSI SPHY LT12 - L SPHY,3d RSI SPHY LT11 - L SPHY
SPIB,8d RSI SPIB LT34 - L SPIB,7d RSI SPIB LT32 - L SPIB
SPIP,4d RSI SPIP LT24 - L SPIP,12d RSI SPIP LT43 - L SPIP
SPLB,3d RSI SPLB LT11 - L SPLB,5d RSI SPLB LT36 - L SPLB
SPPP,7d RSI SPPP LT31 - L SPPP,16d RSI SPPP LT50 - L SPPP
SPSB,20d RSI SPSB LT68 - L SPSB,14d RSI SPSB LT69 - L SPSB
SPTI,3d RSI SPTI LT15 - L SPTI,3d RSI SPTI LT13 - L SPTI
SPTS,4d RSI SPTS LT36 - L SPTS,5d RSI SPTS LT40 - L SPTS
SPYG,10d RSI SPYG LT28 - L SPYG,9d RSI SPYG LT27 - L SPYG
STIP,17d RSI STIP LT49 - L STIP,4d RSI STIP LT24 - L STIP
SUB,3d RSI SUB LT11 - L SUB,3d RSI SUB LT10 - L SUB
SUSB,9d RSI SUSB LT67 - L SUSB,5d RSI SUSB LT63 - L SUSB
SUSC,10d RSI SUSC LT46 - L SUSC,13d RSI SUSC LT59 - L SUSC
TAIL,17d RSI TAIL LT38 - L TAIL,12d RSI TAIL LT35 - L TAIL
TDTF,16d RSI TDTF LT43 - L TDTF,17d RSI TDTF LT44 - L TDTF
TDTT,20d RSI TDTT LT47 - L TDTT,21d RSI TDTT LT48 - L TDTT
TFLO,3d RSI TFLO LT64 - L TFLO,3d RSI TFLO LT69 - L TFLO
TIP,5d RSI TIP LT28 - L TIP,17d RSI TIP LT46 - L TIP
TIPX,17d RSI TIPX LT44 - L TIPX,16d RSI TIPX LT44 - L TIPX
TOTL,4d RSI TOTL LT22 - L TOTL,3d RSI TOTL LT17 - L TOTL
UAE,7d RSI UAE LT21 - L UAE,9d RSI UAE LT27 - L UAE
UDN,10d RSI UDN LT30 - L UDN,14d RSI UDN LT35 - L UDN
UGL,13d RSI UGL LT45 - L UGL,17d RSI UGL LT48 - L UGL
ULST,19d RSI ULST LT57 - L ULST,15d RSI ULST LT54 - L ULST
USDU,3d RSI USDU LT10 - L USDU,3d RSI USDU LT16 - L USDU
USFR,3d RSI USFR LT63 - L USFR,3d RSI USFR LT70 - L USFR
USIG,19d RSI USIG LT59 - L USIG,21d RSI USIG LT59 - L USIG
USTB,3d RSI USTB LT60 - L USTB,17d RSI USTB LT68 - L USTB
UUP,4d RSI UUP LT16 - L UUP,3d RSI UUP LT12 - L UUP
VCIT,12d RSI VCIT LT39 - L VCIT,16d RSI VCIT LT61 - L VCIT
VCLT,9d RSI VCLT LT31 - L VCLT,3d RSI VCLT LT14 - L VCLT
VEU,3d RSI VEU LT12 - L VEU,19d RSI VEU LT42 - L VEU
VGK,3d RSI VGK LT10 - L VGK,4d RSI VGK LT20 - L VGK
VIXM,12d RSI VIXM LT34 - L VIXM,15d RSI VIXM LT39 - L VIXM
VNLA,3d RSI VNLA LT55 - L VNLA,5d RSI VNLA LT67 - L VNLA
VNM,13d RSI VNM LT59 - L VNM,14d RSI VNM LT60 - L VNM
VNQI,3d RSI VNQI LT15 - L VNQI,7d RSI VNQI LT46 - L VNQI
VOE,8d RSI VOE LT30 - L VOE,3d RSI VOE LT13 - L VOE
VOOG,10d RSI VOOG LT28 - L VOOG,13d RSI VOOG LT32 - L VOOG
VRP,5d RSI VRP LT55 - L VRP,7d RSI VRP LT61 - L VRP
VSS,5d RSI VSS LT20 - L VSS,4d RSI VSS LT17 - L VSS
VTC,3d RSI VTC LT10 - L VTC,12d RSI VTC LT36 - L VTC
VTIP,20d RSI VTIP LT50 - L VTIP,7d RSI VTIP LT40 - L VTIP
VTV,3d RSI VTV LT12 - L VTV,3d RSI VTV LT15 - L VTV
VXUS,18d RSI VXUS LT41 - L VXUS,19d RSI VXUS LT42 - L VXUS
VYMI,3d RSI VYMI LT10 - L VYMI,14d RSI VYMI LT43 - L VYMI
XCEM,12d RSI XCEM LT36 - L XCEM,3d RSI XCEM LT13 - L XCEM
XHB,5d RSI XHB LT17 - L XHB,4d RSI XHB LT13 - L XHB
XLB,3d RSI XLB LT12 - L XLB,3d RSI XLB LT17 - L XLB
XLF,3d RSI XLF LT14 - L XLF,3d RSI XLF LT15 - L XLF
XLG,5d RSI XLG LT10 - L XLG,4d RSI XLG LT10 - L XLG
XLI,10d RSI XLI LT27 - L XLI,3d RSI XLI LT16 - L XLI
XLK,10d RSI XLK LT29 - L XLK,8d RSI XLK LT26 - L XLK
XLU,4d RSI XLU LT13 - L XLU,5d RSI XLU LT18 - L XLU
XLV,6d RSI XLV LT33 - L XLV,8d RSI XLV LT35 - L XLV
XME,5d RSI XME LT27 - L XME,19d RSI XME LT43 - L XME
XSOE,20d RSI XSOE LT41 - L XSOE,3d RSI XSOE LT12 - L XSOE
XYLD,4d RSI XYLD LT11 - L XYLD,4d RSI XYLD LT10 - L XYLD
YYY,10d RSI YYY LT33 - L YYY,17d RSI YYY LT42 - L YYY
