ticker,ours_branches,sheet_branches
ACWV,3d RSI ACWV LT10 - L ACWV,16d RSI ACWV LT56 - L ACWV
ANGL,3d RSI ANGL LT13 - L ANGL,4d RSI ANGL LT19 - L ANGL
AOK,3d RSI AOK LT28 - L AOK,3d RSI AOK LT26 - L AOK
AOM,11d RSI AOM LT36 - L AOM,3d RSI AOM LT19 - L AOM
AOR,4d RSI AOR LT19 - L AOR,3d RSI AOR LT15 - L AOR
ARKK,11d RSI ARKK LT28 - L ARKK,15d RSI ARKK LT33 - L ARKK
BAR,10d RSI BAR LT42 - L BAR,7d RSI BAR LT37 - L BAR
BIZD,4d RSI BIZD LT11 - L BIZD,5d RSI BIZD LT21 - L BIZD
BKLN,19d RSI BKLN LT43 - L BKLN,3d RSI BKLN LT28 - L BKLN
BOIL,15d RSI BOIL LT33 - L BOIL,16d RSI BOIL LT34 - L BOIL
BSCQ,3d RSI BSCQ LT41 - L BSCQ,7d RSI BSCQ LT66 - L BSCQ
BSCR,3d RSI BSCR LT18 - L BSCR,3d RSI BSCR LT11 - L BSCR
BSV,4d RSI BSV LT21 - L BSV,3d RSI BSV LT16 - L BSV
CEF,16d RSI CEF LT47 - L CEF,17d RSI CEF LT51 - L CEF
CIBR,8d RSI CIBR LT29 - L CIBR,10d RSI CIBR LT32 - L CIBR
COLO,3d RSI COLO LT11 - L COLO,3d RSI COLO LT10 - L COLO
CORN,18d RSI CORN LT35 - L CORN,21d RSI CORN LT38 - L CORN
COWZ,4d RSI COWZ LT16 - L COWZ,13d RSI COWZ LT39 - L COWZ
CWEB,21d RSI CWEB LT37 - L CWEB,13d RSI CWEB LT30 - L CWEB
CWI,17d RSI CWI LT40 - L CWI,21d RSI CWI LT43 - L CWI
CXSE,21d RSI CXSE LT48 - L CXSE,13d RSI CXSE LT41 - L CXSE
DDWM,9d RSI DDWM LT43 - L DDWM,21d RSI DDWM LT53 - L DDWM
DES,8d RSI DES LT23 - L DES,3d RSI DES LT12 - L DES
DFEN,19d RSI DFEN LT40 - L DFEN,4d RSI DFEN LT13 - L DFEN
DGRO,3d RSI DGRO LT11 - L DGRO,3d RSI DGRO LT12 - L DGRO
DGRW,4d RSI DGRW LT16 - L DGRW,3d RSI DGRW LT11 - L DGRW
DIV,7d RSI DIV LT30 - L DIV,19d RSI DIV LT43 - L DIV
DIVB,3d RSI DIVB LT10 - L DIVB,4d RSI DIVB LT15 - L DIVB
DIVO,6d RSI DIVO LT25 - L DIVO,3d RSI DIVO LT17 - L DIVO
DLN,8d RSI DLN LT28 - L DLN,3d RSI DLN LT12 - L DLN
DRV,4d RSI DRV LT16 - L DRV,3d RSI DRV LT10 - L DRV
DULL,6d RSI DULL LT10 - L DULL,6d RSI DULL LT11 - L DULL
DVY,20d RSI DVY LT39 - L DVY,4d RSI DVY LT19 - L DVY
DVYE,17d RSI DVYE LT46 - L DVYE,16d RSI DVYE LT46 - L DVYE
DXJ,20d RSI DXJ LT44 - L DXJ,17d RSI DXJ LT44 - L DXJ
EBND,6d RSI EBND LT27 - L EBND,6d RSI EBND LT28 - L EBND
ECH,17d RSI ECH LT39 - L ECH,4d RSI ECH LT14 - L ECH
EDIV,5d RSI EDIV LT27 - L EDIV,6d RSI EDIV LT33 - L EDIV
EEM,14d RSI EEM LT38 - L EEM,3d RSI EEM LT10 - L EEM
EEMV,19d RSI EEMV LT45 - L EEMV,15d RSI EEMV LT44 - L EEMV
EFA,14d RSI EFA LT36 - L EFA,19d RSI EFA LT42 - L EFA
EFG,20d RSI EFG LT38 - L EFG,3d RSI EFG LT10 - L EFG
EFV,15d RSI EFV LT43 - L EFV,17d RSI EFV LT45 - L EFV
EIDO,11d RSI EIDO LT29 - L EIDO,12d RSI EIDO LT30 - L EIDO
EMHY,17d RSI EMHY LT44 - L EMHY,3d RSI EMHY LT26 - L EMHY
EMLC,4d RSI EMLC LT22 - L EMLC,5d RSI EMLC LT28 - L EMLC
EMLP,6d RSI EMLP LT31 - L EMLP,19d RSI EMLP LT50 - L EMLP
EMXC,3d RSI EMXC LT12 - L EMXC,3d RSI EMXC LT13 - L EMXC
EPOL,11d RSI EPOL LT38 - L EPOL,21d RSI EPOL LT48 - L EPOL
EPP,10d RSI EPP LT34 - L EPP,9d RSI EPP LT32 - L EPP
EPU,6d RSI EPU LT32 - L EPU,15d RSI EPU LT51 - L EPU
ESGD,17d RSI ESGD LT38 - L ESGD,20d RSI ESGD LT42 - L ESGD
ESGE,14d RSI ESGE LT38 - L ESGE,3d RSI ESGE LT11 - L ESGE
EUFN,3d RSI EUFN LT11 - L EUFN,20d RSI EUFN LT49 - L EUFN
EWC,18d RSI EWC LT43 - L EWC,5d RSI EWC LT27 - L EWC
EWG,6d RSI EWG LT22 - L EWG,19d RSI EWG LT45 - L EWG
