ticker,branch_id
AAAU,13d RSI AAAU LT29 - L AAAU
AAXJ,20d RSI AAXJ LT30 - L AAXJ
ABFL,21d RSI ABFL LT36 - L ABFL
ABLG,12d RSI ABLG LT25 - L ABLG
ACES,6d RSI ACES LT14 - L ACES
ACWI,17d RSI ACWI LT32 - L ACWI
ACWV,16d RSI ACWV LT30 - L ACWV
ACWX,14d RSI ACWX LT29 - L ACWX
ADME,18d RSI ADME LT32 - L ADME
AFIF,11d RSI AFIF LT30 - L AFIF
AFK,9d RSI AFK LT19 - L AFK
AGGY,7d RSI AGGY LT13 - L AGGY
AGNG,20d RSI AGNG LT33 - L AGNG
AGZ,17d RSI AGZ LT26 - L AGZ
AGZD,10d RSI AGZD LT30 - L AGZD
AIA,6d RSI AIA LT15 - L AIA
AIQ,20d RSI AIQ LT34 - L AIQ
AIVL,7d RSI AIVL LT18 - L AIVL
AMZA,20d RSI AMZA LT40 - L AMZA
ANGL,19d RSI ANGL LT26 - L ANGL
AOA,18d RSI AOA LT33 - L AOA
AOK,21d RSI AOK LT31 - L AOK
AOM,20d RSI AOM LT32 - L AOM
ARGT,10d RSI ARGT LT29 - L ARGT
ARKQ,10d RSI ARKQ LT22 - L ARKQ
ARKW,4d RSI ARKW LT10 - L ARKW
ARTY,19d RSI ARTY LT31 - L ARTY
ASEA,7d RSI ASEA LT21 - L ASEA
ASHR,17d RSI ASHR LT27 - L ASHR
ASHS,11d RSI ASHS LT28 - L ASHS
ATMP,21d RSI ATMP LT44 - L ATMP
AUSF,21d RSI AUSF LT37 - L AUSF
BAB,16d RSI BAB LT28 - L BAB
BATT,18d RSI BATT LT32 - L BATT
BBAG,10d RSI BBAG LT19 - L BBAG
BBAX,10d RSI BBAX LT25 - L BBAX
BBCA,10d RSI BBCA LT27 - L BBCA
BBEU,6d RSI BBEU LT16 - L BBEU
BBH,4d RSI BBH LT10 - L BBH
BBHY,15d RSI BBHY LT27 - L BBHY
BBJP,15d RSI BBJP LT32 - L BBJP
BBRE,21d RSI BBRE LT31 - L BBRE
BCD,5d RSI BCD LT11 - L BCD
BFOR,20d RSI BFOR LT38 - L BFOR
BGRN,21d RSI BGRN LT30 - L BGRN
BIB,4d RSI BIB LT11 - L BIB
BIBL,19d RSI BIBL LT32 - L BIBL
BIS,18d RSI BIS LT36 - L BIS
BIV,14d RSI BIV LT27 - L BIV
BJUL,20d RSI BJUL LT36 - L BJUL
BKF,5d RSI BKF LT12 - L BKF
BKLN,10d RSI BKLN LT21 - L BKLN
BLCN,7d RSI BLCN LT15 - L BLCN
BLES,16d RSI BLES LT31 - L BLES
