,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2025 OOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGL,4d RSI ANGL LT11 - L ANGL,2.1 %,1.9 %,1044,940,5.1 %,5.6 %,41.2 %,33.9 %,0.0 %,-0.4 %,2,3,0.2,0.2,100.0 %,100.0 %,,,522,312,1.0 %,0.6 %,2.5,3.7,0,0,2,3,0,0,2,3,0,0,2,3,,,2,3,,,3.3,10.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,522,312,0,0,100.0 %,100.0 %
AOA,13d RSI AOA LT32 - L AOA,4.0 %,4.5 %,2024,2237,100.0 %,5.2 %,4.0 %,86.7 %,0.0 %,-0.7 %,1,3,0.1,0.2,100.0 %,100.0 %,,,2024,737,4.0 %,1.5 %,3,3.3,0,0,1,3,0,0,1,3,0,0,1,3,,,1,3,,,0,3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,2024,737,0,0,100.0 %,100.0 %
AOK,3d RSI AOK LT10 - L AOK,0.6 %,2.4 %,295,1193,100.0 %,7.9 %,0.6 %,30.1 %,0.0 %,-0.5 %,1,5,0.1,0.4,100.0 %,100.0 %,,,295,236,0.6 %,0.5 %,3,3,0,0,1,5,0,0,1,5,0,0,1,5,,,1,5,,,0,6.2,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,295,236,0,0,100.0 %,100.0 %
AOM,19d RSI AOM LT44 - L AOM,2.8 %,4.3 %,1410,2172,10.9 %,11.5 %,25.9 %,37.7 %,-0.4 %,-0.8 %,6,8,0.5,0.7,66.7 %,87.5 %,1.7,2.8,235,267,0.5 %,0.5 %,3,2.2,1,1,3,7,1,0,3,7,1,0,3,5,2,7,4,7,3.3,19.6,1.4,4,-785,-115,-0.8 %,-0.2 %,-785,0,-0.8 %,0.0 %,-785,0,-0.8 %,0.0 %,66.7 %,87.5 %,66.7 %,87.5 %,66.7 %,100.0 %,504,321,-303,-115,75.0 %,100.0 %
AOR,3d RSI AOR LT10 - L AOR,5.1 %,3.2 %,2540,1618,5.4 %,6.8 %,94.3 %,48.0 %,0.0 %,-0.7 %,3,4,0.2,0.3,100.0 %,100.0 %,,,847,400,1.7 %,0.8 %,2,3.2,0,0,3,4,0,0,3,4,0,0,3,4,,,3,4,,,3.9,3.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,847,400,0,0,100.0 %,100.0 %
ARGT,7d RSI ARGT LT37 - L ARGT,8.2 %,34.3 %,4121,17167,38.5 %,21.8 %,21.4 %,157.3 %,-11.7 %,-3.8 %,15,16,1.2,1.3,60.0 %,87.5 %,1,2.7,275,936,0.5 %,1.9 %,4.9,2.4,3,1,3,8,3,1,3,12,4,0,2,10,1.5,7,9,14,1.5,18.8,0.7,5.1,-12827,-571,-12.8 %,-1.1 %,-12827,-571,-12.8 %,-1.1 %,-11463,0,-11.5 %,0.0 %,60.0 %,87.5 %,60.0 %,87.5 %,60.0 %,92.9 %,1349,1130,-1337,-421,50.0 %,100.0 %
ARKK,5d RSI ARKK LT15 - L ARKK,3.2 %,10.7 %,1613,5349,100.0 %,5.2 %,3.2 %,207.4 %,0.0 %,-3.4 %,1,3,0.1,0.2,100.0 %,100.0 %,,,1613,1726,3.2 %,3.5 %,3,3.3,0,0,1,3,0,0,1,3,0,0,1,3,,,1,3,,,0,5.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1613,1726,0,0,100.0 %,100.0 %
ARKQ,4d RSI ARKQ LT18 - L ARKQ,10.1 %,12.3 %,5073,6142,13.7 %,8.7 %,74.0 %,140.7 %,-1.9 %,-1.8 %,5,5,0.4,0.4,60.0 %,100.0 %,1.4,,1015,1177,2.0 %,2.4 %,4.4,3.4,1,0,3,5,1,0,3,5,1,0,3,4,1.5,,3,5,2.2,,0.7,3.6,-6557,0,-6.6 %,0.0 %,-6557,0,-6.6 %,0.0 %,-6557,0,-6.6 %,0.0 %,60.0 %,100.0 %,60.0 %,100.0 %,60.0 %,100.0 %,3140,1177,-2174,0,75.0 %,100.0 %
ARKW,3d RSI ARKW LT10 - L ARKW,15.1 %,13.0 %,7545,6503,11.2 %,5.2 %,134.4 %,252.1 %,-1.6 %,-2.6 %,5,4,0.4,0.3,60.0 %,100.0 %,2.2,,1509,1555,3.0 %,3.1 %,3.4,2.2,1,0,3,4,1,0,3,4,1,0,3,3,1.5,,3,4,3.3,,1.1,5.9,-4842,0,-4.8 %,0.0 %,-4842,0,-4.8 %,0.0 %,-1856,0,-1.9 %,0.0 %,60.0 %,100.0 %,60.0 %,100.0 %,60.0 %,100.0 %,3631,1555,-1675,0,75.0 %,100.0 %
ASHR,3d RSI ASHR LT10 - L ASHR,-0.2 %,6.5 %,-94,3239,9.0 %,5.2 %,-2.1 %,125.6 %,-4.9 %,-0.2 %,4,6,0.3,0.5,75.0 %,100.0 %,0.3,,-23,528,-0.0 %,1.1 %,4,1.2,1,0,2,6,1,0,2,6,1,0,2,5,3,,3,6,1,,0,3,-4926,0,-4.9 %,0.0 %,-4926,0,-4.9 %,0.0 %,-4926,0,-4.9 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,790,528,-2463,0,75.0 %,100.0 %
BAB,16d RSI BAB LT38 - L BAB,2.3 %,2.3 %,1168,1131,15.8 %,15.9 %,14.7 %,14.2 %,0.0 %,-1.9 %,3,10,0.2,0.8,100.0 %,70.0 %,,3.9,389,112,0.8 %,0.2 %,3.7,3,0,1,3,4,0,1,3,4,0,1,3,2,,2.3,3,7,,9.1,2.2,2.2,0,-59,0.0 %,-0.1 %,0,-59,0.0 %,-0.1 %,0,0,0.0 %,-0.0 %,100.0 %,70.0 %,100.0 %,70.0 %,100.0 %,70.0 %,389,180,0,-46,100.0 %,75.0 %
BAR,3d RSI BAR LT13 - L BAR,11.2 %,8.0 %,5578,3974,6.9 %,8.3 %,162.7 %,95.4 %,0.0 %,-0.7 %,5,7,0.4,0.6,100.0 %,100.0 %,,,1116,550,2.2 %,1.1 %,1.4,2,0,0,5,7,0,0,5,7,0,0,5,6,,,5,7,,,4.7,8,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1116,550,0,0,100.0 %,100.0 %
BBHY,5d RSI BBHY LT27 - L BBHY,-0.0 %,1.9 %,-16,972,9.0 %,7.9 %,-0.4 %,24.5 %,-0.4 %,-0.4 %,3,6,0.2,0.5,66.7 %,100.0 %,0.5,,-5,161,-0.0 %,0.3 %,3.7,2.3,1,0,1,6,1,0,1,6,1,0,1,5,2,,2,6,0.9,,-0.1,4.6,-400,0,-0.4 %,0.0 %,-400,0,-0.4 %,0.0 %,-400,0,-0.4 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,92,161,-200,0,66.7 %,100.0 %
BBLU,5d RSI BBLU LT21 - L BBLU,-1.9 %,6.7 %,-932,3367,10.4 %,7.9 %,-18.0 %,84.9 %,0.0 %,-1.2 %,3,4,0.2,0.3,66.7 %,100.0 %,0.3,,-311,822,-0.6 %,1.6 %,5.7,4,1,0,2,4,1,0,2,4,1,0,2,4,2,,2,4,0.5,,-0.4,4.9,-4132,0,-4.1 %,0.0 %,-4132,0,-4.1 %,0.0 %,-4132,0,-4.1 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,567,822,-2066,0,66.7 %,100.0 %
BCI,8d RSI BCI LT25 - L BCI,0.9 %,0.6 %,461,320,14.6 %,5.2 %,6.3 %,12.4 %,0.0 %,-3.2 %,2,2,0.2,0.2,100.0 %,50.0 %,,2.3,230,161,0.5 %,0.3 %,6,5.5,0,1,2,1,0,1,2,1,0,1,2,1,,1,2,1,,2.3,1.9,0.6,0,-244,0.0 %,-0.5 %,0,-244,0.0 %,-0.5 %,0,-244,0.0 %,-0.5 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,230,567,0,-244,100.0 %,50.0 %
BIV,4d RSI BIV LT15 - L BIV,1.7 %,0.9 %,857,447,3.3 %,6.8 %,51.9 %,13.2 %,0.0 %,-1.0 %,3,4,0.2,0.3,100.0 %,75.0 %,,7.4,286,111,0.6 %,0.2 %,1.3,3.2,0,1,3,3,0,1,3,3,0,1,3,2,,3,3,3,,22.2,2.8,2,0,-21,0.0 %,-0.0 %,0,-21,0.0 %,-0.0 %,0,-21,0.0 %,-0.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,286,156,0,-21,100.0 %,66.7 %
BIZD,9d RSI BIZD LT39 - L BIZD,-7.9 %,8.0 %,-3957,3983,37.4 %,14.3 %,-21.2 %,55.8 %,-11.3 %,-5.3 %,12,9,1,0.8,58.3 %,88.9 %,0.3,1.1,-330,429,-0.7 %,0.9 %,5.6,3,3,1,3,5,3,1,3,3,2,1,2,3,1.4,8,7,8,0.5,9.1,-0.8,3.1,-8603,-478,-8.6 %,-1.0 %,-8603,-478,-8.6 %,-1.0 %,-6805,-104,-6.8 %,-0.2 %,58.3 %,88.9 %,58.3 %,88.9 %,58.3 %,85.7 %,528,543,-1530,-478,57.1 %,83.3 %
BKLN,3d RSI BKLN LT11 - L BKLN,1.1 %,1.6 %,539,786,10.4 %,5.2 %,10.4 %,30.5 %,0.0 %,-0.2 %,4,3,0.3,0.2,75.0 %,100.0 %,,,135,261,0.3 %,0.5 %,3.8,3.3,1,0,2,3,1,0,2,3,1,0,2,3,3,,3,3,,,2.9,3.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,180,261,0,0,75.0 %,100.0 %
BLV,10d RSI BLV LT26 - L BLV,0.8 %,4.5 %,384,2229,100.0 %,5.6 %,0.8 %,80.2 %,0.0 %,-0.7 %,1,5,0.1,0.4,100.0 %,100.0 %,,,384,439,0.8 %,0.9 %,5,1.8,0,0,1,5,0,0,1,5,0,0,1,4,,,1,5,,,0,3.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,384,439,0,0,100.0 %,100.0 %
BND,5d RSI BND LT19 - L BND,1.3 %,0.8 %,632,427,2.3 %,5.2 %,54.1 %,16.6 %,0.0 %,-1.1 %,2,4,0.2,0.3,100.0 %,75.0 %,,2.3,316,107,0.6 %,0.2 %,1.5,2.2,0,1,2,3,0,1,2,3,0,0,2,3,,3,2,3,,7,3.8,1.5,0,-71,0.0 %,-0.1 %,0,-71,0.0 %,-0.1 %,0,0,0.0 %,0.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,316,166,0,-71,100.0 %,100.0 %
BNDX,4d RSI BNDX LT20 - L BNDX,0.4 %,1.4 %,198,676,11.1 %,5.6 %,3.6 %,24.3 %,-0.3 %,-0.2 %,5,5,0.4,0.4,60.0 %,100.0 %,1.5,,40,134,0.1 %,0.3 %,4.2,1.8,2,0,3,5,2,0,3,5,2,0,3,5,1.5,,3,5,2.3,,0.8,6.7,-301,0,-0.3 %,0.0 %,-301,0,-0.3 %,0.0 %,-301,0,-0.3 %,0.0 %,60.0 %,100.0 %,60.0 %,100.0 %,60.0 %,100.0 %,116,134,-75,0,60.0 %,100.0 %
BNO,4d RSI BNO LT16 - L BNO,9.2 %,12.7 %,4603,6340,8.9 %,8.3 %,103.6 %,152.2 %,-1.0 %,-1.6 %,6,6,0.5,0.5,83.3 %,100.0 %,2,,767,1009,1.5 %,2.0 %,2.3,2.5,1,0,3,6,1,0,3,6,1,0,3,5,5,,5,6,9.8,,3.1,3.9,-1051,0,-1.1 %,0.0 %,-1051,0,-1.1 %,0.0 %,-1051,0,-1.1 %,0.0 %,83.3 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,1026,1009,-525,0,83.3 %,100.0 %
BOND,4d RSI BOND LT14 - L BOND,0.9 %,2.1 %,469,1045,100.0 %,8.3 %,0.9 %,25.1 %,0.0 %,-1.1 %,1,6,0.1,0.5,100.0 %,83.3 %,,,469,173,0.9 %,0.3 %,3,2.5,0,1,1,5,0,1,1,5,0,1,1,4,,5,1,5,,,0,3.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,83.3 %,469,207,0,0,100.0 %,80.0 %
BOTZ,3d RSI BOTZ LT10 - L BOTZ,11.2 %,11.3 %,5602,5633,9.0 %,9.1 %,123.8 %,123.4 %,-1.1 %,-2.3 %,5,5,0.4,0.4,60.0 %,80.0 %,4.7,28,1120,1083,2.2 %,2.2 %,2.8,3.6,1,1,1,3,1,1,1,3,1,0,2,4,1.5,4,3,4,7.1,112.2,1.5,3.9,-1113,-49,-1.1 %,-0.1 %,-1113,-49,-1.1 %,-0.1 %,-732,0,-0.7 %,0.0 %,60.0 %,80.0 %,60.0 %,80.0 %,60.0 %,80.0 %,2175,1366,-461,-49,75.0 %,100.0 %
BSCQ,3d RSI BSCQ LT26 - L BSCQ,0.3 %,2.4 %,134,1200,100.0 %,16.7 %,0.3 %,14.4 %,0.0 %,-0.1 %,1,10,0.1,0.8,100.0 %,100.0 %,,,134,119,0.3 %,0.2 %,2,3.2,0,0,1,10,0,0,1,9,0,0,1,7,,,1,10,,,0,7.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,134,119,0,0,100.0 %,100.0 %
BSV,3d RSI BSV LT11 - L BSV,0.3 %,0.2 %,153,85,100.0 %,5.6 %,0.3 %,3.0 %,0.0 %,-0.3 %,1,3,0.1,0.2,100.0 %,66.7 %,,1.2,153,28,0.3 %,0.1 %,1,3.7,0,1,1,1,0,1,1,1,0,1,1,1,,2,1,2,,2.4,0,0.8,0,-61,0.0 %,-0.1 %,0,-61,0.0 %,-0.1 %,0,-61,0.0 %,-0.1 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,153,73,0,-61,100.0 %,66.7 %
BTAL,12d RSI BTAL LT34 - L BTAL,2.0 %,5.5 %,990,2727,34.2 %,6.3 %,5.8 %,85.9 %,-3.6 %,-1.0 %,9,5,0.8,0.4,55.6 %,100.0 %,1.2,,110,534,0.2 %,1.1 %,4.8,2.2,4,0,3,5,4,0,3,5,1,0,3,4,1.2,,5,5,1.6,,0.5,6.6,-3571,0,-3.6 %,0.0 %,-3571,0,-3.6 %,0.0 %,-3571,0,-3.6 %,0.0 %,55.6 %,100.0 %,55.6 %,100.0 %,55.6 %,100.0 %,555,534,-446,0,83.3 %,100.0 %
BWX,21d RSI BWX LT36 - L BWX,-0.6 %,6.2 %,-313,3125,100.0 %,10.7 %,-0.6 %,58.3 %,0.0 %,-0.8 %,1,9,0.1,0.8,0.0 %,88.9 %,0,16,-313,339,-0.6 %,0.7 %,7,2,1,1,0,8,1,1,0,6,1,0,0,5,0,8,0,8,0,127.7,0,4.1,-626,-24,-0.6 %,-0.1 %,-626,-24,-0.6 %,-0.1 %,-626,0,-0.6 %,0.0 %,0.0 %,88.9 %,0.0 %,88.9 %,0.0 %,85.7 %,0,384,-313,-24,0.0 %,100.0 %
BWZ,20d RSI BWZ LT37 - L BWZ,2.3 %,6.3 %,1169,3139,3.4 %,9.9 %,68.1 %,63.3 %,0.0 %,-0.6 %,3,8,0.2,0.7,100.0 %,100.0 %,,,390,382,0.8 %,0.8 %,1.7,2,0,0,3,8,0,0,3,7,0,0,2,5,,,3,8,,,3.8,5.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,390,382,0,0,100.0 %,100.0 %
CALF,19d RSI CALF LT36 - L CALF,5.5 %,4.2 %,2757,2102,59.7 %,5.6 %,9.2 %,75.7 %,-6.7 %,-1.6 %,10,3,0.8,0.2,90.0 %,100.0 %,0.2,,276,695,0.6 %,1.4 %,3,3,1,0,6,3,1,0,5,3,1,0,2,3,9,,9,3,1.8,,0.7,1.9,-6961,0,-7.0 %,0.0 %,-6961,0,-7.0 %,0.0 %,-2728,0,-2.7 %,0.0 %,90.0 %,100.0 %,90.0 %,100.0 %,87.5 %,100.0 %,693,695,-3480,0,75.0 %,100.0 %
CEF,5d RSI CEF LT20 - L CEF,3.2 %,9.0 %,1603,4496,100.0 %,5.2 %,3.2 %,174.3 %,0.0 %,-0.6 %,1,5,0.1,0.4,100.0 %,100.0 %,,,1603,869,3.2 %,1.7 %,3,1.6,0,0,1,5,0,0,1,5,0,0,1,4,,,1,5,,,0,8.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1603,869,0,0,100.0 %,100.0 %
CHAU,4d RSI CHAU LT16 - L CHAU,-2.0 %,30.5 %,-1004,15256,9.0 %,9.1 %,-22.3 %,334.3 %,-10.6 %,-1.2 %,4,9,0.3,0.8,75.0 %,100.0 %,0.3,,-251,1507,-0.5 %,3.0 %,4,1.6,1,0,2,9,1,0,2,9,1,0,2,6,3,,3,9,0.8,,-0.2,6,-10775,0,-10.8 %,0.0 %,-10775,0,-10.8 %,0.0 %,-10775,0,-10.8 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,1461,1507,-5387,0,75.0 %,100.0 %
CIBR,3d RSI CIBR LT12 - L CIBR,9.2 %,20.2 %,4587,10122,9.3 %,13.5 %,99.1 %,150.0 %,-1.0 %,-1.7 %,5,9,0.4,0.8,60.0 %,100.0 %,3.7,,917,1041,1.8 %,2.1 %,3,2.8,1,0,2,9,1,0,2,9,1,0,2,8,1.5,,3,9,5.6,,1,4,-1070,0,-1.1 %,0.0 %,-1070,0,-1.1 %,0.0 %,-1070,0,-1.1 %,0.0 %,60.0 %,100.0 %,60.0 %,100.0 %,60.0 %,100.0 %,1863,1041,-502,0,60.0 %,100.0 %
CMDT,7d RSI CMDT LT25 - L CMDT,1.5 %,2.9 %,758,1446,5.2 %,6.0 %,29.1 %,48.6 %,0.0 %,-1.2 %,3,4,0.2,0.3,66.7 %,75.0 %,,23.2,253,358,0.5 %,0.7 %,2.3,2.8,1,1,1,2,1,1,1,2,1,0,1,3,2,3,2,3,,69.7,2.2,3.2,0,-21,0.0 %,-0.0 %,0,-21,0.0 %,-0.0 %,0,0,0.0 %,0.0 %,66.7 %,75.0 %,66.7 %,75.0 %,66.7 %,75.0 %,379,484,0,-21,66.7 %,100.0 %
CMF,18d RSI CMF LT35 - L CMF,0.5 %,2.3 %,237,1159,20.0 %,6.8 %,2.4 %,34.4 %,-0.3 %,-0.1 %,3,6,0.2,0.5,66.7 %,100.0 %,1.3,,79,191,0.2 %,0.4 %,3.3,1.8,1,0,2,6,1,0,2,5,1,0,2,4,2,,2,6,2.6,,0.7,8.9,-297,0,-0.3 %,0.0 %,-297,0,-0.3 %,0.0 %,-297,0,-0.3 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,193,191,-149,0,66.7 %,100.0 %
COLO,6d RSI COLO LT18 - L COLO,7.8 %,0.5 %,3877,269,100.0 %,5.2 %,7.8 %,10.4 %,0.0 %,-4.2 %,1,4,0.1,0.3,100.0 %,75.0 %,,0.4,3877,71,7.8 %,0.1 %,6,2.2,0,1,1,2,0,1,1,2,0,1,1,2,,3,1,3,,1.3,0,0.2,0,-971,0.0 %,-1.9 %,0,-971,0.0 %,-1.9 %,0,-971,0.0 %,-1.9 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,3877,418,0,-971,100.0 %,75.0 %
