,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2025 OOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (664),Condition (664),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
AAXJ,20d RSI AAXJ LT41 - L AAXJ,5.0 %,8.4 %,2495,4191,13.6 %,6.0 %,36.6 %,140.8 %,0.0 %,-0.8 %,3,5,0.2,0.4,100.0 %,100.0 %,,,832,813,1.7 %,1.6 %,2,2,0,0,3,5,0,0,2,5,0,0,2,5,,,3,5,,,2.1,4.2,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,832,813,0,0,100.0 %,100.0 %
ACWI,6d RSI ACWI LT21 - L ACWI,8.4 %,5.2 %,4222,2600,4.2 %,5.2 %,201.5 %,100.8 %,0.0 %,-1.0 %,2,3,0.2,0.2,100.0 %,100.0 %,,,2111,855,4.2 %,1.7 %,2.5,3.3,0,0,2,3,0,0,2,3,0,0,2,3,,,2,3,,,2.8,2.8,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,2111,855,0,0,100.0 %,100.0 %
ACWV,13d RSI ACWV LT34 - L ACWV,1.0 %,2.3 %,491,1140,16.2 %,6.3 %,6.1 %,35.9 %,0.0 %,-0.9 %,2,3,0.2,0.2,50.0 %,66.7 %,3,2.9,245,379,0.5 %,0.8 %,4,3.7,1,1,1,2,1,1,1,2,1,1,1,2,1,2,1,2,3,5.8,0.7,1.5,-489,-236,-0.5 %,-0.5 %,-489,-236,-0.5 %,-0.5 %,-489,-236,-0.5 %,-0.5 %,50.0 %,66.7 %,50.0 %,66.7 %,50.0 %,66.7 %,735,686,-244,-236,50.0 %,66.7 %
ACWX,11d RSI ACWX LT32 - L ACWX,5.1 %,5.7 %,2533,2841,4.4 %,6.3 %,115.0 %,89.5 %,0.0 %,-0.9 %,3,4,0.2,0.3,100.0 %,100.0 %,,,844,697,1.7 %,1.4 %,2.3,3,0,0,3,4,0,0,3,4,0,0,3,4,,,3,4,,,2.2,3.4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,844,697,0,0,100.0 %,100.0 %
AGG,5d RSI AGG LT21 - L AGG,1.2 %,2.3 %,586,1152,2.8 %,9.1 %,42.0 %,25.2 %,0.0 %,-1.0 %,2,7,0.2,0.6,100.0 %,85.7 %,,2.4,293,163,0.6 %,0.3 %,2,2.3,0,1,2,4,0,1,2,4,0,0,2,5,,6,2,6,,14.5,3.9,2.6,0,-85,0.0 %,-0.2 %,0,-85,0.0 %,-0.2 %,0,0,0.0 %,0.0 %,100.0 %,85.7 %,100.0 %,85.7 %,100.0 %,85.7 %,293,205,0,-85,100.0 %,100.0 %
AGQ,6d RSI AGQ LT22 - L AGQ,8.2 %,20.2 %,4097,10094,100.0 %,6.3 %,8.2 %,318.0 %,0.0 %,-4.3 %,1,6,0.1,0.5,100.0 %,100.0 %,,,4097,1558,8.2 %,3.1 %,3,1.7,0,0,1,6,0,0,1,6,0,0,1,4,,,1,6,,,0,8.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,4097,1558,0,0,100.0 %,100.0 %
AIA,8d RSI AIA LT30 - L AIA,-4.0 %,10.1 %,-1994,5054,4.4 %,7.9 %,-90.1 %,127.4 %,-7.0 %,-2.5 %,3,6,0.2,0.5,66.7 %,100.0 %,0.2,,-665,810,-1.3 %,1.6 %,2.3,2.3,1,0,1,6,1,0,1,6,1,0,1,6,2,,2,6,0.4,,-0.6,5.9,-7072,0,-7.1 %,0.0 %,-7072,0,-7.1 %,0.0 %,-7072,0,-7.1 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,771,810,-3536,0,66.7 %,100.0 %
AIRR,8d RSI AIRR LT28 - L AIRR,6.6 %,3.6 %,3275,1800,13.6 %,5.2 %,48.0 %,69.8 %,0.0 %,-1.1 %,4,3,0.3,0.2,75.0 %,100.0 %,0.6,,819,593,1.6 %,1.2 %,5.8,2.7,1,0,3,3,1,0,3,3,1,0,2,3,3,,3,3,1.8,,0.5,29.2,-8504,0,-8.5 %,0.0 %,-8504,0,-8.5 %,0.0 %,-8504,0,-8.5 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,2509,593,-4252,0,66.7 %,100.0 %
AMLP,16d RSI AMLP LT39 - L AMLP,2.8 %,9.2 %,1418,4581,16.9 %,5.2 %,16.8 %,177.6 %,-1.6 %,-1.3 %,4,5,0.3,0.4,75.0 %,100.0 %,0.9,,354,885,0.7 %,1.8 %,5,1.6,1,0,2,5,1,0,2,5,0,0,3,4,3,,3,5,2.7,,1,9,-1632,0,-1.6 %,0.0 %,-1632,0,-1.6 %,0.0 %,0,0,0.0 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,745,885,-816,0,100.0 %,100.0 %
