,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2020 OOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (684),Condition (684),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
ANGL,10d RSI ANGL LT31 - L ANGL,-10.5 %,3.1 %,-5248,1552,12.4 %,6.8 %,-84.5 %,46.0 %,-13.1 %,-0.6 %,4,4,0.3,0.3,50.0 %,100.0 %,0.2,,-1312,384,-2.6 %,0.8 %,3.8,3.2,2,0,2,4,2,0,2,4,2,0,0,3,1,,2,4,0.2,,-0.8,12.1,-13477,0,-13.5 %,0.0 %,-13477,0,-13.5 %,0.0 %,-10497,0,-10.5 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,745,384,-3369,0,0.0 %,100.0 %
AOA,19d RSI AOA LT43 - L AOA,-2.8 %,14.2 %,-1382,7090,21.0 %,11.5 %,-13.2 %,123.2 %,-8.0 %,-0.9 %,8,10,0.7,0.8,62.5 %,90.0 %,0.4,33.9,-173,669,-0.3 %,1.3 %,3.8,1.9,3,1,5,6,2,1,4,5,1,0,3,5,1.7,9,5,9,0.7,304.9,-0.3,5.6,-10928,-22,-10.9 %,-0.0 %,-10928,-22,-10.9 %,-0.0 %,-6400,0,-6.4 %,0.0 %,62.5 %,90.0 %,62.5 %,90.0 %,66.7 %,88.9 %,816,746,-1821,-22,75.0 %,100.0 %
AOK,21d RSI AOK LT53 - L AOK,1.6 %,4.9 %,800,2470,47.0 %,12.7 %,3.4 %,38.9 %,-9.9 %,-0.4 %,20,9,1.7,0.8,80.0 %,88.9 %,0.3,17.5,40,269,0.1 %,0.5 %,3.3,2.6,2,1,12,5,2,1,8,5,1,0,4,5,4,8,16,8,1.1,140.3,0.1,5.9,-10614,-17,-10.6 %,-0.0 %,-8069,-17,-8.1 %,-0.0 %,-7236,0,-7.2 %,0.0 %,80.0 %,88.9 %,80.0 %,88.9 %,71.4 %,88.9 %,441,305,-1563,-17,66.7 %,100.0 %
AOM,18d RSI AOM LT49 - L AOM,-4.6 %,7.3 %,-2318,3636,30.6 %,13.1 %,-15.2 %,55.5 %,-11.0 %,-0.3 %,11,11,0.9,0.9,63.6 %,100.0 %,0.4,,-211,320,-0.4 %,0.6 %,4.1,2,2,0,5,11,2,0,3,10,1,0,4,5,1.8,,7,11,0.7,,-0.4,7,-12325,0,-12.3 %,0.0 %,-9599,0,-9.6 %,0.0 %,-8707,0,-8.7 %,0.0 %,63.6 %,100.0 %,63.6 %,100.0 %,62.5 %,100.0 %,627,320,-1677,0,80.0 %,100.0 %
AOR,20d RSI AOR LT44 - L AOR,2.2 %,9.1 %,1092,4527,21.0 %,9.9 %,10.4 %,91.3 %,-6.9 %,-0.7 %,10,9,0.8,0.8,60.0 %,100.0 %,0.8,,109,485,0.2 %,1.0 %,2.8,1.8,3,0,3,9,2,0,5,9,1,0,3,5,1.5,,6,9,1.2,,0.3,5.5,-9038,0,-9.0 %,0.0 %,-9038,0,-9.0 %,0.0 %,-2040,0,-2.0 %,0.0 %,60.0 %,100.0 %,60.0 %,100.0 %,71.4 %,100.0 %,1014,485,-1248,0,75.0 %,100.0 %
ARGT,4d RSI ARGT LT15 - L ARGT,-20.0 %,8.1 %,-10013,4033,14.8 %,5.2 %,-135.0 %,156.3 %,-19.7 %,-4.4 %,3,4,0.2,0.3,33.3 %,100.0 %,0,,-3338,980,-6.7 %,2.0 %,6.7,2.2,2,0,1,4,2,0,1,4,1,0,1,4,0.5,,1,4,0,,-1.3,7.2,-20397,0,-20.4 %,0.0 %,-20397,0,-20.4 %,0.0 %,-20397,0,-20.4 %,0.0 %,33.3 %,100.0 %,33.3 %,100.0 %,33.3 %,100.0 %,186,980,-5099,0,50.0 %,100.0 %
ARKG,13d RSI ARKG LT34 - L ARKG,3.7 %,5.5 %,1873,2753,100.0 %,5.6 %,3.7 %,99.1 %,0.0 %,-6.4 %,2,4,0.2,0.3,50.0 %,75.0 %,1.9,1.2,936,686,1.9 %,1.4 %,2,2.5,1,1,1,2,0,1,1,2,0,1,1,2,1,3,1,3,1.9,3.6,0.4,1.3,-4246,-1069,-4.2 %,-2.1 %,0,-1069,0.0 %,-2.1 %,0,-395,0.0 %,-0.8 %,50.0 %,75.0 %,50.0 %,75.0 %,100.0 %,75.0 %,3996,1271,-2123,-1069,100.0 %,66.7 %
ARKK,8d RSI ARKK LT24 - L ARKK,-3.2 %,13.5 %,-1623,6744,56.2 %,6.3 %,-5.8 %,212.4 %,-7.5 %,-4.2 %,2,5,0.2,0.4,50.0 %,100.0 %,0.6,,-811,1286,-1.6 %,2.6 %,3.5,2.2,1,0,1,5,1,0,1,5,1,0,0,4,1,,1,5,0.6,,-0.4,4.3,-7844,0,-7.8 %,0.0 %,-7844,0,-7.8 %,0.0 %,-3246,0,-3.2 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,2299,1286,-3922,0,0.0 %,100.0 %
ARKQ,8d RSI ARKQ LT23 - L ARKQ,0.9 %,8.0 %,448,4004,56.2 %,5.6 %,1.6 %,144.1 %,-3.0 %,-2.6 %,2,4,0.2,0.3,50.0 %,75.0 %,1.3,38.7,224,976,0.4 %,1.9 %,3.5,2.5,1,1,1,2,1,1,1,2,0,0,1,3,1,3,1,3,1.3,116.2,0.2,3.3,-3155,-34,-3.2 %,-0.1 %,-3155,-34,-3.2 %,-0.1 %,0,0,0.0 %,0.0 %,50.0 %,75.0 %,50.0 %,75.0 %,50.0 %,75.0 %,2025,1312,-1578,-34,100.0 %,100.0 %
ARKW,3d RSI ARKW LT10 - L ARKW,0.2 %,4.9 %,98,2430,100.0 %,5.2 %,0.2 %,94.2 %,0.0 %,-5.2 %,1,4,0.1,0.3,100.0 %,75.0 %,,1.2,98,608,0.2 %,1.2 %,4,2.2,0,1,1,2,0,1,1,2,0,1,1,2,,3,1,3,,3.5,0,1.2,0,-991,0.0 %,-2.0 %,0,-991,0.0 %,-2.0 %,0,-991,0.0 %,-2.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,98,1140,0,-991,100.0 %,75.0 %
