,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2026 OOS
Updated Till Mon 3-23-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (444),Condition (444),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
CEF,17d RSI CEF LT51 - L CEF,12.8 %,21.3 %,6380,10717,65.9 %,12.4 %,19.4 %,172.8 %,-11.0 %,-1.9 %,7,13,0.6,1.1,85.7 %,100.0 %,0.3,,911,749,1.8 %,1.5 %,2.7,1.4,1,0,5,13,1,0,4,12,1,0,1,8,6,,6,13,2,,0.7,6.4,-13390,0,-13.4 %,0.0 %,-8939,0,-8.9 %,0.0 %,-7079,0,-7.1 %,0.0 %,85.7 %,100.0 %,85.7 %,100.0 %,80.0 %,100.0 %,2179,749,-6695,0,50.0 %,100.0 %
CIBR,10d RSI CIBR LT32 - L CIBR,0.5 %,19.2 %,257,9679,44.4 %,6.8 %,1.2 %,284.7 %,-2.8 %,-4.4 %,3,5,0.2,0.4,66.7 %,100.0 %,0.6,,86,1812,0.2 %,3.6 %,3,2.4,1,0,1,5,1,0,1,5,1,0,1,5,2,,2,5,1.2,,0.1,2.5,-2800,0,-2.8 %,0.0 %,-2800,0,-2.8 %,0.0 %,-445,0,-0.4 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,828,1812,-1400,0,50.0 %,100.0 %
CMF,4d RSI CMF LT12 - L CMF,-0.3 %,0.4 %,-170,184,80.0 %,5.6 %,-0.4 %,6.6 %,-0.1 %,-0.8 %,2,4,0.2,0.3,0.0 %,50.0 %,0,2,-85,46,-0.2 %,0.1 %,5,2.5,2,2,0,2,2,2,0,2,1,2,0,1,0,1,0,2,0,2,-11.7,0.5,-341,-192,-0.3 %,-0.4 %,-341,-192,-0.3 %,-0.4 %,-341,-147,-0.3 %,-0.3 %,0.0 %,50.0 %,0.0 %,50.0 %,0.0 %,50.0 %,0,188,-85,-96,0.0 %,33.3 %
COLO,3d RSI COLO LT10 - L COLO,4.4 %,14.0 %,2206,7035,30.0 %,5.2 %,14.7 %,270.6 %,-0.4 %,-5.9 %,2,3,0.2,0.2,50.0 %,100.0 %,11.3,,1103,2239,2.2 %,4.5 %,2,3.3,1,0,1,3,1,0,1,3,1,0,1,3,1,,1,3,11.3,,1.2,3.3,-428,0,-0.4 %,0.0 %,-428,0,-0.4 %,0.0 %,-428,0,-0.4 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,2420,2239,-214,0,50.0 %,100.0 %
CORN,21d RSI CORN LT38 - L CORN,0.1 %,8.1 %,73,4072,100.0 %,10.0 %,0.1 %,81.4 %,0.0 %,-2.2 %,1,7,0.1,0.6,100.0 %,85.7 %,,3.2,73,560,0.1 %,1.1 %,4,2.6,0,1,1,5,0,1,1,5,0,1,1,3,,6,1,6,,18.9,0,3.2,0,-219,0.0 %,-0.4 %,0,-219,0.0 %,-0.4 %,0,-219,0.0 %,-0.4 %,100.0 %,85.7 %,100.0 %,85.7 %,100.0 %,85.7 %,73,690,0,-219,100.0 %,80.0 %
COWZ,13d RSI COWZ LT39 - L COWZ,2.1 %,8.5 %,1028,4273,80.0 %,12.4 %,2.6 %,68.9 %,0.0 %,-10.1 %,2,8,0.2,0.7,100.0 %,75.0 %,,2,514,515,1.0 %,1.0 %,3,2.9,0,1,2,3,0,1,2,3,0,0,1,4,,3,2,6,,6.1,14.7,2.4,0,-660,0.0 %,-1.3 %,0,-660,0.0 %,-1.3 %,0,0,0.0 %,0.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,514,820,0,-400,100.0 %,100.0 %
CQQQ,14d RSI CQQQ LT36 - L CQQQ,0.8 %,6.4 %,398,3228,40.0 %,5.2 %,2.0 %,124.2 %,-2.9 %,-11.8 %,4,4,0.3,0.3,50.0 %,50.0 %,1.1,4.3,99,800,0.2 %,1.6 %,2.5,2.2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1.1,4.3,0.1,1.2,-3015,-924,-3.0 %,-1.9 %,-3015,-39,-3.0 %,-0.1 %,-2368,-39,-2.4 %,-0.1 %,50.0 %,50.0 %,50.0 %,50.0 %,50.0 %,66.7 %,1566,2081,-1367,-481,50.0 %,66.7 %
CWEB,13d RSI CWEB LT30 - L CWEB,-11.4 %,33.5 %,-5683,16904,65.2 %,6.0 %,-17.4 %,563.5 %,0.0 %,-10.2 %,3,4,0.2,0.3,33.3 %,100.0 %,0.3,,-1894,3773,-3.8 %,7.5 %,4,2.8,1,0,1,4,2,0,0,4,1,0,0,4,0.5,,1,4,0.2,,-0.9,4.7,-13622,0,-13.6 %,0.0 %,-11367,0,-11.4 %,0.0 %,-11367,0,-11.4 %,0.0 %,33.3 %,100.0 %,33.3 %,100.0 %,0.0 %,100.0 %,1128,3773,-3406,0,0.0 %,100.0 %
CWI,21d RSI CWI LT43 - L CWI,2.4 %,8.2 %,1215,4157,85.7 %,5.6 %,2.8 %,148.4 %,-0.1 %,-4.5 %,3,5,0.2,0.4,66.7 %,80.0 %,10.9,,405,803,0.8 %,1.6 %,3,1.8,1,1,2,3,1,1,2,2,0,0,1,3,2,4,2,4,21.7,,2.1,2.7,-117,0,-0.1 %,0.0 %,-117,0,-0.1 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,80.0 %,66.7 %,80.0 %,66.7 %,75.0 %,637,1004,-59,0,100.0 %,100.0 %
CXSE,13d RSI CXSE LT41 - L CXSE,0.3 %,6.3 %,159,3169,47.2 %,14.8 %,0.7 %,42.8 %,-4.3 %,-10.9 %,5,10,0.4,0.8,60.0 %,70.0 %,0.7,0.8,32,321,0.1 %,0.6 %,2.4,2.7,1,1,2,4,1,1,1,3,1,1,1,3,1.5,2.3,3,7,1.1,1.8,0.1,0.8,-4346,-2141,-4.3 %,-4.3 %,-3336,-871,-3.3 %,-1.7 %,-1573,-200,-1.6 %,-0.4 %,60.0 %,70.0 %,60.0 %,70.0 %,50.0 %,71.4 %,812,1048,-1139,-1374,50.0 %,80.0 %
DBB,20d RSI DBB LT40 - L DBB,2.3 %,3.0 %,1141,1511,100.0 %,8.4 %,2.3 %,36.0 %,0.0 %,-6.9 %,1,6,0.1,0.5,100.0 %,66.7 %,,0.9,1141,256,2.3 %,0.5 %,1,2.5,0,1,1,2,0,2,1,2,0,1,1,1,,2,1,4,,1.8,0,0.7,0,-1619,0.0 %,-3.2 %,0,-922,0.0 %,-1.8 %,0,-113,0.0 %,-0.2 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,60.0 %,1141,852,0,-938,100.0 %,66.7 %
DBEF,15d RSI DBEF LT42 - L DBEF,0.1 %,6.3 %,52,3197,86.7 %,6.8 %,0.1 %,94.0 %,-0.4 %,-9.3 %,3,5,0.2,0.4,33.3 %,80.0 %,2.3,1.4,17,624,0.0 %,1.2 %,3.3,2.4,1,1,1,4,1,0,1,4,0,0,1,2,0.5,4,1,4,1.1,5.5,0.1,2.1,-446,-687,-0.4 %,-1.4 %,-446,0,-0.4 %,0.0 %,0,0,0.0 %,0.0 %,33.3 %,80.0 %,33.3 %,80.0 %,33.3 %,100.0 %,415,951,-182,-687,100.0 %,100.0 %
DDM,8d RSI DDM LT26 - L DDM,-1.1 %,18.8 %,-537,9470,83.3 %,5.6 %,-1.3 %,338.2 %,-2.1 %,-8.8 %,2,4,0.2,0.3,50.0 %,100.0 %,0.5,,-269,2241,-0.5 %,4.5 %,4,2.5,1,0,1,4,1,0,1,4,1,0,0,4,1,,1,4,0.5,,-0.5,2.1,-2149,0,-2.1 %,0.0 %,-2149,0,-2.1 %,0.0 %,-1074,0,-1.1 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,537,2241,-1074,0,0.0 %,100.0 %
DDWM,21d RSI DDWM LT53 - L DDWM,0.1 %,9.9 %,60,4973,100.0 %,14.8 %,0.1 %,67.2 %,-1.0 %,-10.0 %,4,11,0.3,0.9,25.0 %,90.9 %,3.3,0.4,15,434,0.0 %,0.9 %,3.2,2.4,3,1,1,8,3,0,1,9,0,0,1,5,0.3,10,1,10,1.1,4.3,0.1,2.1,-1051,-1446,-1.1 %,-2.9 %,-1051,0,-1.1 %,0.0 %,0,0,0.0 %,0.0 %,25.0 %,90.9 %,25.0 %,90.9 %,25.0 %,100.0 %,586,623,-175,-1446,100.0 %,100.0 %
DEM,3d RSI DEM LT10 - L DEM,0.7 %,8.0 %,353,4010,100.0 %,9.6 %,0.7 %,83.5 %,0.0 %,-6.0 %,1,7,0.1,0.6,100.0 %,85.7 %,,8.3,353,552,0.7 %,1.1 %,1,2.4,0,1,1,4,0,1,1,4,0,1,1,4,,6,1,6,,49.8,0,3,0,-79,0.0 %,-0.2 %,0,-79,0.0 %,-0.2 %,0,-79,0.0 %,-0.2 %,100.0 %,85.7 %,100.0 %,85.7 %,100.0 %,85.7 %,353,657,0,-79,100.0 %,85.7 %
DES,3d RSI DES LT12 - L DES,-0.7 %,19.7 %,-350,9909,100.0 %,11.6 %,-0.7 %,170.8 %,0.0 %,-6.2 %,1,9,0.1,0.8,0.0 %,100.0 %,0,,-350,1010,-0.7 %,2.0 %,9,2.1,1,0,0,9,1,0,0,9,1,0,0,7,0,,0,9,0,,0,6,-701,0,-0.7 %,0.0 %,-701,0,-0.7 %,0.0 %,-701,0,-0.7 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,1010,-350,0,0.0 %,100.0 %
DFEN,4d RSI DFEN LT13 - L DFEN,-4.9 %,47.5 %,-2444,23960,100.0 %,5.6 %,-4.9 %,855.7 %,0.0 %,-13.6 %,1,4,0.1,0.3,0.0 %,100.0 %,0,,-2444,5433,-4.9 %,10.9 %,8,2.5,1,0,0,4,1,0,0,4,1,0,0,3,0,,0,4,0,,0,1.7,-4889,0,-4.9 %,0.0 %,-4889,0,-4.9 %,0.0 %,-4889,0,-4.9 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,5433,-2444,0,0.0 %,100.0 %
DGRO,3d RSI DGRO LT12 - L DGRO,-0.5 %,12.3 %,-271,6182,100.0 %,6.8 %,-0.5 %,181.8 %,0.0 %,-4.2 %,1,6,0.1,0.5,0.0 %,100.0 %,0,,-271,978,-0.5 %,2.0 %,2,1.8,1,0,0,6,1,0,0,6,1,0,0,5,0,,0,6,0,,0,3.6,-542,0,-0.5 %,0.0 %,-542,0,-0.5 %,0.0 %,-542,0,-0.5 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,978,-271,0,0.0 %,100.0 %
DGRW,3d RSI DGRW LT11 - L DGRW,1.8 %,15.1 %,876,7598,11.4 %,9.2 %,15.3 %,165.2 %,0.0 %,-4.4 %,2,7,0.2,0.6,100.0 %,100.0 %,,,438,1018,0.9 %,2.0 %,1,2.3,0,0,2,7,0,0,2,7,0,0,2,6,,,2,7,,,5.1,3.8,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,438,1018,0,0,100.0 %,100.0 %
DGS,4d RSI DGS LT16 - L DGS,-0.9 %,7.1 %,-441,3571,100.0 %,9.2 %,-0.9 %,77.6 %,0.0 %,-6.3 %,1,7,0.1,0.6,0.0 %,100.0 %,0,,-441,493,-0.9 %,1.0 %,4,2.3,1,0,0,7,1,0,0,7,1,0,0,6,0,,0,7,0,,0,3,-882,0,-0.9 %,0.0 %,-882,0,-0.9 %,0.0 %,-882,0,-0.9 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,493,-441,0,0.0 %,100.0 %
DIA,8d RSI DIA LT27 - L DIA,-0.4 %,9.4 %,-203,4764,83.3 %,5.6 %,-0.5 %,170.1 %,-1.0 %,-4.4 %,2,4,0.2,0.3,50.0 %,100.0 %,0.6,,-101,1153,-0.2 %,2.3 %,4,2.5,1,0,1,4,1,0,1,4,1,0,0,4,1,,1,4,0.6,,-0.4,2.1,-963,0,-1.0 %,0.0 %,-963,0,-1.0 %,0.0 %,-406,0,-0.4 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,278,1153,-481,0,0.0 %,100.0 %
DIV,19d RSI DIV LT43 - L DIV,1.8 %,10.7 %,913,5402,100.0 %,12.0 %,1.8 %,90.0 %,0.0 %,-6.4 %,1,9,0.1,0.8,100.0 %,88.9 %,,2.8,913,571,1.8 %,1.1 %,2,2.3,0,1,1,6,0,1,1,5,0,0,1,4,,8,1,8,,22.4,0,3.4,0,-240,0.0 %,-0.5 %,0,-240,0.0 %,-0.5 %,0,0,0.0 %,0.0 %,100.0 %,88.9 %,100.0 %,88.9 %,100.0 %,87.5 %,913,673,0,-240,100.0 %,100.0 %
DIVB,4d RSI DIVB LT15 - L DIVB,-0.9 %,11.7 %,-449,5917,100.0 %,6.0 %,-0.9 %,197.2 %,0.0 %,-4.2 %,1,5,0.1,0.4,0.0 %,100.0 %,0,,-449,1126,-0.9 %,2.2 %,13,2,1,0,0,5,1,0,0,5,1,0,0,5,0,,0,5,0,,0,4.4,-898,0,-0.9 %,0.0 %,-898,0,-0.9 %,0.0 %,-898,0,-0.9 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,1126,-449,0,0.0 %,100.0 %
DIVI,19d RSI DIVI LT42 - L DIVI,1.7 %,10.7 %,830,5411,78.6 %,6.0 %,2.1 %,180.4 %,0.0 %,-4.0 %,3,5,0.2,0.4,100.0 %,100.0 %,,,277,1035,0.6 %,2.1 %,2.7,2,0,0,3,5,0,0,3,4,0,0,1,3,,,3,5,,,4.9,3.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,277,1035,0,0,100.0 %,100.0 %
DIVO,3d RSI DIVO LT17 - L DIVO,-1.9 %,14.1 %,-962,7120,91.7 %,13.6 %,-2.1 %,104.7 %,-2.1 %,-4.0 %,2,9,0.2,0.8,50.0 %,100.0 %,0.1,,-481,744,-1.0 %,1.5 %,4.5,2.7,1,0,1,9,1,0,1,9,1,0,0,7,1,,1,9,0.1,,-1.2,3.3,-2097,0,-2.1 %,0.0 %,-2097,0,-2.1 %,0.0 %,-1923,0,-1.9 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,87,744,-1049,0,0.0 %,100.0 %
DLN,3d RSI DLN LT12 - L DLN,0.4 %,12.2 %,209,6134,100.0 %,8.0 %,0.4 %,153.3 %,0.0 %,-4.0 %,1,6,0.1,0.5,100.0 %,100.0 %,,,209,969,0.4 %,1.9 %,1,2.3,0,0,1,6,0,0,1,6,0,0,1,5,,,1,6,,,0,4.2,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,209,969,0,0,100.0 %,100.0 %
DOG,20d RSI DOG LT38 - L DOG,2.1 %,4.6 %,1056,2309,100.0 %,13.2 %,2.1 %,35.0 %,0.0 %,-1.7 %,1,8,0.1,0.7,100.0 %,75.0 %,,2.2,1056,282,2.1 %,0.6 %,9,3.1,0,1,1,5,0,1,1,4,0,0,1,4,,3,1,6,,6.5,0,2.4,0,-322,0.0 %,-0.6 %,0,-180,0.0 %,-0.4 %,0,0,0.0 %,0.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,71.4 %,1056,444,0,-203,100.0 %,100.0 %
DRIP,21d RSI DRIP LT38 - L DRIP,-14.9 %,18.9 %,-7443,9516,96.4 %,5.6 %,-15.4 %,339.9 %,-18.5 %,-5.4 %,4,4,0.3,0.3,25.0 %,100.0 %,0.7,,-1861,2213,-3.7 %,4.4 %,5.5,2.5,3,0,1,4,3,0,1,4,1,0,1,3,0.3,,1,4,0.2,,-1,7.6,-19335,0,-19.3 %,0.0 %,-19335,0,-19.3 %,0.0 %,-15266,0,-15.3 %,0.0 %,25.0 %,100.0 %,25.0 %,100.0 %,25.0 %,100.0 %,2225,2213,-3223,0,50.0 %,100.0 %
DRV,3d RSI DRV LT10 - L DRV,1.1 %,17.3 %,527,8723,34.6 %,5.6 %,3.0 %,311.5 %,0.0 %,-1.9 %,2,4,0.2,0.3,50.0 %,100.0 %,26.6,,264,2039,0.5 %,4.1 %,2.5,2.5,1,0,1,4,1,0,1,4,1,0,1,4,1,,1,4,26.6,,1.3,6.7,-41,0,-0.0 %,0.0 %,-41,0,-0.0 %,0.0 %,-41,0,-0.0 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,548,2039,-21,0,50.0 %,100.0 %
DULL,6d RSI DULL LT11 - L DULL,-1.8 %,24.0 %,-901,12102,100.0 %,9.2 %,-1.8 %,263.1 %,0.0 %,-7.4 %,1,7,0.1,0.6,0.0 %,100.0 %,0,,-901,1572,-1.8 %,3.1 %,6,2.3,1,0,0,7,1,0,0,7,1,0,0,4,0,,0,7,0,,0,4,-1802,0,-1.8 %,0.0 %,-1802,0,-1.8 %,0.0 %,-1802,0,-1.8 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,1572,-901,0,0.0 %,100.0 %
DUST,13d RSI DUST LT21 - L DUST,-2.1 %,4.0 %,-1068,1994,100.0 %,5.2 %,-2.1 %,76.7 %,0.0 %,-6.6 %,1,3,0.1,0.2,0.0 %,66.7 %,0,1.7,-1068,671,-2.1 %,1.3 %,4,3.3,1,1,0,2,1,1,0,2,1,0,0,2,0,2,0,2,0,3.3,0,0.8,-2136,-865,-2.1 %,-1.7 %,-2136,-865,-2.1 %,-1.7 %,-2136,0,-2.1 %,0.0 %,0.0 %,66.7 %,0.0 %,66.7 %,0.0 %,66.7 %,0,1439,-1068,-865,0.0 %,100.0 %
DVY,4d RSI DVY LT19 - L DVY,-1.5 %,11.7 %,-757,5880,100.0 %,8.0 %,-1.5 %,147.0 %,0.0 %,-5.0 %,1,7,0.1,0.6,0.0 %,100.0 %,0,,-757,796,-1.5 %,1.6 %,12,1.9,1,0,0,7,1,0,0,7,1,0,0,6,0,,0,7,0,,0,5,-1514,0,-1.5 %,0.0 %,-1514,0,-1.5 %,0.0 %,-1514,0,-1.5 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,796,-757,0,0.0 %,100.0 %
DVYE,16d RSI DVYE LT46 - L DVYE,6.4 %,12.5 %,3203,6307,66.7 %,12.4 %,9.6 %,101.7 %,0.0 %,-6.5 %,3,8,0.2,0.7,100.0 %,87.5 %,,1.2,1068,748,2.1 %,1.5 %,2.3,2.9,0,1,3,7,0,1,3,5,0,1,1,4,,7,3,7,,8.2,4.9,2.9,0,-828,0.0 %,-1.7 %,0,-265,0.0 %,-0.5 %,0,-265,0.0 %,-0.5 %,100.0 %,87.5 %,100.0 %,87.5 %,100.0 %,83.3 %,1068,973,0,-828,100.0 %,80.0 %
DXD,21d RSI DXD LT38 - L DXD,4.2 %,11.6 %,2104,5836,100.0 %,14.8 %,4.2 %,78.9 %,0.0 %,-3.5 %,1,9,0.1,0.8,100.0 %,77.8 %,,2,2104,617,4.2 %,1.2 %,9,3.1,0,1,1,5,0,1,1,4,0,0,1,5,,3.5,1,7,,7,0,2.6,0,-740,0.0 %,-1.5 %,0,-482,0.0 %,-1.0 %,0,0,0.0 %,0.0 %,100.0 %,77.8 %,100.0 %,77.8 %,100.0 %,75.0 %,2104,927,0,-467,100.0 %,100.0 %
DXJ,17d RSI DXJ LT44 - L DXJ,4.2 %,14.8 %,2123,7432,71.4 %,8.0 %,5.9 %,185.8 %,0.0 %,-10.4 %,3,8,0.2,0.7,100.0 %,100.0 %,,,708,868,1.4 %,1.7 %,2.3,1.5,0,0,3,8,0,0,3,6,0,0,1,4,,,3,8,,,2.5,7.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,708,868,0,0,100.0 %,100.0 %
EAGL,19d RSI EAGL LT37 - L EAGL,1.5 %,13.9 %,751,7023,100.0 %,5.6 %,1.5 %,250.8 %,0.0 %,-4.0 %,1,4,0.1,0.3,100.0 %,100.0 %,,,751,1665,1.5 %,3.3 %,2,2.5,0,0,1,4,0,0,1,4,0,0,1,3,,,1,4,,,0,3.7,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,751,1665,0,0,100.0 %,100.0 %
EBND,6d RSI EBND LT28 - L EBND,0.2 %,4.7 %,90,2353,93.3 %,6.4 %,0.2 %,73.5 %,-0.5 %,-0.3 %,3,6,0.2,0.5,66.7 %,100.0 %,0.7,,30,383,0.1 %,0.8 %,3.7,1.7,1,0,2,6,1,0,2,6,0,0,1,5,2,,2,6,1.3,,0.2,2.5,-526,0,-0.5 %,0.0 %,-526,0,-0.5 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,177,383,-263,0,100.0 %,100.0 %
ECH,4d RSI ECH LT14 - L ECH,-3.0 %,13.7 %,-1504,6887,100.0 %,6.8 %,-3.0 %,202.6 %,0.0 %,-2.8 %,1,6,0.1,0.5,0.0 %,100.0 %,0,,-1504,1082,-3.0 %,2.2 %,2,1.8,1,0,0,6,1,0,0,6,1,0,0,5,0,,0,6,0,,0,4.8,-3008,0,-3.0 %,0.0 %,-3008,0,-3.0 %,0.0 %,-3008,0,-3.0 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,1082,-1504,0,0.0 %,100.0 %
EDIV,6d RSI EDIV LT33 - L EDIV,-3.9 %,7.8 %,-1955,3955,100.0 %,12.8 %,-3.9 %,61.8 %,-0.4 %,-5.3 %,3,10,0.2,0.8,33.3 %,80.0 %,0.2,1.4,-652,382,-1.3 %,0.8 %,4.3,2.2,2,1,1,6,2,1,1,6,1,1,0,7,0.5,4,1,8,0.1,5.7,-1.1,2.3,-4419,-637,-4.4 %,-1.3 %,-4419,-637,-4.4 %,-1.3 %,-3910,-637,-3.9 %,-1.3 %,33.3 %,80.0 %,33.3 %,80.0 %,33.3 %,80.0 %,255,580,-1105,-410,0.0 %,87.5 %
EDV,4d RSI EDV LT16 - L EDV,1.0 %,8.5 %,525,4290,100.0 %,8.0 %,1.0 %,107.3 %,0.0 %,-1.8 %,1,6,0.1,0.5,100.0 %,100.0 %,,,525,686,1.0 %,1.4 %,1,2.3,0,0,1,6,0,0,1,6,0,0,1,5,,,1,6,,,0,10.9,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,525,686,0,0,100.0 %,100.0 %
EDZ,21d RSI EDZ LT31 - L EDZ,-0.2 %,3.1 %,-118,1546,73.3 %,5.2 %,-0.3 %,59.5 %,-0.6 %,-4.5 %,2,4,0.2,0.3,50.0 %,50.0 %,0.6,3.2,-59,387,-0.1 %,0.8 %,4.5,2.2,1,1,1,1,1,1,1,2,1,0,0,2,1,1,1,2,0.6,3.2,-0.3,0.9,-607,-569,-0.6 %,-1.1 %,-607,-124,-0.6 %,-0.2 %,-237,0,-0.2 %,0.0 %,50.0 %,50.0 %,50.0 %,50.0 %,50.0 %,66.7 %,185,1119,-303,-346,0.0 %,100.0 %
EEM,3d RSI EEM LT10 - L EEM,1.1 %,5.5 %,539,2797,100.0 %,6.0 %,1.1 %,93.2 %,0.0 %,-5.9 %,1,5,0.1,0.4,100.0 %,80.0 %,,4.1,539,545,1.1 %,1.1 %,1,2,0,1,1,3,0,1,1,3,0,1,1,3,,4,1,4,,16.2,0,3,0,-179,0.0 %,-0.4 %,0,-179,0.0 %,-0.4 %,0,-179,0.0 %,-0.4 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,539,726,0,-179,100.0 %,80.0 %
EEMA,15d RSI EEMA LT38 - L EEMA,3.9 %,9.6 %,1959,4845,46.7 %,6.0 %,8.4 %,161.5 %,0.0 %,-7.4 %,2,5,0.2,0.4,100.0 %,100.0 %,,,979,930,2.0 %,1.9 %,2.5,2,0,0,2,5,0,0,2,4,0,0,1,4,,,2,5,,,7.6,3.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,979,930,0,0,100.0 %,100.0 %
EEMV,15d RSI EEMV LT44 - L EEMV,2.6 %,8.5 %,1292,4294,94.1 %,14.8 %,2.7 %,58.0 %,-0.7 %,-3.6 %,5,11,0.4,0.9,80.0 %,90.9 %,1.2,0.9,258,375,0.5 %,0.8 %,2.2,2.4,1,1,2,10,1,1,2,7,0,1,1,6,4,10,4,10,4.6,8.9,1.5,3,-716,-523,-0.7 %,-1.1 %,-716,-309,-0.7 %,-0.6 %,0,-309,0.0 %,-0.6 %,80.0 %,90.9 %,80.0 %,90.9 %,75.0 %,87.5 %,412,465,-358,-523,100.0 %,85.7 %
EFA,19d RSI EFA LT42 - L EFA,0.7 %,11.6 %,366,5833,86.7 %,6.0 %,0.8 %,194.4 %,-0.0 %,-3.8 %,3,5,0.2,0.4,33.3 %,100.0 %,9.2,,122,1114,0.2 %,2.2 %,3.3,2,1,0,1,5,1,0,1,4,0,0,1,3,0.5,,1,5,4.6,,0.9,3.1,-171,0,-0.2 %,0.0 %,-171,0,-0.2 %,0.0 %,0,0,0.0 %,0.0 %,33.3 %,100.0 %,33.3 %,100.0 %,33.3 %,100.0 %,467,1114,-51,0,100.0 %,100.0 %
