,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2026 OOS
Updated Till Mon 3-23-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (444),Condition (444),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
ARKK,15d RSI ARKK LT33 - L ARKK,-4.1 %,36.2 %,-2063,18252,100.0 %,6.4 %,-4.1 %,570.4 %,0.0 %,-8.0 %,1,5,0.1,0.4,0.0 %,100.0 %,0,,-2063,3215,-4.1 %,6.4 %,3,2.2,1,0,0,5,1,0,0,5,1,0,0,3,0,,0,5,0,,0,4.2,-4126,0,-4.1 %,0.0 %,-4126,0,-4.1 %,0.0 %,-4126,0,-4.1 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,3215,-2063,0,0.0 %,100.0 %
ARKW,19d RSI ARKW LT35 - L ARKW,-8.5 %,20.9 %,-4257,10532,77.8 %,5.2 %,-10.9 %,405.1 %,-1.8 %,-7.9 %,3,4,0.2,0.3,33.3 %,75.0 %,0.5,41.7,-1419,2461,-2.8 %,4.9 %,3.3,2.2,2,1,1,3,2,1,1,2,1,1,0,2,0.5,3,1,3,0.2,125.2,-1,2.7,-11075,-79,-11.1 %,-0.2 %,-11075,-79,-11.1 %,-0.2 %,-8515,-79,-8.5 %,-0.2 %,33.3 %,75.0 %,33.3 %,75.0 %,33.3 %,66.7 %,1280,3308,-2769,-79,0.0 %,66.7 %
ASHR,5d RSI ASHR LT17 - L ASHR,1.0 %,4.7 %,510,2370,100.0 %,7.2 %,1.0 %,65.8 %,0.0 %,-7.7 %,1,4,0.1,0.3,100.0 %,75.0 %,,1.6,510,584,1.0 %,1.2 %,3,3.5,0,1,1,2,0,1,1,2,0,1,1,2,,3,1,3,,4.7,0,1.4,0,-629,0.0 %,-1.3 %,0,-629,0.0 %,-1.3 %,0,-629,0.0 %,-1.3 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,510,989,0,-629,100.0 %,75.0 %
BAR,7d RSI BAR LT37 - L BAR,0.4 %,15.4 %,206,7745,27.5 %,7.6 %,1.5 %,203.8 %,-8.8 %,-0.7 %,3,8,0.2,0.7,66.7 %,100.0 %,0.5,,69,904,0.1 %,1.8 %,2.7,1.4,1,0,1,8,1,0,1,8,1,0,1,7,2,,2,8,1,,0,5.2,-9362,0,-9.4 %,0.0 %,-5847,0,-5.8 %,0.0 %,-5847,0,-5.8 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,50.0 %,100.0 %,2444,904,-4681,0,50.0 %,100.0 %
BBHY,3d RSI BBHY LT17 - L BBHY,0.9 %,3.4 %,474,1723,54.5 %,10.8 %,1.7 %,31.9 %,0.0 %,-2.1 %,2,6,0.2,0.5,100.0 %,83.3 %,,4.6,237,282,0.5 %,0.6 %,2,3.5,0,1,2,4,0,1,2,4,0,1,1,3,,5,2,5,,22.9,6.3,2.6,0,-77,0.0 %,-0.1 %,0,-77,0.0 %,-0.1 %,0,-77,0.0 %,-0.1 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,83.3 %,237,354,0,-77,100.0 %,80.0 %
BBLU,3d RSI BBLU LT13 - L BBLU,-0.5 %,8.2 %,-237,4139,22.2 %,13.2 %,-2.1 %,62.7 %,-1.5 %,-9.7 %,2,7,0.2,0.6,50.0 %,85.7 %,0.7,0.4,-118,593,-0.2 %,1.2 %,4,3.7,1,1,1,6,1,1,1,6,1,1,1,4,1,6,1,6,0.7,2.6,-0.3,1,-1470,-2538,-1.5 %,-5.1 %,-1470,-2538,-1.5 %,-5.1 %,-1470,-2538,-1.5 %,-5.1 %,50.0 %,85.7 %,50.0 %,85.7 %,50.0 %,85.7 %,498,1114,-735,-2538,50.0 %,80.0 %
BIV,3d RSI BIV LT13 - L BIV,1.1 %,2.9 %,543,1437,19.5 %,5.2 %,5.6 %,55.3 %,0.0 %,-0.2 %,3,5,0.2,0.4,100.0 %,80.0 %,,,181,282,0.4 %,0.6 %,1.7,1.6,0,1,3,4,0,1,3,4,0,1,2,4,,4,3,4,,,6.2,4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,181,353,0,0,100.0 %,80.0 %
BIZD,5d RSI BIZD LT21 - L BIZD,2.5 %,6.1 %,1229,3072,28.1 %,18.8 %,8.7 %,32.7 %,0.0 %,-9.3 %,2,8,0.2,0.7,50.0 %,87.5 %,2.9,0.3,614,384,1.2 %,0.8 %,3.5,4.9,1,1,1,5,1,1,1,5,1,1,1,4,1,7,1,7,2.9,2.3,0.7,1,-1308,-2361,-1.3 %,-4.7 %,-1308,-2361,-1.3 %,-4.7 %,-1308,-2361,-1.3 %,-4.7 %,50.0 %,87.5 %,50.0 %,87.5 %,50.0 %,87.5 %,1883,776,-654,-2361,50.0 %,85.7 %
BKLN,3d RSI BKLN LT28 - L BKLN,-0.6 %,2.9 %,-313,1450,90.3 %,28.8 %,-0.7 %,10.1 %,-0.6 %,-2.5 %,4,15,0.3,1.3,25.0 %,86.7 %,1.3,2.4,-78,95,-0.2 %,0.2 %,5.8,3.8,3,1,1,6,2,1,1,6,1,1,1,8,0.3,6.5,1,13,0.4,15.4,-0.8,4.4,-1120,-99,-1.1 %,-0.2 %,-1120,-99,-1.1 %,-0.2 %,-1120,-99,-1.1 %,-0.2 %,25.0 %,86.7 %,25.0 %,86.7 %,33.3 %,86.7 %,247,117,-187,-49,50.0 %,90.9 %
BLV,3d RSI BLV LT11 - L BLV,2.0 %,3.7 %,1015,1865,62.5 %,6.0 %,3.2 %,62.2 %,0.0 %,-1.3 %,2,5,0.2,0.4,100.0 %,100.0 %,,,507,365,1.0 %,0.7 %,1.5,2,0,0,2,5,0,0,2,5,0,0,1,4,,,2,5,,,5.9,6.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,507,365,0,0,100.0 %,100.0 %
