,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2024 OOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (598),Condition (598),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
AAXJ,21d RSI AAXJ LT38 - L AAXJ,3.3 %,6.4 %,1656,3204,100.0 %,6.0 %,3.3 %,106.8 %,0.0 %,-1.0 %,1,5,0.1,0.4,100.0 %,100.0 %,,,1656,621,3.3 %,1.2 %,3,2,0,0,1,5,0,0,1,5,0,0,1,3,,,1,5,,,0,6.8,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1656,621,0,0,100.0 %,100.0 %
ACWI,9d RSI ACWI LT27 - L ACWI,5.1 %,2.0 %,2564,999,7.2 %,5.2 %,71.0 %,38.4 %,0.0 %,-1.4 %,3,4,0.2,0.3,100.0 %,75.0 %,,4,855,246,1.7 %,0.5 %,3.3,2.2,0,1,3,3,0,1,3,3,0,1,3,2,,3,3,3,,12.1,2.8,2.5,0,-88,0.0 %,-0.2 %,0,-88,0.0 %,-0.2 %,0,-88,0.0 %,-0.2 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,855,358,0,-88,100.0 %,66.7 %
ACWV,9d RSI ACWV LT25 - L ACWV,1.0 %,1.3 %,502,677,5.5 %,5.6 %,18.4 %,24.2 %,0.0 %,-1.2 %,2,4,0.2,0.3,50.0 %,50.0 %,3.1,7,251,168,0.5 %,0.3 %,4,2.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3.1,7,0.7,1.5,-472,-101,-0.5 %,-0.2 %,-472,-101,-0.5 %,-0.2 %,-472,-101,-0.5 %,-0.2 %,50.0 %,50.0 %,50.0 %,50.0 %,50.0 %,50.0 %,738,391,-236,-56,50.0 %,50.0 %
ACWX,14d RSI ACWX LT33 - L ACWX,4.8 %,4.2 %,2417,2116,7.7 %,8.0 %,62.5 %,52.9 %,0.0 %,-2.0 %,3,7,0.2,0.6,100.0 %,71.4 %,,2.4,806,296,1.6 %,0.6 %,3.7,1.9,0,1,3,2,0,1,3,3,0,0,3,4,,2.5,3,5,,6,3.3,2.2,0,-267,0.0 %,-0.5 %,0,-267,0.0 %,-0.5 %,0,0,0.0 %,0.0 %,100.0 %,71.4 %,100.0 %,71.4 %,100.0 %,83.3 %,806,497,0,-206,100.0 %,100.0 %
AGG,3d RSI AGG LT11 - L AGG,1.7 %,3.0 %,864,1538,11.2 %,9.6 %,15.5 %,32.0 %,-0.6 %,-0.9 %,7,7,0.6,0.6,71.4 %,100.0 %,1.2,,123,215,0.2 %,0.4 %,2.6,2.4,1,0,4,7,1,0,4,7,1,0,4,6,2.5,,5,7,3.1,,1.4,4.4,-654,0,-0.7 %,0.0 %,-654,0,-0.7 %,0.0 %,-654,0,-0.7 %,0.0 %,71.4 %,100.0 %,71.4 %,100.0 %,71.4 %,100.0 %,255,215,-206,0,71.4 %,100.0 %
AIA,16d RSI AIA LT36 - L AIA,2.0 %,13.6 %,981,6864,4.1 %,10.4 %,48.0 %,132.0 %,0.0 %,-1.8 %,2,9,0.2,0.8,100.0 %,100.0 %,,,490,716,1.0 %,1.4 %,2,1.9,0,0,2,9,0,0,2,7,0,0,2,6,,,2,9,,,2.3,5.9,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,490,716,0,0,100.0 %,100.0 %
AIRR,13d RSI AIRR LT34 - L AIRR,1.2 %,8.5 %,576,4285,100.0 %,6.8 %,1.2 %,126.0 %,0.0 %,-2.1 %,1,5,0.1,0.4,100.0 %,100.0 %,,,576,824,1.2 %,1.6 %,4,2.4,0,0,1,5,0,0,1,5,0,0,1,3,,,1,5,,,0,4.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,576,824,0,0,100.0 %,100.0 %
AMLP,6d RSI AMLP LT28 - L AMLP,1.2 %,6.3 %,606,3154,9.9 %,11.2 %,12.3 %,56.3 %,-0.8 %,-5.8 %,5,8,0.4,0.7,40.0 %,75.0 %,2.4,1.7,121,384,0.2 %,0.8 %,2.6,2.5,2,1,2,3,2,1,2,3,2,1,2,3,0.7,3,2,6,1.6,5.1,0.5,2.1,-820,-617,-0.8 %,-1.2 %,-820,-617,-0.8 %,-1.2 %,-820,-134,-0.8 %,-0.3 %,40.0 %,75.0 %,40.0 %,75.0 %,40.0 %,75.0 %,786,637,-322,-376,40.0 %,83.3 %
ANGL,9d RSI ANGL LT29 - L ANGL,1.3 %,2.6 %,640,1293,8.7 %,10.8 %,14.7 %,23.9 %,0.0 %,-2.3 %,3,5,0.2,0.4,66.7 %,80.0 %,5.9,1.7,213,255,0.4 %,0.5 %,4,4.4,1,1,2,3,1,1,2,3,1,1,2,3,2,4,2,4,11.7,6.9,1.9,2,-119,-216,-0.1 %,-0.4 %,-119,-216,-0.1 %,-0.4 %,-119,-128,-0.1 %,-0.3 %,66.7 %,80.0 %,66.7 %,80.0 %,66.7 %,80.0 %,350,372,-60,-216,66.7 %,75.0 %
AOA,13d RSI AOA LT31 - L AOA,2.5 %,1.8 %,1248,918,3.9 %,6.0 %,63.5 %,30.6 %,0.0 %,-1.5 %,2,5,0.2,0.4,100.0 %,80.0 %,,1.2,624,182,1.2 %,0.4 %,2.5,2,0,1,2,3,0,1,2,2,0,0,2,3,,4,2,4,,5,3.3,1.7,0,-227,0.0 %,-0.5 %,0,-227,0.0 %,-0.5 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,75.0 %,624,284,0,-227,100.0 %,100.0 %
AOM,14d RSI AOM LT31 - L AOM,0.2 %,0.8 %,90,417,100.0 %,6.4 %,0.2 %,13.0 %,0.0 %,-1.9 %,1,3,0.1,0.2,100.0 %,66.7 %,,1,90,139,0.2 %,0.3 %,4,4.3,0,1,1,1,0,1,1,1,0,1,1,1,,2,1,2,,2,0,0.6,0,-403,0.0 %,-0.8 %,0,-403,0.0 %,-0.8 %,0,-49,0.0 %,-0.1 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,90,410,0,-403,100.0 %,50.0 %
AOR,16d RSI AOR LT34 - L AOR,0.6 %,2.1 %,295,1078,100.0 %,7.2 %,0.6 %,29.9 %,0.0 %,-1.3 %,1,5,0.1,0.4,100.0 %,80.0 %,,1.4,295,213,0.6 %,0.4 %,1,2.6,0,1,1,2,0,1,1,2,0,0,1,3,,4,1,4,,5.4,0,1.8,0,-240,0.0 %,-0.5 %,0,-240,0.0 %,-0.5 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,295,326,0,-240,100.0 %,100.0 %
ARKK,16d RSI ARKK LT32 - L ARKK,6.7 %,8.6 %,3350,4314,12.0 %,5.2 %,55.6 %,165.9 %,0.0 %,-2.0 %,2,3,0.2,0.2,100.0 %,100.0 %,,,1675,1388,3.3 %,2.8 %,4,3.3,0,0,2,3,0,0,2,3,0,0,2,2,,,2,3,,,3.4,10.9,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1675,1388,0,0,100.0 %,100.0 %
