,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2024 OOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARKW,19d RSI ARKW LT39 - L ARKW,5.8 %,29.6 %,2922,14927,10.0 %,10.0 %,58.4 %,298.5 %,-3.8 %,-2.8 %,3,7,0.2,0.6,66.7 %,100.0 %,1.2,,974,1902,1.9 %,3.8 %,1.7,2.6,1,0,1,7,0,0,2,6,0,0,2,4,2,,2,7,2.5,,0.8,4.1,-3971,0,-4.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,100.0 %,100.0 %,2454,1902,-1986,0,100.0 %,100.0 %
ASHR,16d RSI ASHR LT33 - L ASHR,2.5 %,7.1 %,1254,3558,3.2 %,8.8 %,78.4 %,80.9 %,0.0 %,-1.9 %,2,8,0.2,0.7,100.0 %,100.0 %,,,627,429,1.3 %,0.9 %,1,1.8,0,0,2,8,0,0,2,6,0,0,2,4,,,2,8,,,47.9,4.1,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,627,429,0,0,100.0 %,100.0 %
BAB,21d RSI BAB LT38 - L BAB,0.8 %,3.7 %,403,1862,42.0 %,6.8 %,1.9 %,54.8 %,-0.1 %,-1.3 %,5,5,0.4,0.4,80.0 %,100.0 %,2.8,,81,364,0.2 %,0.7 %,3,2.4,1,0,2,5,1,0,2,5,1,0,1,3,4,,4,5,11.2,,1.4,5.3,-79,0,-0.1 %,0.0 %,-79,0,-0.1 %,0.0 %,-79,0,-0.1 %,0.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,111,364,-40,0,66.7 %,100.0 %
BAR,20d RSI BAR LT46 - L BAR,3.4 %,2.5 %,1694,1278,8.3 %,31.2 %,40.7 %,8.2 %,-0.4 %,-4.5 %,5,16,0.4,1.3,80.0 %,75.0 %,2.2,0.5,339,83,0.7 %,0.2 %,2.6,3.9,1,1,2,5,1,1,2,4,1,1,2,4,4,3,4,12,9,1.4,2.5,0.5,-425,-1863,-0.4 %,-3.7 %,-425,-1863,-0.4 %,-3.7 %,-425,-522,-0.4 %,-1.0 %,80.0 %,75.0 %,80.0 %,75.0 %,80.0 %,71.4 %,477,402,-212,-871,75.0 %,75.0 %
BBHY,21d RSI BBHY LT45 - L BBHY,1.1 %,4.2 %,558,2134,6.5 %,16.4 %,17.1 %,26.0 %,0.0 %,-1.6 %,3,8,0.2,0.7,100.0 %,87.5 %,,1,186,261,0.4 %,0.5 %,2.7,4.1,0,1,3,6,0,1,3,6,0,1,2,3,,7,3,7,,6.8,2.6,2.2,0,-357,0.0 %,-0.7 %,0,-357,0.0 %,-0.7 %,0,-275,0.0 %,-0.6 %,100.0 %,87.5 %,100.0 %,87.5 %,100.0 %,87.5 %,186,349,0,-357,100.0 %,75.0 %
BBLU,7d RSI BBLU LT24 - L BBLU,4.4 %,2.9 %,2175,1440,9.9 %,6.0 %,44.0 %,48.0 %,0.0 %,-2.2 %,2,4,0.2,0.3,100.0 %,75.0 %,,2.2,1088,355,2.2 %,0.7 %,3,2.8,0,1,2,2,0,1,2,2,0,1,2,1,,3,2,3,,6.5,6,1.7,0,-259,0.0 %,-0.5 %,0,-259,0.0 %,-0.5 %,0,-259,0.0 %,-0.5 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,1088,560,0,-259,100.0 %,66.7 %
BCI,5d RSI BCI LT18 - L BCI,-0.9 %,8.7 %,-433,4386,10.7 %,9.6 %,-8.1 %,91.4 %,-1.6 %,-1.9 %,2,8,0.2,0.7,50.0 %,100.0 %,0.5,,-216,525,-0.4 %,1.1 %,5.5,2,1,0,1,8,1,0,1,8,1,0,1,7,1,,1,8,0.5,,-0.5,5.8,-1629,0,-1.6 %,0.0 %,-1629,0,-1.6 %,0.0 %,-1629,0,-1.6 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,382,525,-815,0,50.0 %,100.0 %
BITI,16d RSI BITI LT24 - L BITI,6.3 %,7.8 %,3138,3936,5.7 %,6.4 %,110.1 %,123.0 %,0.0 %,-5.1 %,3,5,0.2,0.4,66.7 %,80.0 %,3.5,1.7,1046,764,2.1 %,1.5 %,2.7,2.2,1,1,2,3,1,1,2,2,0,0,2,4,2,4,2,4,7,6.9,1.6,2.2,-1052,-644,-1.1 %,-1.3 %,-1052,-55,-1.1 %,-0.1 %,0,0,0.0 %,0.0 %,66.7 %,80.0 %,66.7 %,80.0 %,66.7 %,75.0 %,1832,1116,-526,-644,100.0 %,100.0 %
BIV,12d RSI BIV LT31 - L BIV,0.5 %,2.8 %,252,1434,9.5 %,7.2 %,5.3 %,39.8 %,-0.3 %,-1.4 %,4,6,0.3,0.5,50.0 %,83.3 %,2.7,1.5,63,235,0.1 %,0.5 %,3.2,2,2,1,1,3,2,1,1,3,2,0,1,4,1,5,2,5,2.7,7.6,0.9,2.4,-292,-214,-0.3 %,-0.4 %,-292,-214,-0.3 %,-0.4 %,-292,0,-0.3 %,0.0 %,50.0 %,83.3 %,50.0 %,83.3 %,50.0 %,83.3 %,199,325,-73,-214,50.0 %,100.0 %
BIZD,21d RSI BIZD LT50 - L BIZD,7.5 %,19.2 %,3746,9662,22.2 %,28.0 %,33.8 %,69.0 %,-4.6 %,-8.3 %,13,18,1.1,1.5,92.3 %,88.9 %,0.2,0.8,288,493,0.6 %,1.0 %,2.9,2.9,1,1,8,14,1,1,7,10,1,0,3,7,12,8,12,16,2.6,6.3,1.3,3.4,-4806,-1322,-4.8 %,-2.6 %,-4806,-480,-4.8 %,-1.0 %,-2671,0,-2.7 %,0.0 %,92.3 %,88.9 %,92.3 %,88.9 %,90.0 %,84.6 %,512,659,-2403,-831,83.3 %,100.0 %
BKLN,12d RSI BKLN LT44 - L BKLN,-0.1 %,3.5 %,-54,1743,100.0 %,13.2 %,-0.1 %,26.4 %,0.0 %,-1.2 %,1,7,0.1,0.6,0.0 %,100.0 %,0,,-54,244,-0.1 %,0.5 %,2,3.7,1,0,0,7,1,0,0,7,1,0,0,6,0,,0,7,0,,0,5.8,-108,0,-0.1 %,0.0 %,-108,0,-0.1 %,0.0 %,-108,0,-0.1 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,244,-54,0,0.0 %,100.0 %
BLV,4d RSI BLV LT14 - L BLV,2.4 %,3.9 %,1195,1967,15.2 %,8.4 %,15.7 %,46.8 %,-1.7 %,-2.7 %,4,6,0.3,0.5,75.0 %,100.0 %,0.8,,299,321,0.6 %,0.6 %,3.8,2.5,1,0,3,6,1,0,3,6,1,0,3,5,3,,3,6,2.4,,0.8,3.6,-1747,0,-1.7 %,0.0 %,-1747,0,-1.7 %,0.0 %,-1747,0,-1.7 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,689,321,-873,0,75.0 %,100.0 %
BND,3d RSI BND LT10 - L BND,0.7 %,1.9 %,374,950,7.6 %,7.6 %,9.9 %,25.0 %,-0.6 %,-0.8 %,5,5,0.4,0.4,80.0 %,100.0 %,0.6,,75,187,0.1 %,0.4 %,2.4,2.8,1,0,4,5,1,0,4,5,1,0,4,5,4,,4,5,2.2,,0.8,3.8,-621,0,-0.6 %,0.0 %,-621,0,-0.6 %,0.0 %,-621,0,-0.6 %,0.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,171,187,-311,0,80.0 %,100.0 %
BNDX,6d RSI BNDX LT24 - L BNDX,0.5 %,2.8 %,232,1420,3.4 %,9.2 %,13.8 %,30.9 %,0.0 %,-0.5 %,2,8,0.2,0.7,100.0 %,100.0 %,,,116,174,0.2 %,0.3 %,1.5,1.9,0,0,2,8,0,0,2,8,0,0,2,8,,,2,8,,,4,3.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,116,174,0,0,100.0 %,100.0 %
BNO,3d RSI BNO LT11 - L BNO,6.8 %,24.5 %,3424,12337,15.9 %,10.4 %,43.1 %,237.2 %,0.0 %,-4.0 %,4,8,0.3,0.7,100.0 %,100.0 %,,,856,1392,1.7 %,2.8 %,3.2,2.2,0,0,4,8,0,0,4,8,0,0,4,7,,,4,8,,,2.8,5.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,856,1392,0,0,100.0 %,100.0 %
BOND,4d RSI BOND LT13 - L BOND,0.9 %,2.5 %,473,1249,30.9 %,6.8 %,3.1 %,36.7 %,0.0 %,-0.8 %,4,5,0.3,0.4,75.0 %,100.0 %,,,118,245,0.2 %,0.5 %,3.2,2.4,1,0,3,5,1,0,3,5,1,0,2,5,3,,3,5,,,2.1,12.4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,158,245,0,0,66.7 %,100.0 %
BSCR,15d RSI BSCR LT38 - L BSCR,0.4 %,3.0 %,200,1488,83.3 %,13.6 %,0.5 %,21.9 %,0.0 %,-0.8 %,2,9,0.2,0.8,100.0 %,66.7 %,,6.6,100,162,0.2 %,0.3 %,1.5,2.8,0,2,2,6,0,2,2,6,0,1,1,5,,2,2,6,,13.3,10,3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,-119,0.0 %,-0.2 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,75.0 %,100,263,0,-40,100.0 %,71.4 %
BSV,13d RSI BSV LT34 - L BSV,0.1 %,0.9 %,54,453,100.0 %,5.2 %,0.1 %,17.4 %,0.0 %,-0.2 %,1,5,0.1,0.4,100.0 %,100.0 %,,,54,90,0.1 %,0.2 %,5,1.6,0,0,1,5,0,0,1,4,0,0,1,4,,,1,5,,,0,4.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,54,90,0,0,100.0 %,100.0 %
BWX,16d RSI BWX LT32 - L BWX,3.7 %,1.4 %,1871,725,8.3 %,5.2 %,44.9 %,27.9 %,0.0 %,-1.4 %,6,4,0.5,0.3,83.3 %,75.0 %,15.8,1.4,312,180,0.6 %,0.4 %,1.5,2.2,1,1,5,2,1,1,5,2,0,1,4,1,5,3,5,3,78.8,4.2,4,1.2,-48,-222,-0.0 %,-0.4 %,-48,-222,-0.0 %,-0.4 %,0,-222,0.0 %,-0.4 %,83.3 %,75.0 %,83.3 %,75.0 %,83.3 %,75.0 %,379,314,-24,-222,100.0 %,66.7 %
BWZ,12d RSI BWZ LT29 - L BWZ,1.2 %,2.1 %,595,1062,3.6 %,7.2 %,33.1 %,29.5 %,0.0 %,-0.7 %,2,4,0.2,0.3,100.0 %,100.0 %,,,298,262,0.6 %,0.5 %,1.5,3.5,0,0,2,4,0,0,2,4,0,0,2,4,,,2,4,,,5.6,3.9,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,298,262,0,0,100.0 %,100.0 %
CALF,20d RSI CALF LT41 - L CALF,2.2 %,16.7 %,1108,8397,18.2 %,10.0 %,12.2 %,167.9 %,-1.3 %,-4.1 %,7,7,0.6,0.6,71.4 %,100.0 %,1.1,,158,1115,0.3 %,2.2 %,3.4,2.6,2,0,3,7,1,0,3,7,0,0,4,6,2.5,,5,7,2.6,,1,7.3,-1359,0,-1.4 %,0.0 %,-919,0,-0.9 %,0.0 %,0,0,0.0 %,0.0 %,71.4 %,100.0 %,71.4 %,100.0 %,83.3 %,100.0 %,358,1115,-340,0,100.0 %,100.0 %
CHAU,13d RSI CHAU LT31 - L CHAU,4.8 %,16.9 %,2413,8511,8.0 %,10.4 %,60.3 %,163.7 %,0.0 %,-3.7 %,3,9,0.2,0.8,100.0 %,100.0 %,,,804,879,1.6 %,1.8 %,2.3,1.9,0,0,3,9,0,0,3,8,0,0,2,6,,,3,9,,,4.6,4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,804,879,0,0,100.0 %,100.0 %
CIBR,4d RSI CIBR LT17 - L CIBR,17.3 %,9.6 %,8633,4821,14.9 %,8.4 %,116.0 %,114.8 %,0.0 %,-1.9 %,8,6,0.7,0.5,100.0 %,100.0 %,,,1079,769,2.2 %,1.5 %,3,2.5,0,0,8,6,0,0,8,6,0,0,7,6,,,8,6,,,3.7,4.4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1079,769,0,0,100.0 %,100.0 %
CMDT,21d RSI CMDT LT39 - L CMDT,3.4 %,8.9 %,1715,4498,45.9 %,20.0 %,7.5 %,45.0 %,-0.3 %,-1.8 %,6,18,0.5,1.5,83.3 %,77.8 %,2.5,1.8,286,239,0.6 %,0.5 %,1.8,1.8,1,1,3,6,1,1,3,5,0,1,3,3,5,3.5,5,14,12.5,6.4,2.7,3.2,-298,-507,-0.3 %,-1.0 %,-298,-179,-0.3 %,-0.4 %,0,-22,0.0 %,-0.0 %,83.3 %,77.8 %,83.3 %,77.8 %,83.3 %,75.0 %,373,365,-149,-201,100.0 %,80.0 %
CMF,14d RSI CMF LT27 - L CMF,0.4 %,1.2 %,211,604,100.0 %,6.8 %,0.4 %,17.8 %,0.0 %,-0.6 %,1,6,0.1,0.5,100.0 %,83.3 %,,1.7,211,99,0.4 %,0.2 %,2,1.8,0,1,1,5,0,1,1,5,0,0,1,4,,5,1,5,,8.7,0,2,0,-77,0.0 %,-0.1 %,0,-77,0.0 %,-0.1 %,0,0,0.0 %,0.0 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,83.3 %,211,135,0,-77,100.0 %,100.0 %
COLO,20d RSI COLO LT37 - L COLO,4.9 %,10.9 %,2434,5504,22.7 %,9.6 %,21.4 %,114.7 %,-1.4 %,-2.6 %,5,7,0.4,0.6,80.0 %,85.7 %,1.1,1.5,487,750,1.0 %,1.5 %,2,2.4,1,1,2,6,0,1,4,5,0,0,3,4,4,6,4,6,4.5,9.1,1.4,3,-1397,-646,-1.4 %,-1.3 %,0,-646,0.0 %,-1.3 %,0,0,0.0 %,0.0 %,80.0 %,85.7 %,80.0 %,85.7 %,100.0 %,83.3 %,783,983,-698,-646,100.0 %,100.0 %
COMT,3d RSI COMT LT13 - L COMT,8.1 %,14.7 %,4033,7423,13.1 %,12.8 %,61.7 %,116.0 %,0.0 %,-1.6 %,7,9,0.6,0.8,100.0 %,100.0 %,,,576,770,1.2 %,1.5 %,1.9,2.6,0,0,7,9,0,0,7,8,0,0,6,8,,,7,9,,,4.9,6.7,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,576,770,0,0,100.0 %,100.0 %
COPX,20d RSI COPX LT36 - L COPX,2.9 %,12.8 %,1454,6444,8.0 %,5.6 %,36.4 %,230.1 %,0.0 %,-1.2 %,2,5,0.2,0.4,100.0 %,100.0 %,,,727,1220,1.5 %,2.4 %,3,1.8,0,0,2,5,0,0,2,5,0,0,2,4,,,2,5,,,5.5,5.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,727,1220,0,0,100.0 %,100.0 %
CORN,19d RSI CORN LT30 - L CORN,1.1 %,6.5 %,536,3289,17.3 %,6.0 %,6.2 %,109.6 %,-1.1 %,-2.3 %,5,3,0.4,0.2,60.0 %,100.0 %,1.3,,107,1068,0.2 %,2.1 %,3,4,2,0,2,3,2,0,2,3,1,0,1,2,1.5,,3,3,2,,0.7,3.5,-1071,0,-1.1 %,0.0 %,-1071,0,-1.1 %,0.0 %,-1071,0,-1.1 %,0.0 %,60.0 %,100.0 %,60.0 %,100.0 %,60.0 %,100.0 %,357,1068,-268,0,66.7 %,100.0 %
COWZ,10d RSI COWZ LT32 - L COWZ,-0.1 %,6.0 %,-69,3024,9.1 %,8.4 %,-1.5 %,72.0 %,-2.1 %,-4.9 %,4,7,0.3,0.6,75.0 %,85.7 %,0.3,0.7,-17,422,-0.0 %,0.8 %,3.2,2,1,1,2,6,1,1,2,6,1,1,2,4,3,6,3,6,0.9,4.2,-0.1,1.8,-2098,-917,-2.1 %,-1.8 %,-2098,-917,-2.1 %,-1.8 %,-1532,-99,-1.5 %,-0.2 %,75.0 %,85.7 %,75.0 %,85.7 %,75.0 %,85.7 %,327,645,-1049,-917,66.7 %,80.0 %
CPER,7d RSI CPER LT31 - L CPER,4.7 %,14.0 %,2361,7065,15.9 %,14.8 %,29.6 %,95.5 %,-1.2 %,-2.2 %,8,11,0.7,0.9,75.0 %,100.0 %,1.6,,295,602,0.6 %,1.2 %,3.9,2.4,2,0,4,11,2,0,4,11,1,0,4,8,3,,6,11,4.8,,1.6,4.8,-1248,0,-1.2 %,0.0 %,-1248,0,-1.2 %,0.0 %,-80,0,-0.1 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,498,602,-312,0,85.7 %,100.0 %
CQQQ,11d RSI CQQQ LT28 - L CQQQ,3.5 %,10.7 %,1742,5386,73.3 %,5.6 %,4.8 %,192.4 %,-0.0 %,-0.5 %,3,5,0.2,0.4,66.7 %,100.0 %,53.7,,581,1028,1.2 %,2.1 %,2.7,1.8,1,0,1,5,1,0,1,5,0,0,2,4,2,,2,5,107.5,,1.5,5,-33,0,-0.0 %,0.0 %,-33,0,-0.0 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,879,1028,-16,0,100.0 %,100.0 %
