,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2023 OOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOR,21d RSI AOR LT33 - L AOR,0.7 %,6.5 %,331,3238,100.0 %,8.8 %,0.7 %,73.9 %,0.0 %,-2.0 %,1,6,0.1,0.5,100.0 %,83.3 %,,,331,524,0.7 %,1.1 %,2,2.7,0,1,1,4,0,1,1,4,0,1,1,4,,5,1,5,,,0,5.1,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,83.3 %,331,629,0,0,100.0 %,83.3 %
ARGT,9d RSI ARGT LT28 - L ARGT,-2.8 %,20.4 %,-1377,10254,8.8 %,7.2 %,-31.3 %,286.0 %,-5.6 %,-2.6 %,2,6,0.2,0.5,50.0 %,100.0 %,0.5,,-688,1576,-1.4 %,3.1 %,5.5,2,1,0,1,6,1,0,1,6,1,0,1,5,1,,1,6,0.5,,-0.4,6.8,-5762,0,-5.8 %,0.0 %,-5762,0,-5.8 %,0.0 %,-5762,0,-5.8 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,1504,1576,-2881,0,50.0 %,100.0 %
ARKG,3d RSI ARKG LT12 - L ARKG,-4.9 %,100.1 %,-2454,50240,25.6 %,18.3 %,-19.2 %,548.3 %,-16.6 %,-10.8 %,6,12,0.5,1,50.0 %,100.0 %,0.7,,-409,2985,-0.8 %,6.0 %,6.5,2.8,2,0,2,12,2,0,2,12,2,0,2,11,1,,3,12,0.7,,-0.3,9.9,-18328,0,-18.3 %,0.0 %,-18328,0,-18.3 %,0.0 %,-15443,0,-15.4 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,2286,2985,-3104,0,40.0 %,100.0 %
ARKK,4d RSI ARKK LT11 - L ARKK,-0.4 %,49.2 %,-210,24725,20.4 %,6.0 %,-2.1 %,827.5 %,-6.2 %,-12.5 %,3,4,0.2,0.3,33.3 %,100.0 %,1.9,,-70,5340,-0.1 %,10.7 %,6.7,2.8,2,0,1,4,2,0,1,4,2,0,1,4,0.5,,1,4,0.9,,-0.1,3.7,-6582,0,-6.6 %,0.0 %,-6582,0,-6.6 %,0.0 %,-6582,0,-6.6 %,0.0 %,33.3 %,100.0 %,33.3 %,100.0 %,33.3 %,100.0 %,3081,5340,-1645,0,33.3 %,100.0 %
ARKQ,8d RSI ARKQ LT19 - L ARKQ,2.1 %,13.2 %,1045,6652,100.0 %,5.2 %,2.1 %,256.9 %,0.0 %,-9.6 %,1,3,0.1,0.2,100.0 %,100.0 %,,,1045,2140,2.1 %,4.3 %,2,3.3,0,0,1,3,0,0,1,3,0,0,1,3,,,1,3,,,0,2.4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1045,2140,0,0,100.0 %,100.0 %
ARKW,4d RSI ARKW LT11 - L ARKW,-4.5 %,59.6 %,-2234,29904,20.4 %,8.0 %,-21.9 %,750.6 %,-7.2 %,-11.9 %,3,6,0.2,0.5,33.3 %,100.0 %,0.8,,-745,4116,-1.5 %,8.2 %,6.7,2.3,2,0,1,6,2,0,1,6,2,0,1,5,0.5,,1,6,0.4,,-0.8,3.7,-7466,0,-7.5 %,0.0 %,-7466,0,-7.5 %,0.0 %,-7466,0,-7.5 %,0.0 %,33.3 %,100.0 %,33.3 %,100.0 %,33.3 %,100.0 %,1499,4116,-1866,0,33.3 %,100.0 %
BAR,12d RSI BAR LT28 - L BAR,-1.5 %,3.5 %,-775,1762,29.7 %,6.8 %,-5.2 %,52.0 %,-2.0 %,-1.4 %,2,4,0.2,0.3,50.0 %,75.0 %,0.2,3.7,-387,435,-0.8 %,0.9 %,4.5,3.2,1,1,1,2,1,1,1,2,1,0,1,3,1,3,1,3,0.2,11,-0.9,1.9,-2004,-174,-2.0 %,-0.3 %,-2004,-174,-2.0 %,-0.3 %,-2004,0,-2.0 %,0.0 %,50.0 %,75.0 %,50.0 %,75.0 %,50.0 %,75.0 %,227,638,-1002,-174,50.0 %,100.0 %
BBLU,8d RSI BBLU LT36 - L BBLU,1.5 %,25353.3 %,759,12727146,18.3 %,80.9 %,8.3 %,31473.0 %,-3.3 %,-0.2 %,7,3,0.6,0.2,71.4 %,100.0 %,0.6,,108,4072916,0.2 %,8145.8 %,3.7,66.7,1,0,4,3,1,0,4,3,2,0,4,2,2.5,,5,3,1.4,,0.4,1.2,-2324,0,-2.3 %,0.0 %,-2324,0,-2.3 %,0.0 %,-3453,0,-3.5 %,0.0 %,71.4 %,100.0 %,71.4 %,100.0 %,71.4 %,100.0 %,543,4072916,-978,0,66.7 %,100.0 %
BCI,5d RSI BCI LT12 - L BCI,0.6 %,9.6 %,304,4806,100.0 %,5.2 %,0.6 %,185.6 %,0.0 %,-1.9 %,1,4,0.1,0.3,100.0 %,100.0 %,,,304,1156,0.6 %,2.3 %,2,2.2,0,0,1,4,0,0,1,4,0,0,1,3,,,1,4,,,0,13.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,304,1156,0,0,100.0 %,100.0 %
BIL,3d RSI BIL LT65 - L BIL,0.3 %,0.6 %,126,290,13.8 %,63.4 %,1.8 %,0.9 %,0.0 %,-0.0 %,4,15,0.3,1.2,100.0 %,93.3 %,,,31,19,0.1 %,0.0 %,2,9.6,0,1,4,14,0,1,4,14,0,1,3,7,,14,4,14,,,6.3,7,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,93.3 %,100.0 %,93.3 %,100.0 %,93.3 %,31,21,0,0,100.0 %,87.5 %
BITI,4d RSI BITI LT19 - L BITI,-39.9 %,36.4 %,-19966,18271,23.6 %,8.4 %,-169.5 %,436.8 %,-36.0 %,-3.6 %,11,6,0.9,0.5,45.5 %,100.0 %,0.3,,-1815,2720,-3.6 %,5.4 %,4,2.5,4,0,4,6,4,0,3,6,3,0,3,5,0.8,,5,6,0.3,,-1.5,2.5,-29011,0,-29.0 %,0.0 %,-29011,0,-29.0 %,0.0 %,-25985,0,-26.0 %,0.0 %,45.5 %,100.0 %,45.5 %,100.0 %,40.0 %,100.0 %,1626,2720,-4682,0,50.0 %,100.0 %
BIV,20d RSI BIV LT31 - L BIV,0.7 %,4.1 %,340,2037,100.0 %,15.5 %,0.7 %,26.2 %,0.0 %,-2.2 %,1,11,0.1,0.9,100.0 %,63.6 %,,2.6,340,182,0.7 %,0.4 %,2,2.5,0,2,1,3,0,2,1,3,0,1,1,2,,1.8,1,7,,4.6,0,2.2,0,-394,0.0 %,-0.8 %,0,-394,0.0 %,-0.8 %,0,-145,0.0 %,-0.3 %,100.0 %,63.6 %,100.0 %,63.6 %,100.0 %,63.6 %,340,366,0,-140,100.0 %,62.5 %
BIZD,20d RSI BIZD LT37 - L BIZD,3.8 %,12.2 %,1881,6113,100.0 %,11.9 %,3.8 %,102.3 %,0.0 %,-9.2 %,2,7,0.2,0.6,100.0 %,71.4 %,,3.1,941,834,1.9 %,1.7 %,1.5,3.3,0,1,2,3,0,1,1,4,0,0,1,3,,2.5,2,5,,7.8,13.4,2.7,0,-661,0.0 %,-1.3 %,0,-192,0.0 %,-0.4 %,0,0,0.0 %,0.0 %,100.0 %,71.4 %,100.0 %,71.4 %,100.0 %,83.3 %,941,1339,0,-427,100.0 %,100.0 %
BLV,5d RSI BLV LT11 - L BLV,2.0 %,9.4 %,976,4732,100.0 %,5.2 %,2.0 %,182.7 %,0.0 %,-2.2 %,1,5,0.1,0.4,100.0 %,100.0 %,,,976,910,2.0 %,1.8 %,4,1.6,0,0,1,5,0,0,1,5,0,0,1,5,,,1,5,,,0,5.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,976,910,0,0,100.0 %,100.0 %
BND,10d RSI BND LT20 - L BND,0.7 %,4.5 %,367,2281,100.0 %,6.0 %,0.7 %,76.3 %,0.0 %,-0.6 %,1,6,0.1,0.5,100.0 %,100.0 %,,,367,372,0.7 %,0.7 %,2,1.5,0,0,1,6,0,0,1,6,0,0,1,5,,,1,6,,,0,5.7,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,367,372,0,0,100.0 %,100.0 %
BNO,10d RSI BNO LT32 - L BNO,14.1 %,23.3 %,7037,11675,11.7 %,8.4 %,120.5 %,279.1 %,0.0 %,-5.4 %,7,6,0.6,0.5,85.7 %,83.3 %,1,2.9,1005,1789,2.0 %,3.6 %,2.3,2.5,1,1,6,5,1,1,6,5,1,1,4,4,6,5,6,5,6,14.7,2.4,3.5,-2838,-782,-2.8 %,-1.6 %,-2838,-782,-2.8 %,-1.6 %,-2838,-782,-2.8 %,-1.6 %,85.7 %,83.3 %,85.7 %,83.3 %,85.7 %,83.3 %,1409,2303,-1419,-782,80.0 %,80.0 %
BOIL,4d RSI BOIL LT10 - L BOIL,-18.3 %,32.4 %,-9135,16251,100.0 %,6.0 %,-18.3 %,543.9 %,0.0 %,-9.4 %,1,4,0.1,0.3,0.0 %,100.0 %,0,,-9135,3632,-18.3 %,7.3 %,8,2.2,1,0,0,4,1,0,0,4,1,0,0,4,0,,0,4,0,,0,23.1,-18271,0,-18.3 %,0.0 %,-18271,0,-18.3 %,0.0 %,-18271,0,-18.3 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,3632,-9135,0,0.0 %,100.0 %
BOTZ,21d RSI BOTZ LT33 - L BOTZ,1.1 %,6.7 %,539,3351,31.5 %,10.8 %,3.4 %,62.3 %,-1.2 %,-12.1 %,3,5,0.2,0.4,66.7 %,80.0 %,0.9,0.6,180,679,0.4 %,1.4 %,4.7,4.4,1,1,2,4,1,1,2,4,1,1,2,4,2,4,2,4,1.9,2.4,0.6,0.9,-1225,-2448,-1.2 %,-4.9 %,-1225,-2448,-1.2 %,-4.9 %,-1225,-2448,-1.2 %,-4.9 %,66.7 %,80.0 %,66.7 %,80.0 %,66.7 %,80.0 %,575,1460,-612,-2448,66.7 %,80.0 %
BTAL,4d RSI BTAL LT17 - L BTAL,-3.1 %,7.5 %,-1574,3778,30.3 %,6.8 %,-10.4 %,111.6 %,-6.1 %,-3.8 %,9,5,0.8,0.4,66.7 %,100.0 %,0.3,,-175,733,-0.3 %,1.5 %,6.7,2.4,1,0,4,5,1,0,4,5,1,0,3,5,2,,6,5,0.7,,-0.4,3.6,-6182,0,-6.2 %,0.0 %,-6182,0,-6.2 %,0.0 %,-6182,0,-6.2 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,499,733,-1523,0,57.1 %,100.0 %
BWX,9d RSI BWX LT18 - L BWX,0.6 %,6.8 %,276,3401,85.7 %,9.2 %,0.6 %,74.2 %,0.0 %,-1.9 %,2,6,0.2,0.5,100.0 %,100.0 %,,,138,550,0.3 %,1.1 %,2,2.8,0,0,2,6,0,0,2,6,0,0,2,5,,,2,6,,,1.7,4.7,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,138,550,0,0,100.0 %,100.0 %
BWZ,8d RSI BWZ LT18 - L BWZ,0.6 %,3.4 %,320,1685,100.0 %,5.2 %,0.6 %,65.1 %,0.0 %,-1.2 %,1,5,0.1,0.4,100.0 %,80.0 %,,1.9,320,332,0.6 %,0.7 %,6,1.6,0,1,1,3,0,1,1,3,0,0,1,4,,4,1,4,,7.6,0,2.4,0,-250,0.0 %,-0.5 %,0,-250,0.0 %,-0.5 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,320,478,0,-250,100.0 %,100.0 %
CALF,4d RSI CALF LT13 - L CALF,0.6 %,11.7 %,288,5868,10.7 %,7.2 %,5.4 %,163.7 %,-0.6 %,-3.2 %,2,5,0.2,0.4,50.0 %,100.0 %,1.9,,144,1119,0.3 %,2.2 %,5.5,2.6,1,0,1,5,1,0,1,5,1,0,1,4,1,,1,5,1.9,,0.5,6.3,-612,0,-0.6 %,0.0 %,-612,0,-0.6 %,0.0 %,-612,0,-0.6 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,594,1119,-306,0,50.0 %,100.0 %
CEF,19d RSI CEF LT32 - L CEF,0.6 %,2.9 %,324,1458,100.0 %,8.0 %,0.6 %,36.6 %,0.0 %,-3.4 %,1,5,0.1,0.4,100.0 %,60.0 %,,7.1,324,288,0.6 %,0.6 %,4,3,0,2,1,3,0,2,1,2,0,1,1,2,,1.5,1,3,,10.6,0,1.9,0,-150,0.0 %,-0.3 %,0,-150,0.0 %,-0.3 %,0,-58,0.0 %,-0.1 %,100.0 %,60.0 %,100.0 %,60.0 %,100.0 %,50.0 %,324,530,0,-75,100.0 %,66.7 %
CIBR,3d RSI CIBR LT11 - L CIBR,6.6 %,22.6 %,3311,11346,11.0 %,15.9 %,60.0 %,142.4 %,0.0 %,-6.9 %,5,10,0.4,0.8,100.0 %,90.0 %,,3.8,662,1040,1.3 %,2.1 %,2.6,3,0,1,5,9,0,1,5,9,0,0,5,8,,9,5,9,,34.5,3.8,3.2,0,-310,0.0 %,-0.6 %,0,-310,0.0 %,-0.6 %,0,0,0.0 %,0.0 %,100.0 %,90.0 %,100.0 %,90.0 %,100.0 %,90.0 %,662,1190,0,-310,100.0 %,100.0 %
COMT,9d RSI COMT LT26 - L COMT,4.8 %,7.4 %,2398,3709,8.3 %,5.2 %,57.8 %,143.2 %,0.0 %,-3.0 %,4,4,0.3,0.3,100.0 %,100.0 %,,,599,899,1.2 %,1.8 %,3,2.2,0,0,4,4,0,0,4,4,0,0,4,4,,,4,4,,,6,9.7,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,599,899,0,0,100.0 %,100.0 %
COPX,10d RSI COPX LT24 - L COPX,0.9 %,17.8 %,468,8919,100.0 %,6.0 %,0.9 %,298.5 %,0.0 %,-5.0 %,1,5,0.1,0.4,100.0 %,80.0 %,,6.4,468,1679,0.9 %,3.4 %,3,2,0,1,1,3,0,1,1,3,0,1,1,2,,4,1,4,,25.6,0,2.9,0,-342,0.0 %,-0.7 %,0,-342,0.0 %,-0.7 %,0,-342,0.0 %,-0.7 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,468,2184,0,-342,100.0 %,75.0 %
CORN,20d RSI CORN LT35 - L CORN,2.4 %,5.2 %,1207,2633,50.8 %,7.6 %,4.7 %,69.6 %,-0.7 %,-7.9 %,5,4,0.4,0.3,80.0 %,75.0 %,1.1,0.8,241,670,0.5 %,1.3 %,5.2,3.8,1,1,4,3,1,1,4,3,1,0,1,2,4,3,4,3,4.5,2.3,1.3,0.8,-691,-2087,-0.7 %,-4.2 %,-691,-2087,-0.7 %,-4.2 %,-520,0,-0.5 %,0.0 %,80.0 %,75.0 %,80.0 %,75.0 %,80.0 %,75.0 %,388,1589,-345,-2087,50.0 %,100.0 %
COWZ,5d RSI COWZ LT13 - L COWZ,-0.4 %,7.6 %,-177,3819,100.0 %,5.6 %,-0.4 %,136.9 %,0.0 %,-2.8 %,1,3,0.1,0.2,0.0 %,100.0 %,0,,-177,1238,-0.4 %,2.5 %,3,3.7,1,0,0,3,1,0,0,3,1,0,0,3,0,,0,3,0,,0,8,-354,0,-0.4 %,0.0 %,-354,0,-0.4 %,0.0 %,-354,0,-0.4 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,1238,-177,0,0.0 %,100.0 %
CQQQ,4d RSI CQQQ LT10 - L CQQQ,5.2 %,22.8 %,2612,11439,6.4 %,6.4 %,82.2 %,358.9 %,0.0 %,-6.1 %,4,4,0.3,0.3,100.0 %,50.0 %,,6.8,653,2966,1.3 %,5.9 %,1.8,3,0,1,4,2,0,1,4,2,0,1,4,2,,1,4,2,,6.8,3,1,0,-1149,0.0 %,-2.3 %,0,-1149,0.0 %,-2.3 %,0,-900,0.0 %,-1.8 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,653,6956,0,-1024,100.0 %,66.7 %
CWI,10d RSI CWI LT27 - L CWI,1.6 %,14.2 %,804,7135,24.3 %,9.6 %,6.6 %,149.2 %,0.0 %,-2.4 %,3,7,0.2,0.6,66.7 %,100.0 %,3.7,,268,962,0.5 %,1.9 %,2,2.4,1,0,2,7,0,0,2,7,0,0,2,6,2,,2,7,7.3,,1.6,4.1,-255,0,-0.3 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,100.0 %,100.0 %,466,962,-127,0,100.0 %,100.0 %
CXSE,4d RSI CXSE LT10 - L CXSE,9.7 %,19.4 %,4851,9748,6.3 %,5.6 %,154.5 %,349.5 %,0.0 %,-6.4 %,4,4,0.3,0.3,100.0 %,75.0 %,,2.5,1213,2472,2.4 %,4.9 %,2.2,2.5,0,1,4,3,0,1,4,3,0,0,4,3,,3,4,3,,7.6,3,1,0,-1501,0.0 %,-3.0 %,0,-1501,0.0 %,-3.0 %,0,0,0.0 %,0.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,1213,3796,0,-1501,100.0 %,100.0 %
DBA,12d RSI DBA LT33 - L DBA,1.9 %,3.2 %,962,1600,3.8 %,9.2 %,50.7 %,34.9 %,0.0 %,-6.0 %,2,5,0.2,0.4,100.0 %,80.0 %,,0.5,481,325,1.0 %,0.7 %,2,3.6,0,1,2,3,0,1,2,3,0,0,2,3,,4,2,4,,2,4.2,0.7,0,-1563,0.0 %,-3.1 %,0,-1563,0.0 %,-3.1 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,481,797,0,-1563,100.0 %,100.0 %
DBC,3d RSI DBC LT10 - L DBC,5.3 %,1.9 %,2664,943,14.0 %,5.2 %,38.1 %,36.4 %,-1.3 %,-4.6 %,6,3,0.5,0.2,83.3 %,66.7 %,0.9,1,444,321,0.9 %,0.6 %,3.5,3.3,1,1,4,2,1,1,4,2,1,1,4,2,5,2,5,2,4.7,1.9,1.7,0.6,-1429,-1065,-1.4 %,-2.1 %,-1429,-1065,-1.4 %,-2.1 %,-1429,-1065,-1.4 %,-2.1 %,83.3 %,66.7 %,83.3 %,66.7 %,83.3 %,66.7 %,676,1014,-714,-1065,83.3 %,66.7 %
DBO,4d RSI DBO LT15 - L DBO,17.2 %,15.2 %,8591,7646,9.5 %,5.2 %,180.8 %,295.3 %,0.0 %,-3.3 %,6,4,0.5,0.3,100.0 %,100.0 %,,,1432,1807,2.9 %,3.6 %,2.5,2.2,0,0,6,4,0,0,6,4,0,0,5,3,,,6,4,,,7.2,6.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1432,1807,0,0,100.0 %,100.0 %
