,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2023 OOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (515),Condition (515),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
ACWI,21d RSI ACWI LT34 - L ACWI,1.8 %,10.3 %,917,5176,25.0 %,6.8 %,7.3 %,152.8 %,0.0 %,-2.1 %,2,5,0.2,0.4,100.0 %,100.0 %,,,458,993,0.9 %,2.0 %,1.5,2.4,0,0,2,5,0,0,2,5,0,0,1,5,,,2,5,,,5.4,4.7,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,458,993,0,0,100.0 %,100.0 %
ACWV,21d RSI ACWV LT32 - L ACWV,0.5 %,5.3 %,271,2678,100.0 %,5.2 %,0.5 %,103.4 %,0.0 %,-2.0 %,1,4,0.1,0.3,100.0 %,100.0 %,,,271,654,0.5 %,1.3 %,2,2.2,0,0,1,4,0,0,1,4,0,0,1,4,,,1,4,,,0,8.4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,271,654,0,0,100.0 %,100.0 %
ACWX,12d RSI ACWX LT28 - L ACWX,0.9 %,17.9 %,432,8970,16.7 %,9.6 %,5.2 %,187.6 %,0.0 %,-2.4 %,2,7,0.2,0.6,100.0 %,100.0 %,,,216,1191,0.4 %,2.4 %,2,2.4,0,0,2,7,0,0,2,7,0,0,2,6,,,2,7,,,1.8,5.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,216,1191,0,0,100.0 %,100.0 %
AGG,10d RSI AGG LT20 - L AGG,0.8 %,4.4 %,385,2216,100.0 %,6.0 %,0.8 %,74.2 %,0.0 %,-0.6 %,1,6,0.1,0.5,100.0 %,100.0 %,,,385,361,0.8 %,0.7 %,2,1.5,0,0,1,6,0,0,1,6,0,0,1,5,,,1,6,,,0,5.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,385,361,0,0,100.0 %,100.0 %
AGQ,6d RSI AGQ LT12 - L AGQ,3.0 %,2.9 %,1497,1470,100.0 %,5.2 %,3.0 %,56.8 %,0.0 %,-6.1 %,1,3,0.1,0.2,100.0 %,33.3 %,,13.2,1497,491,3.0 %,1.0 %,4,3.3,0,2,1,1,0,2,1,1,0,2,1,1,,0.5,1,1,,6.6,0,1,0,-263,0.0 %,-0.5 %,0,-263,0.0 %,-0.5 %,0,-263,0.0 %,-0.5 %,100.0 %,33.3 %,100.0 %,33.3 %,100.0 %,33.3 %,1497,1736,0,-132,100.0 %,33.3 %
AIA,5d RSI AIA LT14 - L AIA,6.1 %,15.2 %,3056,7617,8.2 %,7.2 %,74.4 %,212.4 %,0.0 %,-4.8 %,5,4,0.4,0.3,100.0 %,75.0 %,,4.1,611,1856,1.2 %,3.7 %,2.4,3.5,0,1,5,3,0,1,5,3,0,0,5,3,,3,5,3,,12.4,6.9,1.5,0,-651,0.0 %,-1.3 %,0,-651,0.0 %,-1.3 %,0,0,0.0 %,0.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,611,2692,0,-651,100.0 %,100.0 %
AIRR,20d RSI AIRR LT38 - L AIRR,0.7 %,14.3 %,333,7159,60.0 %,12.8 %,1.1 %,112.3 %,-1.5 %,-6.8 %,2,8,0.2,0.7,50.0 %,87.5 %,1.4,2.6,166,844,0.3 %,1.7 %,5,3,1,1,1,7,1,1,1,7,0,1,1,6,1,7,1,7,1.4,18.2,0.3,4,-1499,-392,-1.5 %,-0.8 %,-1499,-392,-1.5 %,-0.8 %,0,-392,0.0 %,-0.8 %,50.0 %,87.5 %,50.0 %,87.5 %,50.0 %,87.5 %,1083,1020,-750,-392,100.0 %,85.7 %
AMLP,19d RSI AMLP LT38 - L AMLP,4.5 %,16.4 %,2247,8230,88.9 %,6.8 %,5.1 %,243.0 %,0.0 %,-4.0 %,2,6,0.2,0.5,100.0 %,100.0 %,,,1123,1284,2.2 %,2.6 %,3,1.8,0,0,2,6,0,0,2,6,0,0,1,4,,,2,6,,,12.8,6.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1123,1284,0,0,100.0 %,100.0 %
AOA,17d RSI AOA LT32 - L AOA,0.9 %,7.5 %,448,3787,36.0 %,7.2 %,2.5 %,105.6 %,-0.5 %,-2.1 %,3,5,0.2,0.4,66.7 %,100.0 %,1.5,,149,734,0.3 %,1.5 %,2,2.6,1,0,1,5,1,0,1,5,0,0,2,5,2,,2,5,3,,1,4.4,-454,0,-0.5 %,0.0 %,-454,0,-0.5 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,337,734,-227,0,100.0 %,100.0 %
AOK,21d RSI AOK LT30 - L AOK,0.7 %,5.1 %,325,2573,100.0 %,5.6 %,0.7 %,92.3 %,0.0 %,-2.0 %,1,5,0.1,0.4,100.0 %,80.0 %,,18.9,325,503,0.7 %,1.0 %,2,1.8,0,1,1,4,0,1,1,4,0,1,1,3,,4,1,4,,75.5,0,3.8,0,-34,0.0 %,-0.1 %,0,-34,0.0 %,-0.1 %,0,-34,0.0 %,-0.1 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,325,638,0,-34,100.0 %,75.0 %
AOM,21d RSI AOM LT32 - L AOM,0.6 %,8.2 %,324,4131,100.0 %,13.6 %,0.6 %,61.0 %,0.0 %,-2.0 %,1,10,0.1,0.8,100.0 %,90.0 %,,4.4,324,398,0.6 %,0.8 %,2,2.4,0,1,1,8,0,1,1,8,0,1,1,6,,9,1,9,,39.2,0,4.7,0,-104,0.0 %,-0.2 %,0,-104,0.0 %,-0.2 %,0,-104,0.0 %,-0.2 %,100.0 %,90.0 %,100.0 %,90.0 %,100.0 %,90.0 %,324,453,0,-104,100.0 %,87.5 %
