,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2022 OOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (675),Condition (675),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
AAXJ,8d RSI AAXJ LT21 - L AAXJ,15.7 %,10.7 %,7845,5369,11.2 %,6.8 %,140.3 %,159.2 %,0.0 %,-2.0 %,4,5,0.3,0.4,100.0 %,100.0 %,,,1961,1031,3.9 %,2.1 %,3.2,2.4,0,0,4,5,0,0,4,5,0,0,3,4,,,4,5,,,2.4,10,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1961,1031,0,0,100.0 %,100.0 %
ACWI,15d RSI ACWI LT35 - L ACWI,16.6 %,6.7 %,8283,3359,22.6 %,5.6 %,73.2 %,120.9 %,-2.0 %,-1.8 %,11,3,0.9,0.2,90.9 %,100.0 %,0.8,,753,1099,1.5 %,2.2 %,2.7,3.7,1,0,8,3,1,0,8,3,1,0,6,3,10,,10,3,8.1,,3.7,3.3,-2342,0,-2.3 %,0.0 %,-2342,0,-2.3 %,0.0 %,-1417,0,-1.4 %,0.0 %,90.9 %,100.0 %,90.9 %,100.0 %,90.9 %,100.0 %,945,1099,-1171,0,87.5 %,100.0 %
ACWV,20d RSI ACWV LT39 - L ACWV,5.1 %,7.3 %,2572,3664,33.7 %,8.7 %,15.3 %,83.9 %,-2.5 %,-1.6 %,14,5,1.2,0.4,71.4 %,100.0 %,0.7,,184,714,0.4 %,1.4 %,3.5,3.4,1,0,3,5,1,0,3,5,2,0,3,3,2.5,,10,5,1.7,,0.9,3.6,-2575,0,-2.6 %,0.0 %,-2575,0,-2.6 %,0.0 %,-2147,0,-2.1 %,0.0 %,71.4 %,100.0 %,71.4 %,100.0 %,69.2 %,100.0 %,615,714,-895,0,57.1 %,100.0 %
ACWX,8d RSI ACWX LT26 - L ACWX,6.6 %,6.4 %,3315,3194,19.4 %,6.3 %,34.1 %,100.6 %,-2.6 %,-1.5 %,8,5,0.7,0.4,75.0 %,100.0 %,1,,414,625,0.8 %,1.2 %,3.2,2.2,1,0,3,5,1,0,3,5,1,0,2,4,3,,6,5,3.1,,1.5,3.1,-2785,0,-2.8 %,0.0 %,-2785,0,-2.8 %,0.0 %,-922,0,-0.9 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,819,625,-798,0,71.4 %,100.0 %
AGG,4d RSI AGG LT11 - L AGG,2.2 %,1.7 %,1113,871,9.4 %,6.0 %,23.6 %,29.3 %,-0.1 %,-0.5 %,6,5,0.5,0.4,66.7 %,100.0 %,3.2,,186,173,0.4 %,0.3 %,2,2,1,0,3,5,1,0,3,5,1,0,2,4,2,,4,5,6.4,,1.9,3.1,-305,0,-0.3 %,0.0 %,-305,0,-0.3 %,0.0 %,-305,0,-0.3 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,330,173,-103,0,60.0 %,100.0 %
AGQ,21d RSI AGQ LT35 - L AGQ,3.1 %,16.8 %,1541,8420,34.4 %,5.2 %,9.0 %,326.4 %,-7.6 %,-3.1 %,7,5,0.6,0.4,42.9 %,100.0 %,1.8,,220,1590,0.4 %,3.2 %,3.4,1.6,2,0,1,5,4,0,1,4,1,0,1,2,0.8,,3,5,1.3,,0.3,3.6,-7814,0,-7.8 %,0.0 %,-6337,0,-6.3 %,0.0 %,-5340,0,-5.3 %,0.0 %,42.9 %,100.0 %,42.9 %,100.0 %,33.3 %,100.0 %,2053,1590,-1155,0,66.7 %,100.0 %
AIA,4d RSI AIA LT11 - L AIA,-2.0 %,13.2 %,-977,6605,11.1 %,7.9 %,-17.6 %,166.5 %,-0.9 %,-3.2 %,3,7,0.2,0.6,33.3 %,85.7 %,0.2,16.8,-326,897,-0.7 %,1.8 %,4.7,1.9,1,1,1,3,1,1,1,3,1,1,1,2,0.5,6,1,6,0.1,100.9,-1.8,4.3,-1301,-63,-1.3 %,-0.1 %,-1301,-63,-1.3 %,-0.1 %,-1301,-63,-1.3 %,-0.1 %,33.3 %,85.7 %,33.3 %,85.7 %,33.3 %,85.7 %,97,1057,-537,-63,33.3 %,80.0 %
AIRR,8d RSI AIRR LT30 - L AIRR,9.4 %,21.5 %,4681,10770,19.1 %,6.8 %,49.0 %,319.3 %,-1.1 %,-2.1 %,9,6,0.8,0.5,77.8 %,100.0 %,1,,520,1655,1.0 %,3.3 %,3.8,1.8,1,0,6,6,1,0,6,6,1,0,3,5,3.5,,7,6,3.4,,1.8,7.5,-2666,0,-2.7 %,0.0 %,-2666,0,-2.7 %,0.0 %,-2666,0,-2.7 %,0.0 %,77.8 %,100.0 %,77.8 %,100.0 %,77.8 %,100.0 %,944,1655,-965,0,66.7 %,100.0 %
AMLP,4d RSI AMLP LT17 - L AMLP,-4.6 %,15.6 %,-2282,7779,12.2 %,15.1 %,-37.4 %,103.2 %,-2.0 %,-6.6 %,3,8,0.2,0.7,33.3 %,75.0 %,0.9,2.9,-761,923,-1.5 %,1.9 %,4,3.8,1,2,1,6,1,2,1,6,1,1,1,6,0.5,3,1,6,0.4,8.6,-0.7,2.5,-6067,-977,-6.1 %,-1.9 %,-6067,-977,-6.1 %,-1.9 %,-6067,-399,-6.1 %,-0.8 %,33.3 %,75.0 %,33.3 %,75.0 %,33.3 %,75.0 %,1703,1393,-1992,-489,33.3 %,85.7 %
