,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2022 OOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGL,10d RSI ANGL LT29 - L ANGL,2.3 %,2.4 %,1129,1188,29.1 %,5.2 %,7.8 %,46.1 %,-1.8 %,-0.3 %,10,4,0.8,0.3,60.0 %,100.0 %,1.2,,113,295,0.2 %,0.6 %,4.5,2.2,2,0,4,4,2,0,4,4,1,0,2,4,1.5,,6,4,1.8,,0.6,3.7,-1820,0,-1.8 %,0.0 %,-1820,0,-1.8 %,0.0 %,-1244,0,-1.2 %,0.0 %,60.0 %,100.0 %,60.0 %,100.0 %,60.0 %,100.0 %,416,295,-342,0,57.1 %,100.0 %
AOA,17d RSI AOA LT38 - L AOA,10.1 %,3.4 %,5030,1705,36.6 %,6.0 %,27.5 %,57.3 %,-3.3 %,-1.5 %,16,3,1.3,0.2,68.8 %,100.0 %,1.2,,314,562,0.6 %,1.1 %,3.3,4,1,0,5,3,1,0,4,3,1,0,2,3,2.2,,11,3,2.7,,1.5,4.1,-3582,0,-3.6 %,0.0 %,-3582,0,-3.6 %,0.0 %,-3366,0,-3.4 %,0.0 %,68.8 %,100.0 %,68.8 %,100.0 %,66.7 %,100.0 %,724,562,-588,0,62.5 %,100.0 %
AOK,3d RSI AOK LT14 - L AOK,-1.2 %,3.5 %,-617,1749,22.4 %,7.1 %,-5.5 %,49.0 %,-2.9 %,-0.5 %,11,6,0.9,0.5,54.5 %,100.0 %,0.6,,-56,288,-0.1 %,0.6 %,3.9,2,2,0,2,6,2,0,2,6,2,0,2,5,1.2,,6,6,0.7,,-0.5,5.1,-1890,0,-1.9 %,0.0 %,-1890,0,-1.9 %,0.0 %,-1799,0,-1.8 %,0.0 %,54.5 %,100.0 %,54.5 %,100.0 %,54.5 %,100.0 %,257,288,-432,0,50.0 %,100.0 %
AOM,10d RSI AOM LT36 - L AOM,-1.7 %,5.6 %,-867,2809,40.2 %,12.3 %,-4.3 %,45.7 %,-5.9 %,-0.8 %,21,7,1.8,0.6,47.6 %,100.0 %,0.9,,-41,392,-0.1 %,0.8 %,3.7,3.4,4,0,4,7,4,0,4,7,2,0,2,5,0.9,,10,7,0.8,,-0.4,6.2,-1751,0,-1.8 %,0.0 %,-1751,0,-1.8 %,0.0 %,-4565,0,-4.6 %,0.0 %,47.6 %,100.0 %,47.6 %,100.0 %,45.0 %,100.0 %,384,392,-428,0,44.4 %,100.0 %
AOR,4d RSI AOR LT18 - L AOR,-0.8 %,3.1 %,-380,1543,26.5 %,5.6 %,-2.9 %,55.5 %,-3.2 %,-1.4 %,10,4,0.8,0.3,40.0 %,100.0 %,1.3,,-38,381,-0.1 %,0.8 %,3.8,2.5,3,0,2,4,3,0,2,4,2,0,2,4,0.7,,4,4,0.9,,-0.2,9.3,-2193,0,-2.2 %,0.0 %,-2193,0,-2.2 %,0.0 %,-2193,0,-2.2 %,0.0 %,40.0 %,100.0 %,40.0 %,100.0 %,40.0 %,100.0 %,569,381,-442,0,42.9 %,100.0 %
ARGT,21d RSI ARGT LT37 - L ARGT,12.8 %,1.0 %,6384,484,50.0 %,5.6 %,25.5 %,17.4 %,-0.2 %,-7.1 %,7,3,0.6,0.2,85.7 %,66.7 %,9.9,0.6,912,193,1.8 %,0.4 %,2.4,3.7,1,1,6,1,1,1,5,1,0,1,3,1,6,2,6,2,59.7,1.3,3.3,0.2,-218,-2292,-0.2 %,-4.6 %,-218,-2292,-0.2 %,-4.6 %,0,-1275,0.0 %,-2.5 %,85.7 %,66.7 %,85.7 %,66.7 %,83.3 %,66.7 %,1082,1436,-109,-2292,100.0 %,50.0 %
ARKG,13d RSI ARKG LT27 - L ARKG,13.7 %,14.4 %,6839,7194,16.9 %,8.3 %,81.1 %,172.7 %,0.0 %,-13.9 %,2,4,0.2,0.3,100.0 %,75.0 %,,2.7,3420,1741,6.8 %,3.5 %,6,4.2,0,1,2,3,0,1,2,3,0,1,2,3,,3,2,3,,8.2,3.4,1.9,0,-967,0.0 %,-1.9 %,0,-967,0.0 %,-1.9 %,0,-967,0.0 %,-1.9 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,3420,2644,0,-967,100.0 %,75.0 %
ARKK,20d RSI ARKK LT34 - L ARKK,22.9 %,29.8 %,11462,14913,26.4 %,6.8 %,86.7 %,442.1 %,0.0 %,-10.1 %,4,5,0.3,0.4,75.0 %,100.0 %,1.7,,2865,2705,5.7 %,5.4 %,4.5,2.4,1,0,3,5,1,0,3,4,1,0,3,3,3,,3,5,5,,1.6,3.7,-5689,0,-5.7 %,0.0 %,-5689,0,-5.7 %,0.0 %,-5689,0,-5.7 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,4769,2705,-2844,0,75.0 %,100.0 %
ARKQ,5d RSI ARKQ LT15 - L ARKQ,11.1 %,17.9 %,5574,8971,10.0 %,5.6 %,111.9 %,323.0 %,0.0 %,-1.9 %,5,5,0.4,0.4,80.0 %,100.0 %,1.3,,1115,1687,2.2 %,3.4 %,3.6,1.8,1,0,4,5,1,0,4,5,1,0,3,5,4,,4,5,5.2,,1.4,3.9,-2679,0,-2.7 %,0.0 %,-2679,0,-2.7 %,0.0 %,-2679,0,-2.7 %,0.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,1728,1687,-1340,0,75.0 %,100.0 %
ARKW,12d RSI ARKW LT27 - L ARKW,-0.2 %,21.5 %,-97,10756,17.9 %,6.8 %,-1.1 %,318.9 %,0.0 %,-9.7 %,2,4,0.2,0.3,50.0 %,75.0 %,1,20.4,-49,2525,-0.1 %,5.0 %,6.5,3.2,1,1,1,2,1,1,1,2,1,0,1,3,1,3,1,3,1,61.1,0,2.9,-4146,-168,-4.1 %,-0.3 %,-4146,-168,-4.1 %,-0.3 %,-4146,0,-4.1 %,0.0 %,50.0 %,75.0 %,50.0 %,75.0 %,50.0 %,75.0 %,1976,3422,-2073,-168,50.0 %,100.0 %
ASHR,8d RSI ASHR LT26 - L ASHR,4.7 %,16.5 %,2349,8260,19.2 %,5.6 %,24.5 %,297.4 %,-6.4 %,-0.8 %,9,6,0.8,0.5,66.7 %,100.0 %,0.8,,261,1296,0.5 %,2.6 %,3.1,1.3,2,0,3,6,2,0,3,5,2,0,2,3,2,,6,6,1.6,,0.6,4.4,-4237,0,-4.2 %,0.0 %,-4237,0,-4.2 %,0.0 %,-4237,0,-4.2 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,1039,1296,-1295,0,57.1 %,100.0 %
BAB,3d RSI BAB LT10 - L BAB,3.6 %,2.2 %,1815,1126,16.7 %,8.7 %,21.7 %,25.8 %,-2.6 %,-1.9 %,7,6,0.6,0.5,85.7 %,83.3 %,0.4,,259,186,0.5 %,0.4 %,3.7,2.7,1,1,4,4,1,1,4,4,1,1,3,3,6,5,6,5,2.4,,0.9,3.7,-2599,0,-2.6 %,0.0 %,-2599,0,-2.6 %,0.0 %,-2599,0,-2.6 %,0.0 %,85.7 %,83.3 %,85.7 %,83.3 %,85.7 %,83.3 %,519,223,-1299,0,83.3 %,80.0 %
BAR,4d RSI BAR LT11 - L BAR,-1.0 %,3.1 %,-497,1539,20.5 %,5.2 %,-4.9 %,59.7 %,0.0 %,-2.5 %,2,4,0.2,0.3,50.0 %,75.0 %,0.5,2.6,-249,383,-0.5 %,0.8 %,3.5,2.2,1,1,1,2,1,1,1,2,1,1,1,2,1,3,1,3,0.5,7.7,-0.5,1.7,-1828,-229,-1.8 %,-0.5 %,-1828,-229,-1.8 %,-0.5 %,-1828,-229,-1.8 %,-0.5 %,50.0 %,75.0 %,50.0 %,75.0 %,50.0 %,75.0 %,417,586,-914,-229,50.0 %,75.0 %
BBHY,19d RSI BBHY LT39 - L BBHY,0.3 %,2.2 %,162,1111,43.2 %,6.3 %,0.8 %,35.0 %,-2.2 %,-1.0 %,18,5,1.5,0.4,61.1 %,80.0 %,0.7,2.6,9,221,0.0 %,0.4 %,3.3,2.2,2,1,5,3,3,0,5,4,1,1,3,2,1.6,4,11,4,1.1,10.4,0.1,2.6,-2164,-117,-2.2 %,-0.2 %,-964,0,-1.0 %,0.0 %,-1246,-117,-1.2 %,-0.2 %,61.1 %,80.0 %,61.1 %,80.0 %,56.2 %,100.0 %,245,305,-362,-117,66.7 %,75.0 %
BCI,20d RSI BCI LT39 - L BCI,2.9 %,2.8 %,1458,1394,36.0 %,5.6 %,8.1 %,50.2 %,-5.7 %,-1.6 %,8,3,0.7,0.2,75.0 %,100.0 %,0.5,,182,461,0.4 %,0.9 %,2.9,3.7,2,0,6,3,2,0,5,3,2,0,2,1,3,,6,3,1.4,,0.4,5.2,-6902,0,-6.9 %,0.0 %,-6902,0,-6.9 %,0.0 %,-4886,0,-4.9 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,71.4 %,100.0 %,818,461,-1726,0,50.0 %,100.0 %
BIV,6d RSI BIV LT16 - L BIV,0.3 %,1.8 %,170,887,9.5 %,5.2 %,3.6 %,34.4 %,-1.3 %,-0.5 %,5,4,0.4,0.3,60.0 %,100.0 %,0.8,,34,220,0.1 %,0.4 %,2.6,2.2,1,0,3,4,1,0,3,4,1,0,3,3,1.5,,3,4,1.2,,0.2,3.4,-1343,0,-1.3 %,0.0 %,-1343,0,-1.3 %,0.0 %,-1343,0,-1.3 %,0.0 %,60.0 %,100.0 %,60.0 %,100.0 %,60.0 %,100.0 %,309,220,-379,0,60.0 %,100.0 %
BIZD,5d RSI BIZD LT21 - L BIZD,-0.4 %,9.2 %,-181,4618,17.6 %,5.2 %,-2.1 %,179.1 %,-4.6 %,-0.9 %,7,4,0.6,0.3,57.1 %,100.0 %,0.7,,-26,1120,-0.1 %,2.2 %,4.9,2.2,2,0,3,4,2,0,3,4,2,0,3,3,1.3,,4,4,0.9,,-0.1,3.6,-4767,0,-4.8 %,0.0 %,-4767,0,-4.8 %,0.0 %,-4767,0,-4.8 %,0.0 %,57.1 %,100.0 %,57.1 %,100.0 %,57.1 %,100.0 %,716,1120,-1015,0,57.1 %,100.0 %
BKLN,20d RSI BKLN LT43 - L BKLN,-3.3 %,0.9 %,-1672,437,43.4 %,9.5 %,-7.7 %,9.2 %,-3.3 %,-0.9 %,10,4,0.8,0.3,50.0 %,75.0 %,0.5,1.9,-167,109,-0.3 %,0.2 %,6,5,2,1,2,2,2,1,2,2,5,0,0,3,1,3,5,3,0.5,5.7,-0.9,1.8,-1239,-93,-1.2 %,-0.2 %,-1239,-93,-1.2 %,-0.2 %,-3345,0,-3.3 %,0.0 %,50.0 %,75.0 %,50.0 %,75.0 %,50.0 %,75.0 %,322,176,-656,-93,0.0 %,100.0 %
BLV,6d RSI BLV LT18 - L BLV,6.2 %,1.5 %,3097,768,18.1 %,5.2 %,34.2 %,29.8 %,-2.4 %,-3.7 %,8,3,0.7,0.2,62.5 %,100.0 %,2,,387,255,0.8 %,0.5 %,3.6,3.3,2,0,4,3,2,0,4,3,2,0,3,2,1.7,,5,3,3.4,,1.6,11.9,-2445,0,-2.4 %,0.0 %,-2445,0,-2.4 %,0.0 %,-2445,0,-2.4 %,0.0 %,62.5 %,100.0 %,62.5 %,100.0 %,62.5 %,100.0 %,879,255,-433,0,66.7 %,100.0 %
BND,4d RSI BND LT12 - L BND,2.0 %,0.8 %,990,402,13.1 %,6.3 %,15.1 %,12.7 %,-0.2 %,-1.2 %,8,5,0.7,0.4,62.5 %,80.0 %,2.7,15,124,80,0.2 %,0.2 %,2.1,2.2,1,1,3,2,1,1,3,2,1,0,5,4,1.7,4,5,4,4.5,59.9,1.9,2.9,-260,-7,-0.3 %,-0.0 %,-260,-7,-0.3 %,-0.0 %,-260,0,-0.3 %,0.0 %,62.5 %,80.0 %,62.5 %,80.0 %,62.5 %,80.0 %,254,102,-94,-7,83.3 %,100.0 %
BNDX,6d RSI BNDX LT20 - L BNDX,-1.4 %,0.4 %,-714,209,22.9 %,9.1 %,-6.2 %,4.6 %,-2.5 %,-1.5 %,14,5,1.2,0.4,50.0 %,80.0 %,0.7,0.4,-51,42,-0.1 %,0.1 %,3.1,3,3,1,5,3,3,1,4,3,3,1,2,2,1,4,7,4,0.7,1.6,-0.6,0.5,-2036,-324,-2.0 %,-0.7 %,-2036,-324,-2.0 %,-0.7 %,-2036,-324,-2.0 %,-0.7 %,50.0 %,80.0 %,50.0 %,80.0 %,46.2 %,80.0 %,192,133,-294,-324,33.3 %,75.0 %
BNO,3d RSI BNO LT12 - L BNO,11.6 %,22.7 %,5776,11338,17.3 %,9.5 %,66.7 %,238.1 %,-1.4 %,-6.1 %,5,6,0.4,0.5,80.0 %,100.0 %,2.1,,1155,1745,2.3 %,3.5 %,3.2,3,1,0,4,6,1,0,4,6,1,0,3,5,4,,4,6,8.4,,2.1,3.7,-1564,0,-1.6 %,0.0 %,-1564,0,-1.6 %,0.0 %,-1564,0,-1.6 %,0.0 %,80.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,1639,1745,-782,0,75.0 %,100.0 %
BOIL,16d RSI BOIL LT34 - L BOIL,41.4 %,22.8 %,20720,11381,20.2 %,6.0 %,205.5 %,382.4 %,-15.4 %,-12.2 %,6,2,0.5,0.2,66.7 %,100.0 %,1.5,,3453,5421,6.9 %,10.8 %,2.8,6.5,2,0,2,2,2,0,2,2,1,0,2,1,2,,4,2,3.1,,1.2,4.9,-19773,0,-19.8 %,0.0 %,-19773,0,-19.8 %,0.0 %,-3395,0,-3.4 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,7652,5421,-4943,0,75.0 %,100.0 %
BOND,4d RSI BOND LT12 - L BOND,-3.1 %,1.0 %,-1545,491,25.2 %,5.2 %,-12.2 %,19.0 %,-2.5 %,-1.0 %,8,4,0.7,0.3,50.0 %,100.0 %,0.2,,-193,122,-0.4 %,0.2 %,5.5,2.2,2,0,4,4,2,0,4,4,2,0,4,3,1,,4,4,0.2,,-1.4,3.2,-2498,0,-2.5 %,0.0 %,-2498,0,-2.5 %,0.0 %,-2498,0,-2.5 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,118,122,-504,0,50.0 %,100.0 %
BOTZ,7d RSI BOTZ LT23 - L BOTZ,-10.6 %,11.8 %,-5294,5919,24.9 %,6.3 %,-42.6 %,186.4 %,-11.2 %,-3.1 %,8,5,0.7,0.4,37.5 %,100.0 %,0.4,,-662,1134,-1.3 %,2.3 %,4.5,2.2,4,0,2,5,4,0,2,5,2,0,2,4,0.6,,3,5,0.3,,-1.1,5,-11870,0,-11.9 %,0.0 %,-11870,0,-11.9 %,0.0 %,-11870,0,-11.9 %,0.0 %,37.5 %,100.0 %,37.5 %,100.0 %,37.5 %,100.0 %,622,1134,-1432,0,40.0 %,100.0 %
BSCQ,7d RSI BSCQ LT21 - L BSCQ,-0.1 %,1.8 %,-37,916,22.1 %,7.1 %,-0.3 %,25.7 %,-1.0 %,-0.2 %,7,5,0.6,0.4,57.1 %,100.0 %,0.7,,-5,182,-0.0 %,0.4 %,4.9,2.6,1,0,3,5,2,0,3,5,1,0,3,2,1.3,,4,5,0.9,,-0.1,4.6,-1028,0,-1.0 %,0.0 %,-335,0,-0.3 %,0.0 %,-1028,0,-1.0 %,0.0 %,57.1 %,100.0 %,57.1 %,100.0 %,50.0 %,100.0 %,175,182,-246,0,60.0 %,100.0 %
BSCR,5d RSI BSCR LT15 - L BSCR,1.4 %,2.2 %,721,1099,20.6 %,5.2 %,7.0 %,42.6 %,-0.5 %,-0.1 %,7,4,0.6,0.3,57.1 %,100.0 %,2.6,,103,273,0.2 %,0.6 %,4.4,2.2,2,0,4,4,2,0,4,4,1,0,4,2,1.3,,4,4,3.4,,1.4,4.9,-111,0,-0.1 %,0.0 %,-111,0,-0.1 %,0.0 %,-488,0,-0.5 %,0.0 %,57.1 %,100.0 %,57.1 %,100.0 %,57.1 %,100.0 %,255,273,-100,0,66.7 %,100.0 %
BSV,4d RSI BSV LT14 - L BSV,-1.3 %,0.9 %,-649,474,21.6 %,14.3 %,-6.0 %,6.6 %,-1.7 %,-0.5 %,7,8,0.6,0.7,42.9 %,87.5 %,0.4,0.8,-93,59,-0.2 %,0.1 %,4.9,3.5,2,1,2,6,2,1,2,6,3,1,2,4,0.8,7,3,7,0.3,5.9,-1.3,2.2,-1294,-97,-1.3 %,-0.2 %,-1294,-97,-1.3 %,-0.2 %,-1737,-21,-1.7 %,-0.0 %,42.9 %,87.5 %,42.9 %,87.5 %,42.9 %,87.5 %,88,81,-228,-97,40.0 %,83.3 %
BTAL,4d RSI BTAL LT11 - L BTAL,3.5 %,0.4 %,1740,194,42.9 %,15.5 %,8.1 %,2.5 %,0.0 %,-5.3 %,2,4,0.2,0.3,100.0 %,50.0 %,,1.2,870,54,1.7 %,0.1 %,2,8.8,0,1,2,1,0,1,2,1,0,1,2,1,,1,2,2,,1.2,3.1,0.1,0,-786,0.0 %,-1.6 %,0,-786,0.0 %,-1.6 %,0,-786,0.0 %,-1.6 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,870,785,0,-678,100.0 %,50.0 %
BWX,4d RSI BWX LT11 - L BWX,-2.0 %,3.9 %,-987,1931,25.2 %,8.3 %,-7.8 %,46.4 %,-2.5 %,-0.7 %,7,7,0.6,0.6,28.6 %,100.0 %,1.1,,-141,272,-0.3 %,0.5 %,4,2,4,0,2,7,4,0,2,7,3,0,2,5,0.4,,2,7,0.4,,-0.9,5.3,-2546,0,-2.5 %,0.0 %,-2546,0,-2.5 %,0.0 %,-2546,0,-2.5 %,0.0 %,28.6 %,100.0 %,28.6 %,100.0 %,28.6 %,100.0 %,366,272,-344,0,33.3 %,100.0 %
BWZ,13d RSI BWZ LT29 - L BWZ,0.2 %,2.4 %,124,1187,34.2 %,6.8 %,0.7 %,35.2 %,-2.1 %,-0.6 %,11,6,0.9,0.5,45.5 %,83.3 %,1.3,4.8,11,196,0.0 %,0.4 %,3.5,1.8,3,1,3,5,3,1,3,5,2,1,2,5,0.8,5,5,5,1.1,24.2,0.1,3.7,-418,-51,-0.4 %,-0.1 %,-418,-51,-0.4 %,-0.1 %,-418,-51,-0.4 %,-0.1 %,45.5 %,83.3 %,45.5 %,83.3 %,45.5 %,83.3 %,310,245,-238,-51,50.0 %,83.3 %
CALF,10d RSI CALF LT34 - L CALF,17.0 %,12.2 %,8505,6082,19.9 %,5.6 %,85.4 %,219.0 %,-2.4 %,-2.4 %,12,5,1,0.4,75.0 %,100.0 %,2.2,,709,1162,1.4 %,2.3 %,2.8,1.8,2,0,7,5,2,0,6,5,1,0,4,3,3,,9,5,6.6,,2.6,8.8,-2763,0,-2.8 %,0.0 %,-2763,0,-2.8 %,0.0 %,-2474,0,-2.5 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,72.7 %,100.0 %,1113,1162,-503,0,85.7 %,100.0 %
CEF,10d RSI CEF LT26 - L CEF,-2.8 %,6.8 %,-1397,3373,26.7 %,6.0 %,-10.5 %,113.3 %,-4.4 %,-1.5 %,5,5,0.4,0.4,40.0 %,100.0 %,0.6,,-279,660,-0.6 %,1.3 %,3.6,2,2,0,1,5,2,0,1,4,3,0,0,4,0.7,,2,5,0.4,,-0.8,2.9,-4461,0,-4.5 %,0.0 %,-4461,0,-4.5 %,0.0 %,-2793,0,-2.8 %,0.0 %,40.0 %,100.0 %,40.0 %,100.0 %,40.0 %,100.0 %,433,660,-754,0,0.0 %,100.0 %
CHAU,8d RSI CHAU LT27 - L CHAU,6.5 %,35.0 %,3265,17493,22.6 %,6.0 %,28.9 %,587.8 %,-11.3 %,-1.4 %,11,6,0.9,0.5,63.6 %,100.0 %,0.8,,297,2582,0.6 %,5.2 %,3,1.5,3,0,4,6,3,0,4,5,3,0,2,3,1.8,,7,6,1.4,,0.4,4.5,-10176,0,-10.2 %,0.0 %,-10176,0,-10.2 %,0.0 %,-10176,0,-10.2 %,0.0 %,63.6 %,100.0 %,63.6 %,100.0 %,63.6 %,100.0 %,1676,2582,-2117,0,50.0 %,100.0 %
