,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2021 OOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (406),Condition (406),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
AAXJ,10d RSI AAXJ LT30 - L AAXJ,10.0 %,26.5 %,5008,13193,16.2 %,5.5 %,61.6 %,476.8 %,0.0 %,-3.7 %,7,6,0.6,0.5,100.0 %,100.0 %,,,715,2011,1.4 %,4.0 %,2.7,1.3,0,0,7,6,0,0,7,5,0,0,5,3,,,7,6,,,4.9,4.1,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,715,2011,0,0,100.0 %,100.0 %
ACWV,9d RSI ACWV LT26 - L ACWV,-0.3 %,18.6 %,-170,9283,11.8 %,5.9 %,-2.9 %,313.1 %,-0.9 %,-7.4 %,3,5,0.2,0.4,66.7 %,80.0 %,0.3,2.3,-57,1769,-0.1 %,3.5 %,7,2,1,1,1,4,1,1,1,4,1,0,1,2,2,4,2,4,0.6,9,-0.4,2.2,-900,-1101,-0.9 %,-2.2 %,-900,-1101,-0.9 %,-2.2 %,-900,0,-0.9 %,0.0 %,66.7 %,80.0 %,66.7 %,80.0 %,66.7 %,80.0 %,140,2486,-450,-1101,66.7 %,100.0 %
AGG,15d RSI AGG LT62 - L AGG,1.2 %,0.2 %,615,115,95.0 %,73.1 %,1.3 %,0.3 %,-2.7 %,-8.0 %,59,39,4.9,3.2,62.7 %,74.4 %,0.7,0.4,10,4,0.0 %,0.0 %,3.1,3.7,6,3,11,12,6,3,9,13,3,3,4,3,1.7,2.9,37,29,1.2,1.1,0.5,0.1,-2688,-352,-2.7 %,-0.7 %,-2566,-352,-2.6 %,-0.7 %,-2692,-490,-2.7 %,-1.0 %,62.7 %,74.4 %,62.7 %,74.4 %,54.5 %,73.5 %,102,110,-144,-302,50.0 %,63.6 %
AIA,15d RSI AIA LT35 - L AIA,10.4 %,27.7 %,5196,13804,16.9 %,5.1 %,61.6 %,537.3 %,-2.7 %,-2.2 %,8,6,0.7,0.5,87.5 %,100.0 %,0.7,,650,2092,1.3 %,4.2 %,2.4,1.2,1,0,4,6,1,0,4,4,1,0,3,2,7,,7,6,4.7,,2,4.8,-2827,0,-2.8 %,0.0 %,-2827,0,-2.8 %,0.0 %,-2827,0,-2.8 %,0.0 %,87.5 %,100.0 %,87.5 %,100.0 %,87.5 %,100.0 %,944,2092,-1414,0,83.3 %,100.0 %
ANGL,3d RSI ANGL LT10 - L ANGL,1.2 %,8.6 %,617,4277,12.6 %,5.9 %,9.8 %,144.3 %,-1.0 %,-5.7 %,5,4,0.4,0.3,60.0 %,75.0 %,1.5,7.9,123,1054,0.2 %,2.1 %,3.8,2.8,2,1,3,3,2,1,3,3,2,0,2,2,1.5,3,3,3,2.3,23.7,0.9,1.8,-971,-186,-1.0 %,-0.4 %,-971,-186,-1.0 %,-0.4 %,-971,0,-1.0 %,0.0 %,60.0 %,75.0 %,60.0 %,75.0 %,60.0 %,75.0 %,367,1467,-243,-186,50.0 %,100.0 %
AOA,9d RSI AOA LT26 - L AOA,0.2 %,12.6 %,123,6267,100.0 %,5.5 %,0.2 %,226.5 %,0.0 %,-5.8 %,1,4,0.1,0.3,100.0 %,75.0 %,,3.8,123,1521,0.2 %,3.0 %,6,2.5,0,1,1,3,0,1,1,2,0,0,1,1,,3,1,3,,11.3,0,2.3,0,-588,0.0 %,-1.2 %,0,-588,0.0 %,-1.2 %,0,0,0.0 %,0.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,66.7 %,123,2223,0,-588,100.0 %,100.0 %
AOR,3d RSI AOR LT18 - L AOR,4.8 %,11.1 %,2420,5545,21.3 %,11.9 %,22.8 %,93.5 %,-1.2 %,-5.9 %,11,10,0.9,0.8,72.7 %,90.0 %,1.5,0.6,220,536,0.4 %,1.1 %,3.5,2,2,1,6,7,2,1,6,5,2,0,5,6,2.7,9,8,9,4.1,5.7,2.1,2.4,-689,-1146,-0.7 %,-2.3 %,-689,-1146,-0.7 %,-2.3 %,-689,0,-0.7 %,0.0 %,72.7 %,90.0 %,72.7 %,90.0 %,72.7 %,87.5 %,400,723,-261,-1146,66.7 %,100.0 %
ARKK,3d RSI ARKK LT11 - L ARKK,16.5 %,0.9 %,8256,459,26.5 %,7.5 %,62.4 %,12.2 %,-6.2 %,-9.9 %,10,4,0.8,0.3,80.0 %,50.0 %,0.6,1.2,826,143,1.7 %,0.3 %,4.3,3.8,1,1,5,1,1,1,5,1,1,1,4,1,4,1,8,2,2.2,1.2,1.1,0.2,-7724,-2448,-7.7 %,-4.9 %,-7724,-2448,-7.7 %,-4.9 %,-7724,-2448,-7.7 %,-4.9 %,80.0 %,50.0 %,80.0 %,50.0 %,80.0 %,50.0 %,1884,1515,-3408,-1229,71.4 %,50.0 %
ARKQ,3d RSI ARKQ LT10 - L ARKQ,16.9 %,4.5 %,8459,2228,21.8 %,5.1 %,77.5 %,86.7 %,-3.3 %,-10.4 %,10,3,0.8,0.2,70.0 %,66.7 %,1.7,1.5,846,753,1.7 %,1.5 %,3.2,3.3,1,1,4,2,1,1,4,2,1,1,5,2,2.3,2,7,2,4,3.1,1.9,1,-4002,-1088,-4.0 %,-2.2 %,-4002,-1088,-4.0 %,-2.2 %,-4002,-1088,-4.0 %,-2.2 %,70.0 %,66.7 %,70.0 %,66.7 %,70.0 %,66.7 %,1606,1673,-928,-1088,75.0 %,66.7 %
