,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2021 OOS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASHR,20d RSI ASHR LT44 - L ASHR,12.1 %,23.5 %,6025,11701,35.0 %,9.5 %,34.4 %,246.7 %,-3.4 %,-5.9 %,19,7,1.6,0.6,73.7 %,100.0 %,0.8,,317,1536,0.6 %,3.1 %,1.9,2.4,2,0,8,7,3,0,7,6,1,0,5,3,2.8,,14,7,2.3,,1.6,5.2,-1975,0,-2.0 %,0.0 %,-1081,0,-1.1 %,0.0 %,-1552,0,-1.6 %,0.0 %,73.7 %,100.0 %,73.7 %,100.0 %,66.7 %,100.0 %,755,1536,-909,0,85.7 %,100.0 %
BAR,16d RSI BAR LT36 - L BAR,5.1 %,11.8 %,2538,5856,19.3 %,5.5 %,26.3 %,211.7 %,-0.8 %,-2.1 %,8,4,0.7,0.3,62.5 %,100.0 %,2.6,,317,1421,0.6 %,2.8 %,3.1,2.5,2,0,2,4,2,0,2,4,1,0,3,3,1.7,,5,4,4.4,,1.9,2.6,-797,0,-0.8 %,0.0 %,-797,0,-0.8 %,0.0 %,-457,0,-0.5 %,0.0 %,62.5 %,100.0 %,62.5 %,100.0 %,62.5 %,100.0 %,657,1421,-249,0,80.0 %,100.0 %
BBHY,5d RSI BBHY LT11 - L BBHY,0.9 %,11.8 %,431,5868,13.9 %,5.5 %,6.2 %,212.1 %,0.0 %,-2.0 %,2,5,0.2,0.4,100.0 %,100.0 %,,,215,1136,0.4 %,2.3 %,1.5,1.8,0,0,2,5,0,0,2,5,0,0,2,3,,,2,5,,,5.1,2.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,215,1136,0,0,100.0 %,100.0 %
BCI,5d RSI BCI LT10 - L BCI,1.8 %,4.3 %,886,2141,100.0 %,5.5 %,1.8 %,77.4 %,0.0 %,-4.4 %,1,3,0.1,0.2,100.0 %,66.7 %,,1.2,886,739,1.8 %,1.5 %,4,3.7,0,1,1,2,0,1,1,2,0,1,1,1,,2,1,2,,2.4,0,0.7,0,-1586,0.0 %,-3.2 %,0,-1586,0.0 %,-3.2 %,0,-1586,0.0 %,-3.2 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,886,1902,0,-1586,100.0 %,50.0 %
BIL,3d RSI BIL LT10 - L BIL,-0.0 %,0.0 %,-19,13,100.0 %,14.6 %,-0.0 %,0.2 %,0.0 %,-0.0 %,1,1,0.1,0.1,0.0 %,100.0 %,0,,-19,13,-0.0 %,0.0 %,133,11,1,0,0,1,1,0,0,1,1,0,0,1,0,,0,1,0,,0,0,-38,0,-0.0 %,0.0 %,-38,0,-0.0 %,0.0 %,-38,0,-0.0 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,13,-19,0,0.0 %,100.0 %
BIV,17d RSI BIV LT38 - L BIV,-1.2 %,0.2 %,-581,83,23.8 %,5.1 %,-4.9 %,3.2 %,-2.6 %,-5.1 %,10,3,0.8,0.2,50.0 %,66.7 %,0.6,0.6,-58,29,-0.1 %,0.1 %,4.4,3.3,3,1,3,2,3,1,3,2,1,1,1,2,1,2,5,2,0.6,1.2,-0.6,0.1,-2610,-438,-2.6 %,-0.9 %,-2610,-438,-2.6 %,-0.9 %,-2610,-438,-2.6 %,-0.9 %,50.0 %,66.7 %,50.0 %,66.7 %,50.0 %,66.7 %,178,263,-294,-438,60.0 %,66.7 %
BLV,10d RSI BLV LT28 - L BLV,2.2 %,10.5 %,1101,5248,14.0 %,5.1 %,15.7 %,204.3 %,-1.3 %,-1.4 %,6,4,0.5,0.3,66.7 %,100.0 %,1.4,,183,1288,0.4 %,2.6 %,3.5,2.2,2,0,3,4,2,0,3,4,1,0,2,3,2,,4,4,2.7,,1.1,1.8,-1269,0,-1.3 %,0.0 %,-1269,0,-1.3 %,0.0 %,-1269,0,-1.3 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,434,1288,-317,0,75.0 %,100.0 %
BND,14d RSI BND LT39 - L BND,-0.0 %,8.9 %,-16,4422,28.9 %,9.5 %,-0.1 %,93.2 %,-2.0 %,-5.0 %,13,7,1.1,0.6,53.8 %,100.0 %,0.8,,-1,619,-0.0 %,1.2 %,3.9,2.4,4,0,3,7,4,0,3,6,2,0,4,4,1.2,,7,7,1,,0,1.9,-1970,0,-2.0 %,0.0 %,-1970,0,-2.0 %,0.0 %,-1849,0,-1.8 %,0.0 %,53.8 %,100.0 %,53.8 %,100.0 %,53.8 %,100.0 %,162,619,-191,0,71.4 %,100.0 %
BNDX,3d RSI BNDX LT11 - L BNDX,-0.1 %,0.9 %,-34,451,14.2 %,5.9 %,-0.5 %,15.2 %,-0.7 %,-4.2 %,7,4,0.6,0.3,71.4 %,100.0 %,0.4,,-5,113,-0.0 %,0.2 %,2.9,2.8,1,0,2,4,1,0,2,4,1,0,2,4,2.5,,5,4,0.9,,-0.1,7.7,-647,0,-0.6 %,0.0 %,-647,0,-0.6 %,0.0 %,-606,0,-0.6 %,0.0 %,71.4 %,100.0 %,71.4 %,100.0 %,71.4 %,100.0 %,69,113,-188,0,66.7 %,100.0 %
BOND,18d RSI BOND LT48 - L BOND,-0.5 %,3.6 %,-273,1774,41.2 %,15.8 %,-1.3 %,22.4 %,-1.8 %,-6.8 %,22,10,1.8,0.8,54.5 %,90.0 %,0.7,0.4,-12,176,-0.0 %,0.3 %,3.7,3,3,1,4,9,3,0,4,8,2,0,2,5,1.2,9,12,9,0.8,3.9,-0.3,1.8,-879,-603,-0.9 %,-1.2 %,-959,0,-1.0 %,0.0 %,-1398,0,-1.4 %,0.0 %,54.5 %,90.0 %,54.5 %,90.0 %,52.6 %,100.0 %,117,263,-168,-603,62.5 %,100.0 %
BOTZ,5d RSI BOTZ LT24 - L BOTZ,18.3 %,25.6 %,9127,12732,18.8 %,9.5 %,96.9 %,268.4 %,-3.4 %,-8.5 %,11,7,0.9,0.6,72.7 %,85.7 %,2.1,1.6,830,1679,1.7 %,3.4 %,2.7,2.4,3,1,7,4,3,1,7,3,2,0,4,5,2.7,6,8,6,5.5,9.7,2.4,2.7,-4036,-1347,-4.0 %,-2.7 %,-4036,-1347,-4.0 %,-2.7 %,-3945,0,-3.9 %,0.0 %,72.7 %,85.7 %,72.7 %,85.7 %,72.7 %,83.3 %,1393,2183,-673,-1347,71.4 %,100.0 %
BSV,20d RSI BSV LT51 - L BSV,-0.5 %,1.1 %,-241,543,64.3 %,19.0 %,-0.8 %,5.7 %,-0.6 %,-3.4 %,28,8,2.3,0.7,60.7 %,87.5 %,0.4,0.4,-9,68,-0.0 %,0.1 %,4.7,5,4,1,9,7,3,1,8,7,1,0,3,5,1.5,7,17,7,0.7,2.6,-0.6,0.8,-580,-337,-0.6 %,-0.7 %,-553,-337,-0.6 %,-0.7 %,-539,0,-0.5 %,0.0 %,60.7 %,87.5 %,60.7 %,87.5 %,60.0 %,87.5 %,30,126,-69,-337,63.6 %,100.0 %
BTAL,5d RSI BTAL LT17 - L BTAL,-2.2 %,4.5 %,-1076,2253,20.9 %,5.9 %,-10.3 %,76.0 %,-3.7 %,-8.3 %,4,5,0.3,0.4,50.0 %,60.0 %,0.6,1.4,-269,463,-0.5 %,0.9 %,9,2,1,2,1,2,1,2,1,2,1,2,1,1,1,1.5,2,3,0.6,2.1,-0.5,0.8,-3721,-2026,-3.7 %,-4.0 %,-3721,-2026,-3.7 %,-4.0 %,-3721,-2026,-3.7 %,-4.0 %,50.0 %,60.0 %,50.0 %,60.0 %,50.0 %,60.0 %,785,1447,-1323,-1013,50.0 %,50.0 %
BWX,19d RSI BWX LT44 - L BWX,0.4 %,0.9 %,224,437,49.6 %,7.1 %,0.9 %,12.3 %,-2.5 %,-8.1 %,25,4,2.1,0.3,52.0 %,75.0 %,1,0.9,9,110,0.0 %,0.2 %,3.7,3.5,3,1,3,2,3,1,3,2,2,1,2,2,1.1,3,13,3,1.1,2.6,0.1,0.9,-2518,-275,-2.5 %,-0.6 %,-2518,-275,-2.5 %,-0.6 %,-373,-275,-0.4 %,-0.6 %,52.0 %,75.0 %,52.0 %,75.0 %,50.0 %,75.0 %,263,238,-266,-275,55.6 %,75.0 %
BWZ,21d RSI BWZ LT34 - L BWZ,2.1 %,0.5 %,1055,253,10.5 %,5.1 %,20.0 %,9.8 %,0.0 %,-4.1 %,6,3,0.5,0.2,100.0 %,66.7 %,,2.9,176,85,0.4 %,0.2 %,2,3.3,0,1,6,2,0,1,6,2,0,0,5,2,,2,6,2,,5.7,5.6,1.1,0,-54,0.0 %,-0.1 %,0,-54,0.0 %,-0.1 %,0,0,0.0 %,0.0 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,176,154,0,-54,100.0 %,100.0 %
CEF,5d RSI CEF LT12 - L CEF,-0.3 %,0.6 %,-130,307,9.8 %,5.1 %,-2.7 %,11.9 %,-1.9 %,-11.6 %,3,3,0.2,0.2,66.7 %,66.7 %,0.4,0.6,-43,136,-0.1 %,0.3 %,3,3.3,1,1,2,2,1,1,2,2,1,1,2,2,2,2,2,2,0.9,1.2,-0.1,0.1,-1935,-2369,-1.9 %,-4.7 %,-1935,-2369,-1.9 %,-4.7 %,-1935,-2369,-1.9 %,-4.7 %,66.7 %,66.7 %,66.7 %,66.7 %,66.7 %,66.7 %,419,1388,-968,-2369,66.7 %,66.7 %
CHAU,19d RSI CHAU LT42 - L CHAU,12.0 %,46.4 %,6003,23102,27.8 %,9.1 %,43.2 %,508.2 %,-3.8 %,-9.8 %,14,7,1.2,0.6,64.3 %,100.0 %,1.1,,429,2815,0.9 %,5.6 %,1.9,2.3,2,0,4,7,3,0,4,6,1,0,2,3,1.8,,9,7,1.9,,1,5.5,-3790,0,-3.8 %,0.0 %,-1474,0,-1.5 %,0.0 %,-669,0,-0.7 %,0.0 %,64.3 %,100.0 %,64.3 %,100.0 %,54.5 %,100.0 %,1409,2815,-1336,0,60.0 %,100.0 %
CMF,5d RSI CMF LT15 - L CMF,-1.3 %,2.1 %,-636,1025,16.6 %,10.7 %,-7.7 %,19.2 %,-0.2 %,-10.3 %,5,4,0.4,0.3,40.0 %,100.0 %,0.2,,-127,256,-0.3 %,0.5 %,4.4,5.8,2,0,2,4,2,0,2,4,2,0,2,3,0.7,,2,4,0.1,,-1.1,1.6,-215,0,-0.2 %,0.0 %,-215,0,-0.2 %,0.0 %,-215,0,-0.2 %,0.0 %,40.0 %,100.0 %,40.0 %,100.0 %,40.0 %,100.0 %,55,256,-249,0,40.0 %,100.0 %
COPX,7d RSI COPX LT18 - L COPX,3.0 %,22.1 %,1516,11016,100.0 %,5.5 %,3.0 %,398.2 %,0.0 %,-4.6 %,1,4,0.1,0.3,100.0 %,100.0 %,,,1516,2593,3.0 %,5.2 %,2,2.5,0,0,1,4,0,0,1,3,0,0,1,2,,,1,4,,,0,2.8,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1516,2593,0,0,100.0 %,100.0 %
CORN,8d RSI CORN LT24 - L CORN,7.9 %,9.8 %,3951,4868,5.0 %,6.7 %,156.7 %,144.9 %,0.0 %,-1.6 %,2,6,0.2,0.5,100.0 %,100.0 %,,,1975,784,4.0 %,1.6 %,2,1.8,0,0,2,6,0,0,2,6,0,0,2,3,,,2,6,,,1.8,6.8,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1975,784,0,0,100.0 %,100.0 %
CPER,19d RSI CPER LT37 - L CPER,3.3 %,1.0 %,1640,516,12.8 %,12.7 %,25.7 %,8.2 %,0.0 %,-13.7 %,2,9,0.2,0.8,100.0 %,77.8 %,,0.3,820,83,1.6 %,0.2 %,2,2.6,0,1,2,4,0,1,2,3,0,2,2,1,,3.5,2,7,,1.2,3.3,0.2,0,-3954,0.0 %,-7.9 %,0,-3954,0.0 %,-7.9 %,0,-760,0.0 %,-1.5 %,100.0 %,77.8 %,100.0 %,77.8 %,100.0 %,71.4 %,820,816,0,-2483,100.0 %,33.3 %
CQQQ,4d RSI CQQQ LT20 - L CQQQ,-3.1 %,12.7 %,-1571,6331,25.6 %,6.7 %,-12.3 %,188.4 %,-6.3 %,-6.8 %,12,6,1,0.5,58.3 %,66.7 %,0.6,3.1,-131,1024,-0.3 %,2.0 %,3.6,1.8,2,1,3,4,2,1,3,3,2,1,2,2,1.4,2,7,4,0.8,6.2,-0.4,1.9,-4616,-1140,-4.6 %,-2.3 %,-4616,-1140,-4.6 %,-2.3 %,-5878,-1140,-5.9 %,-2.3 %,58.3 %,66.7 %,58.3 %,66.7 %,58.3 %,60.0 %,795,1832,-1427,-593,42.9 %,66.7 %
CXSE,20d RSI CXSE LT44 - L CXSE,-3.5 %,28.3 %,-1747,14082,54.2 %,6.7 %,-6.5 %,419.1 %,-11.5 %,-2.7 %,30,7,2.5,0.6,63.3 %,100.0 %,0.5,,-58,1818,-0.1 %,3.6 %,2.9,1.4,2,0,4,7,2,0,3,6,2,0,2,4,1.7,,19,7,0.9,,-0.2,5.4,-7423,0,-7.4 %,0.0 %,-6861,0,-6.9 %,0.0 %,-9613,0,-9.6 %,0.0 %,63.3 %,100.0 %,63.3 %,100.0 %,60.0 %,100.0 %,725,1818,-1412,0,55.6 %,100.0 %
DBEF,10d RSI DBEF LT26 - L DBEF,1.2 %,23.1 %,619,11531,100.0 %,6.7 %,1.2 %,343.2 %,0.0 %,-6.7 %,1,6,0.1,0.5,100.0 %,83.3 %,,1.6,619,1797,1.2 %,3.6 %,6,1.8,0,1,1,5,0,1,1,3,0,0,1,2,,5,1,5,,7.9,0,2.5,0,-1568,0.0 %,-3.1 %,0,-59,0.0 %,-0.1 %,0,0,0.0 %,0.0 %,100.0 %,83.3 %,100.0 %,83.3 %,100.0 %,75.0 %,619,2470,0,-1568,100.0 %,100.0 %
DEM,8d RSI DEM LT22 - L DEM,1.2 %,17.0 %,598,8482,100.0 %,5.5 %,1.2 %,306.6 %,0.0 %,-4.0 %,1,6,0.1,0.5,100.0 %,100.0 %,,,598,1338,1.2 %,2.7 %,2,1.3,0,0,1,6,0,0,1,5,0,0,1,4,,,1,6,,,0,3.2,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,598,1338,0,0,100.0 %,100.0 %
DGRO,3d RSI DGRO LT19 - L DGRO,6.4 %,39.2 %,3223,19519,16.1 %,18.2 %,40.1 %,214.7 %,-1.2 %,-11.7 %,8,12,0.7,1,75.0 %,75.0 %,1.3,2.3,403,1439,0.8 %,2.9 %,3.5,2.8,1,2,3,7,1,2,3,6,1,1,3,5,3,3,6,9,4,6.8,1.8,2.4,-1323,-541,-1.3 %,-1.1 %,-1323,-541,-1.3 %,-1.1 %,-1323,-440,-1.3 %,-0.9 %,75.0 %,75.0 %,75.0 %,75.0 %,75.0 %,72.7 %,714,2250,-531,-995,75.0 %,85.7 %
DGRW,3d RSI DGRW LT15 - L DGRW,-1.2 %,11.9 %,-584,5930,17.7 %,10.7 %,-6.6 %,111.1 %,-1.6 %,-11.2 %,3,8,0.2,0.7,33.3 %,75.0 %,0.7,0.9,-195,740,-0.4 %,1.5 %,6.3,2.4,2,1,1,4,2,1,1,4,2,1,1,5,0.5,3,1,6,0.4,2.8,-0.7,1.1,-1806,-2028,-1.8 %,-4.1 %,-1806,-2028,-1.8 %,-4.1 %,-1806,-1188,-1.8 %,-2.4 %,33.3 %,75.0 %,33.3 %,75.0 %,33.3 %,75.0 %,319,1523,-452,-1608,33.3 %,83.3 %
DGS,8d RSI DGS LT21 - L DGS,3.1 %,16.4 %,1563,8153,100.0 %,6.3 %,3.1 %,257.8 %,0.0 %,-6.2 %,1,5,0.1,0.4,100.0 %,80.0 %,,,1563,1548,3.1 %,3.1 %,7,2.2,0,1,1,3,0,1,1,2,0,0,1,2,,4,1,4,,,0,3.6,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,75.0 %,1563,1935,0,0,100.0 %,100.0 %
DIA,10d RSI DIA LT27 - L DIA,6.4 %,27.7 %,3223,13806,9.0 %,5.9 %,71.5 %,465.7 %,0.0 %,-8.8 %,3,5,0.2,0.4,100.0 %,80.0 %,,5,1074,2561,2.1 %,5.1 %,2.7,2,0,1,3,4,0,1,3,3,0,0,3,2,,4,3,4,,19.8,13,2.4,0,-681,0.0 %,-1.4 %,0,-681,0.0 %,-1.4 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,75.0 %,1074,3371,0,-681,100.0 %,100.0 %
DIVB,7d RSI DIVB LT24 - L DIVB,5.5 %,26.2 %,2752,13046,7.4 %,7.9 %,74.6 %,330.1 %,0.0 %,-8.1 %,3,7,0.2,0.6,100.0 %,85.7 %,,1.6,917,1726,1.8 %,3.5 %,2,1.9,0,1,3,4,0,1,3,3,0,0,3,4,,6,3,6,,9.3,4.3,2.3,0,-1455,0.0 %,-2.9 %,0,-1455,0.0 %,-2.9 %,0,0,0.0 %,0.0 %,100.0 %,85.7 %,100.0 %,85.7 %,100.0 %,83.3 %,917,2256,0,-1455,100.0 %,100.0 %
DIVI,3d RSI DIVI LT11 - L DIVI,2.6 %,12.2 %,1287,6052,16.7 %,5.5 %,15.4 %,218.7 %,0.0 %,-1.8 %,4,5,0.3,0.4,100.0 %,80.0 %,,4.4,322,1187,0.6 %,2.4 %,2.2,1.8,0,1,4,4,0,1,4,3,0,1,4,2,,4,4,4,,17.7,13.7,1.6,0,-356,0.0 %,-0.7 %,0,-356,0.0 %,-0.7 %,0,-356,0.0 %,-0.7 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,75.0 %,322,1573,0,-356,100.0 %,66.7 %
DLN,10d RSI DLN LT28 - L DLN,3.0 %,25.6 %,1496,12739,8.6 %,5.9 %,34.9 %,429.7 %,0.0 %,-9.3 %,2,5,0.2,0.4,100.0 %,80.0 %,,3.6,748,2375,1.5 %,4.8 %,2,2,0,1,2,4,0,1,2,3,0,0,2,2,,4,2,4,,14.2,80.1,2.5,0,-897,0.0 %,-1.8 %,0,-897,0.0 %,-1.8 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,75.0 %,748,3193,0,-897,100.0 %,100.0 %
DOG,11d RSI DOG LT26 - L DOG,3.3 %,3.2 %,1635,1583,4.9 %,5.5 %,67.2 %,57.2 %,-0.1 %,-1.8 %,3,4,0.2,0.3,66.7 %,75.0 %,12.9,3.4,545,396,1.1 %,0.8 %,2,2.5,1,1,1,2,1,0,1,3,1,1,1,2,2,3,2,3,25.7,10.2,1.2,1.4,-132,-173,-0.1 %,-0.3 %,-132,0,-0.1 %,0.0 %,-132,-173,-0.1 %,-0.3 %,66.7 %,75.0 %,66.7 %,75.0 %,66.7 %,100.0 %,850,585,-66,-173,66.7 %,75.0 %
DRV,16d RSI DRV LT33 - L DRV,2.5 %,9.5 %,1226,4737,31.4 %,5.9 %,7.8 %,159.8 %,-18.2 %,-5.1 %,9,4,0.8,0.3,77.8 %,75.0 %,0.3,7.2,136,1158,0.3 %,2.3 %,5.4,2.8,2,1,4,2,2,1,4,2,2,0,4,3,3.5,3,7,3,1.1,21.5,0.1,2.4,-20815,-226,-20.8 %,-0.5 %,-20815,-226,-20.8 %,-0.5 %,-20815,0,-20.8 %,0.0 %,77.8 %,75.0 %,77.8 %,75.0 %,77.8 %,75.0 %,1662,1620,-5204,-226,75.0 %,100.0 %
DSI,9d RSI DSI LT29 - L DSI,3.8 %,26.5 %,1918,13180,64.3 %,5.9 %,6.0 %,444.6 %,0.0 %,-8.7 %,2,5,0.2,0.4,100.0 %,80.0 %,,4.8,959,2449,1.9 %,4.9 %,3.5,2,0,1,2,4,0,1,2,3,0,0,2,2,,4,2,4,,19.4,3,2.5,0,-666,0.0 %,-1.3 %,0,-666,0.0 %,-1.3 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,75.0 %,959,3227,0,-666,100.0 %,100.0 %
