oos_year,ticker,ours_branch_id,sheet_branch_id,status
2025,AAXJ,20d RSI AAXJ LT41 - L AAXJ,20d RSI AAXJ LT41 - L AAXJ,exact_both
2025,ACWV,13d RSI ACWV LT34 - L ACWV,13d RSI ACWV LT34 - L ACWV,exact_both
2025,ANGL,4d RSI ANGL LT11 - L ANGL,4d RSI ANGL LT11 - L ANGL,exact_both
2025,AOA,13d RSI AOA LT32 - L AOA,13d RSI AOA LT32 - L AOA,exact_both
2025,AOK,3d RSI AOK LT10 - L AOK,3d RSI AOK LT10 - L AOK,exact_both
2025,AOM,19d RSI AOM LT44 - L AOM,19d RSI AOM LT44 - L AOM,exact_both
2025,AOR,3d RSI AOR LT10 - L AOR,3d RSI AOR LT10 - L AOR,exact_both
2025,ARKK,5d RSI ARKK LT15 - L ARKK,5d RSI ARKK LT15 - L ARKK,exact_both
2025,ARKW,3d RSI ARKW LT10 - L ARKW,3d RSI ARKW LT10 - L ARKW,exact_both
2025,BAR,3d RSI BAR LT13 - L BAR,3d RSI BAR LT13 - L BAR,exact_both
2025,BLV,10d RSI BLV LT26 - L BLV,10d RSI BLV LT26 - L BLV,exact_both
2025,BND,5d RSI BND LT19 - L BND,5d RSI BND LT19 - L BND,exact_both
2025,BNDX,4d RSI BNDX LT20 - L BNDX,4d RSI BNDX LT20 - L BNDX,exact_both
2025,BNO,4d RSI BNO LT16 - L BNO,4d RSI BNO LT16 - L BNO,exact_both
2025,BSV,3d RSI BSV LT11 - L BSV,3d RSI BSV LT11 - L BSV,exact_both
2025,BWX,21d RSI BWX LT36 - L BWX,21d RSI BWX LT36 - L BWX,exact_both
2025,CALF,19d RSI CALF LT36 - L CALF,19d RSI CALF LT36 - L CALF,exact_both
2025,CEF,5d RSI CEF LT20 - L CEF,5d RSI CEF LT20 - L CEF,exact_both
2025,COLO,6d RSI COLO LT18 - L COLO,6d RSI COLO LT18 - L COLO,exact_both
2025,COPX,16d RSI COPX LT35 - L COPX,16d RSI COPX LT35 - L COPX,exact_both
2025,COWZ,19d RSI COWZ LT40 - L COWZ,19d RSI COWZ LT40 - L COWZ,exact_both
2025,CPER,17d RSI CPER LT36 - L CPER,17d RSI CPER LT36 - L CPER,exact_both
2025,CQQQ,3d RSI CQQQ LT12 - L CQQQ,3d RSI CQQQ LT12 - L CQQQ,exact_both
2025,CWI,11d RSI CWI LT30 - L CWI,11d RSI CWI LT30 - L CWI,exact_both
2025,DBA,13d RSI DBA LT36 - L DBA,13d RSI DBA LT36 - L DBA,exact_both
2025,DBC,14d RSI DBC LT32 - L DBC,14d RSI DBC LT32 - L DBC,exact_both
2025,DBEF,3d RSI DBEF LT10 - L DBEF,3d RSI DBEF LT10 - L DBEF,exact_both
2025,DDM,15d RSI DDM LT39 - L DDM,15d RSI DDM LT39 - L DDM,exact_both
2025,DDWM,3d RSI DDWM LT12 - L DDWM,3d RSI DDWM LT12 - L DDWM,exact_both
2025,DEM,12d RSI DEM LT32 - L DEM,12d RSI DEM LT32 - L DEM,exact_both
2025,DGRO,20d RSI DGRO LT44 - L DGRO,20d RSI DGRO LT44 - L DGRO,exact_both
2025,DGS,4d RSI DGS LT13 - L DGS,4d RSI DGS LT13 - L DGS,exact_both
2025,DIA,16d RSI DIA LT41 - L DIA,16d RSI DIA LT41 - L DIA,exact_both
2025,DIVB,13d RSI DIVB LT33 - L DIVB,13d RSI DIVB LT33 - L DIVB,exact_both
2025,DIVI,17d RSI DIVI LT39 - L DIVI,17d RSI DIVI LT39 - L DIVI,exact_both
2025,DIVO,15d RSI DIVO LT39 - L DIVO,15d RSI DIVO LT39 - L DIVO,exact_both
2025,DLN,18d RSI DLN LT40 - L DLN,18d RSI DLN LT40 - L DLN,exact_both
2025,DPST,19d RSI DPST LT38 - L DPST,19d RSI DPST LT38 - L DPST,exact_both
2025,DRN,20d RSI DRN LT36 - L DRN,20d RSI DRN LT36 - L DRN,exact_both
2025,DSI,6d RSI DSI LT23 - L DSI,6d RSI DSI LT23 - L DSI,exact_both
2025,DVY,20d RSI DVY LT43 - L DVY,20d RSI DVY LT43 - L DVY,exact_both
2025,DVYE,7d RSI DVYE LT25 - L DVYE,7d RSI DVYE LT25 - L DVYE,exact_both
2025,DXJ,3d RSI DXJ LT11 - L DXJ,3d RSI DXJ LT11 - L DXJ,exact_both
2025,EDC,21d RSI EDC LT39 - L EDC,21d RSI EDC LT39 - L EDC,exact_both
2025,EDZ,19d RSI EDZ LT33 - L EDZ,19d RSI EDZ LT33 - L EDZ,exact_both
2025,EEM,17d RSI EEM LT38 - L EEM,17d RSI EEM LT38 - L EEM,exact_both
2025,EEMA,11d RSI EEMA LT33 - L EEMA,11d RSI EEMA LT33 - L EEMA,exact_both
2025,EFAV,20d RSI EFAV LT37 - L EFAV,20d RSI EFAV LT37 - L EFAV,exact_both
2025,EFG,20d RSI EFG LT37 - L EFG,20d RSI EFG LT37 - L EFG,exact_both
2025,EIS,10d RSI EIS LT37 - L EIS,10d RSI EIS LT37 - L EIS,exact_both
2025,EMB,4d RSI EMB LT16 - L EMB,4d RSI EMB LT16 - L EMB,exact_both
2025,EMGF,15d RSI EMGF LT38 - L EMGF,15d RSI EMGF LT38 - L EMGF,exact_both
2025,EMLP,17d RSI EMLP LT42 - L EMLP,17d RSI EMLP LT42 - L EMLP,exact_both
2025,EPHE,6d RSI EPHE LT13 - L EPHE,6d RSI EPHE LT13 - L EPHE,exact_both
2025,EPI,13d RSI EPI LT31 - L EPI,13d RSI EPI LT31 - L EPI,exact_both
2025,EPP,21d RSI EPP LT40 - L EPP,21d RSI EPP LT40 - L EPP,exact_both
2025,EPU,3d RSI EPU LT11 - L EPU,3d RSI EPU LT11 - L EPU,exact_both
2025,EQWL,14d RSI EQWL LT35 - L EQWL,14d RSI EQWL LT35 - L EQWL,exact_both
2025,ERX,19d RSI ERX LT37 - L ERX,19d RSI ERX LT37 - L ERX,exact_both
2025,ERY,6d RSI ERY LT10 - L ERY,6d RSI ERY LT10 - L ERY,exact_both
2025,ESGU,4d RSI ESGU LT13 - L ESGU,4d RSI ESGU LT13 - L ESGU,exact_both
2025,EUFN,16d RSI EUFN LT42 - L EUFN,16d RSI EUFN LT42 - L EUFN,exact_both
2025,EWA,3d RSI EWA LT11 - L EWA,3d RSI EWA LT11 - L EWA,exact_both
2025,EWC,15d RSI EWC LT38 - L EWC,15d RSI EWC LT38 - L EWC,exact_both
2025,EWG,19d RSI EWG LT41 - L EWG,19d RSI EWG LT41 - L EWG,exact_both
2025,EWJ,3d RSI EWJ LT10 - L EWJ,3d RSI EWJ LT10 - L EWJ,exact_both
2025,EWL,4d RSI EWL LT15 - L EWL,4d RSI EWL LT15 - L EWL,exact_both
2025,EWM,19d RSI EWM LT37 - L EWM,19d RSI EWM LT37 - L EWM,exact_both
2025,EWQ,9d RSI EWQ LT27 - L EWQ,9d RSI EWQ LT27 - L EWQ,exact_both
2025,FAS,21d RSI FAS LT43 - L FAS,21d RSI FAS LT43 - L FAS,exact_both
2025,FBND,5d RSI FBND LT18 - L FBND,5d RSI FBND LT18 - L FBND,exact_both
2025,FBT,4d RSI FBT LT13 - L FBT,4d RSI FBT LT13 - L FBT,exact_both
2025,FCG,4d RSI FCG LT12 - L FCG,4d RSI FCG LT12 - L FCG,exact_both
2025,FDN,4d RSI FDN LT18 - L FDN,4d RSI FDN LT18 - L FDN,exact_both
2025,FDVV,21d RSI FDVV LT45 - L FDVV,21d RSI FDVV LT45 - L FDVV,exact_both
2025,FEZ,6d RSI FEZ LT23 - L FEZ,6d RSI FEZ LT23 - L FEZ,exact_both
2025,FHLC,8d RSI FHLC LT22 - L FHLC,8d RSI FHLC LT22 - L FHLC,exact_both
2025,FIDU,11d RSI FIDU LT33 - L FIDU,11d RSI FIDU LT33 - L FIDU,exact_both
2025,FLCH,5d RSI FLCH LT22 - L FLCH,5d RSI FLCH LT22 - L FLCH,exact_both
2025,FLKR,10d RSI FLKR LT25 - L FLKR,10d RSI FLKR LT25 - L FLKR,exact_both
2025,FLQM,12d RSI FLQM LT32 - L FLQM,12d RSI FLQM LT32 - L FLQM,exact_both
