oos_year,start_date,end_date,trading_days,avg_active_positions,total_entries,total_exits,total_realized_positions_closed,total_unrealized_open_positions,total_daily_pnl,cumulative_return_sum,max_daily_return,min_daily_return,final_equity,max_equity,min_equity,net_profit_pct_vs_100k
2020,2020-01-02,2020-12-31,253,118.56126482213439,8279,8255,8255,29996,14467.33035326811,0.14467330353267885,0.0843844825131115,-0.0989430598804217,114467.3303532681,115886.84384511344,63939.51298125272,0.14467330353268104
2021,2021-01-04,2021-12-31,252,70.56746031746032,4878,4845,4845,17783,7682.868038711997,0.07682868038711968,0.034002478044976,-0.0222252397978443,107682.868038712,107682.868038712,97887.4907602393,0.07682868038711987
2022,2022-01-03,2022-12-30,251,188.71314741035857,13031,12970,12970,47367,11009.493189706518,0.11009493189706511,0.0458817567831348,-0.0343012898680726,111009.49318970653,112632.76603963671,92341.32310825956,0.1100949318970652
2023,2023-01-03,2023-12-29,250,43.368,3224,3211,3211,10842,-4747.641019388375,-0.0474764101938842,0.0309044323540259,-0.0473627741292692,95252.35898061162,105806.09644660256,92427.2844933841,-0.04747641019388382
2024,2024-01-02,2024-12-31,252,48.96825396825397,3883,3793,3793,12340,23640.181814980337,0.23640181814980252,0.026732407519756,-0.052901523278457,123640.18181498031,130395.96962020975,100000.0,0.2364018181498031
2025,2025-01-02,2025-12-31,250,81.332,5978,5961,5961,20333,69099.64791965741,0.6909964791965704,0.0897807303491693,-0.0551874744890681,169099.6479196574,169779.6276961947,92671.81090020276,0.6909964791965741
2026,2026-01-02,2026-03-27,59,147.76271186440678,2617,2191,2191,8718,8254.39958978858,0.0825439958978857,0.049966999380564,-0.0192415112464983,108254.39958978858,114866.95435260417,100000.0,0.08254399589788575
