oos_year,ticker,ours_branch_id,sheet_branch_id,status
2026,AAXJ,13d RSI AAXJ LT37 - L AAXJ,13d RSI AAXJ LT37 - L AAXJ,exact_both
2026,ACWX,17d RSI ACWX LT41 - L ACWX,17d RSI ACWX LT41 - L ACWX,exact_both
2026,AGG,4d RSI AGG LT21 - L AGG,4d RSI AGG LT21 - L AGG,exact_both
2026,AOA,3d RSI AOA LT13 - L AOA,3d RSI AOA LT13 - L AOA,exact_both
2026,ARKW,19d RSI ARKW LT35 - L ARKW,19d RSI ARKW LT35 - L ARKW,exact_both
2026,ASHR,5d RSI ASHR LT17 - L ASHR,5d RSI ASHR LT17 - L ASHR,exact_both
2026,BBHY,3d RSI BBHY LT17 - L BBHY,3d RSI BBHY LT17 - L BBHY,exact_both
2026,BIV,3d RSI BIV LT13 - L BIV,3d RSI BIV LT13 - L BIV,exact_both
2026,BLV,3d RSI BLV LT11 - L BLV,3d RSI BLV LT11 - L BLV,exact_both
2026,BND,3d RSI BND LT16 - L BND,3d RSI BND LT16 - L BND,exact_both
2026,BNDX,4d RSI BNDX LT15 - L BNDX,4d RSI BNDX LT15 - L BNDX,exact_both
2026,BOND,15d RSI BOND LT40 - L BOND,15d RSI BOND LT40 - L BOND,exact_both
2026,BOTZ,4d RSI BOTZ LT13 - L BOTZ,4d RSI BOTZ LT13 - L BOTZ,exact_both
2026,BWX,4d RSI BWX LT12 - L BWX,4d RSI BWX LT12 - L BWX,exact_both
2026,BWZ,10d RSI BWZ LT29 - L BWZ,10d RSI BWZ LT29 - L BWZ,exact_both
2026,CMF,4d RSI CMF LT12 - L CMF,4d RSI CMF LT12 - L CMF,exact_both
2026,CQQQ,14d RSI CQQQ LT36 - L CQQQ,14d RSI CQQQ LT36 - L CQQQ,exact_both
2026,DBB,20d RSI DBB LT40 - L DBB,20d RSI DBB LT40 - L DBB,exact_both
2026,DBEF,15d RSI DBEF LT42 - L DBEF,15d RSI DBEF LT42 - L DBEF,exact_both
2026,DDM,8d RSI DDM LT26 - L DDM,8d RSI DDM LT26 - L DDM,exact_both
2026,DEM,3d RSI DEM LT10 - L DEM,3d RSI DEM LT10 - L DEM,exact_both
2026,DGS,4d RSI DGS LT16 - L DGS,4d RSI DGS LT16 - L DGS,exact_both
2026,DIA,8d RSI DIA LT27 - L DIA,8d RSI DIA LT27 - L DIA,exact_both
2026,DIVI,19d RSI DIVI LT42 - L DIVI,19d RSI DIVI LT42 - L DIVI,exact_both
2026,DOG,20d RSI DOG LT38 - L DOG,20d RSI DOG LT38 - L DOG,exact_both
2026,DRIP,21d RSI DRIP LT38 - L DRIP,21d RSI DRIP LT38 - L DRIP,exact_both
2026,DUST,13d RSI DUST LT21 - L DUST,13d RSI DUST LT21 - L DUST,exact_both
2026,DXD,21d RSI DXD LT38 - L DXD,21d RSI DXD LT38 - L DXD,exact_both
2026,EDV,4d RSI EDV LT16 - L EDV,4d RSI EDV LT16 - L EDV,exact_both
2026,EDZ,21d RSI EDZ LT31 - L EDZ,21d RSI EDZ LT31 - L EDZ,exact_both
2026,EEMA,15d RSI EEMA LT38 - L EEMA,15d RSI EEMA LT38 - L EEMA,exact_both
2026,EFAV,18d RSI EFAV LT41 - L EFAV,18d RSI EFAV LT41 - L EFAV,exact_both
2026,EIS,4d RSI EIS LT17 - L EIS,4d RSI EIS LT17 - L EIS,exact_both
2026,EMB,3d RSI EMB LT22 - L EMB,3d RSI EMB LT22 - L EMB,exact_both
2026,EMGF,12d RSI EMGF LT38 - L EMGF,12d RSI EMGF LT38 - L EMGF,exact_both
2026,EPHE,9d RSI EPHE LT28 - L EPHE,9d RSI EPHE LT28 - L EPHE,exact_both
2026,EPI,4d RSI EPI LT12 - L EPI,4d RSI EPI LT12 - L EPI,exact_both
2026,ERY,18d RSI ERY LT37 - L ERY,18d RSI ERY LT37 - L ERY,exact_both
2026,ESGU,6d RSI ESGU LT22 - L ESGU,6d RSI ESGU LT22 - L ESGU,exact_both
2026,EWD,3d RSI EWD LT10 - L EWD,3d RSI EWD LT10 - L EWD,exact_both
2026,EWH,21d RSI EWH LT48 - L EWH,21d RSI EWH LT48 - L EWH,exact_both
