oos_year,ticker,ours_branch_id,sheet_branch_id,status
2024,AAXJ,21d RSI AAXJ LT38 - L AAXJ,21d RSI AAXJ LT38 - L AAXJ,exact_both
2024,ARKW,19d RSI ARKW LT39 - L ARKW,19d RSI ARKW LT39 - L ARKW,exact_both
2024,BAB,21d RSI BAB LT38 - L BAB,21d RSI BAB LT38 - L BAB,exact_both
2024,BAR,20d RSI BAR LT46 - L BAR,20d RSI BAR LT46 - L BAR,exact_both
2024,BLV,4d RSI BLV LT14 - L BLV,4d RSI BLV LT14 - L BLV,exact_both
2024,BND,3d RSI BND LT10 - L BND,3d RSI BND LT10 - L BND,exact_both
2024,BNO,3d RSI BNO LT11 - L BNO,3d RSI BNO LT11 - L BNO,exact_both
2024,BOND,4d RSI BOND LT13 - L BOND,4d RSI BOND LT13 - L BOND,exact_both
2024,BWX,16d RSI BWX LT32 - L BWX,16d RSI BWX LT32 - L BWX,exact_both
2024,BWZ,12d RSI BWZ LT29 - L BWZ,12d RSI BWZ LT29 - L BWZ,exact_both
2024,CALF,20d RSI CALF LT41 - L CALF,20d RSI CALF LT41 - L CALF,exact_both
2024,COPX,20d RSI COPX LT36 - L COPX,20d RSI COPX LT36 - L COPX,exact_both
2024,CORN,19d RSI CORN LT30 - L CORN,19d RSI CORN LT30 - L CORN,exact_both
2024,COWZ,10d RSI COWZ LT32 - L COWZ,10d RSI COWZ LT32 - L COWZ,exact_both
2024,CQQQ,11d RSI CQQQ LT28 - L CQQQ,11d RSI CQQQ LT28 - L CQQQ,exact_both
2024,CWB,7d RSI CWB LT19 - L CWB,7d RSI CWB LT19 - L CWB,exact_both
2024,DBC,11d RSI DBC LT29 - L DBC,11d RSI DBC LT29 - L DBC,exact_both
2024,DDM,6d RSI DDM LT20 - L DDM,6d RSI DDM LT20 - L DDM,exact_both
2024,DEM,19d RSI DEM LT40 - L DEM,19d RSI DEM LT40 - L DEM,exact_both
2024,DGRO,4d RSI DGRO LT13 - L DGRO,4d RSI DGRO LT13 - L DGRO,exact_both
2024,DIA,6d RSI DIA LT21 - L DIA,6d RSI DIA LT21 - L DIA,exact_both
2024,DIV,18d RSI DIV LT32 - L DIV,18d RSI DIV LT32 - L DIV,exact_both
2024,DOG,21d RSI DOG LT45 - L DOG,21d RSI DOG LT45 - L DOG,exact_both
2024,DON,19d RSI DON LT36 - L DON,19d RSI DON LT36 - L DON,exact_both
2024,DRIP,21d RSI DRIP LT34 - L DRIP,21d RSI DRIP LT34 - L DRIP,exact_both
2024,DRN,7d RSI DRN LT18 - L DRN,7d RSI DRN LT18 - L DRN,exact_both
2024,DSI,17d RSI DSI LT36 - L DSI,17d RSI DSI LT36 - L DSI,exact_both
2024,DUST,21d RSI DUST LT35 - L DUST,21d RSI DUST LT35 - L DUST,exact_both
2024,ECH,5d RSI ECH LT15 - L ECH,5d RSI ECH LT15 - L ECH,exact_both
2024,EDC,14d RSI EDC LT33 - L EDC,14d RSI EDC LT33 - L EDC,exact_both
2024,EDIV,3d RSI EDIV LT17 - L EDIV,3d RSI EDIV LT17 - L EDIV,exact_both
2024,EDV,3d RSI EDV LT10 - L EDV,3d RSI EDV LT10 - L EDV,exact_both
2024,EDZ,4d RSI EDZ LT13 - L EDZ,4d RSI EDZ LT13 - L EDZ,exact_both
2024,EEMA,17d RSI EEMA LT36 - L EEMA,17d RSI EEMA LT36 - L EEMA,exact_both
2024,EFAV,14d RSI EFAV LT31 - L EFAV,14d RSI EFAV LT31 - L EFAV,exact_both
2024,EIDO,10d RSI EIDO LT22 - L EIDO,10d RSI EIDO LT22 - L EIDO,exact_both
2024,EIS,4d RSI EIS LT12 - L EIS,4d RSI EIS LT12 - L EIS,exact_both
2024,EMB,4d RSI EMB LT10 - L EMB,4d RSI EMB LT10 - L EMB,exact_both
2024,EMXC,13d RSI EMXC LT31 - L EMXC,13d RSI EMXC LT31 - L EMXC,exact_both
2024,EPI,3d RSI EPI LT14 - L EPI,3d RSI EPI LT14 - L EPI,exact_both
2024,EPOL,10d RSI EPOL LT26 - L EPOL,10d RSI EPOL LT26 - L EPOL,exact_both
2024,EPP,20d RSI EPP LT36 - L EPP,20d RSI EPP LT36 - L EPP,exact_both
2024,ERX,20d RSI ERX LT37 - L ERX,20d RSI ERX LT37 - L ERX,exact_both
2024,EWL,16d RSI EWL LT33 - L EWL,16d RSI EWL LT33 - L EWL,exact_both
2024,EWS,21d RSI EWS LT39 - L EWS,21d RSI EWS LT39 - L EWS,exact_both
