oos_year,ticker,ours_branch_id,sheet_branch_id,status
2021,AIA,15d RSI AIA LT35 - L AIA,15d RSI AIA LT35 - L AIA,exact_both
2021,ANGL,3d RSI ANGL LT10 - L ANGL,3d RSI ANGL LT10 - L ANGL,exact_both
2021,ARKK,3d RSI ARKK LT11 - L ARKK,3d RSI ARKK LT11 - L ARKK,exact_both
2021,ARKQ,3d RSI ARKQ LT10 - L ARKQ,3d RSI ARKQ LT10 - L ARKQ,exact_both
2021,BBHY,5d RSI BBHY LT11 - L BBHY,5d RSI BBHY LT11 - L BBHY,exact_both
2021,BCI,5d RSI BCI LT10 - L BCI,5d RSI BCI LT10 - L BCI,exact_both
2021,BND,14d RSI BND LT39 - L BND,14d RSI BND LT39 - L BND,exact_both
2021,BNDX,3d RSI BNDX LT11 - L BNDX,3d RSI BNDX LT11 - L BNDX,exact_both
2021,BTAL,5d RSI BTAL LT17 - L BTAL,5d RSI BTAL LT17 - L BTAL,exact_both
2021,CHAU,19d RSI CHAU LT42 - L CHAU,19d RSI CHAU LT42 - L CHAU,exact_both
2021,CMF,5d RSI CMF LT15 - L CMF,5d RSI CMF LT15 - L CMF,exact_both
2021,CORN,8d RSI CORN LT24 - L CORN,8d RSI CORN LT24 - L CORN,exact_both
2021,DBEF,10d RSI DBEF LT26 - L DBEF,10d RSI DBEF LT26 - L DBEF,exact_both
2021,DEM,8d RSI DEM LT22 - L DEM,8d RSI DEM LT22 - L DEM,exact_both
2021,DGRW,3d RSI DGRW LT15 - L DGRW,3d RSI DGRW LT15 - L DGRW,exact_both
2021,DLN,10d RSI DLN LT28 - L DLN,10d RSI DLN LT28 - L DLN,exact_both
2021,DVYE,10d RSI DVYE LT26 - L DVYE,10d RSI DVYE LT26 - L DVYE,exact_both
2021,DXJ,3d RSI DXJ LT16 - L DXJ,3d RSI DXJ LT16 - L DXJ,exact_both
2021,ECH,5d RSI ECH LT12 - L ECH,5d RSI ECH LT12 - L ECH,exact_both
2021,EFV,4d RSI EFV LT11 - L EFV,4d RSI EFV LT11 - L EFV,exact_both
2021,EMGF,14d RSI EMGF LT30 - L EMGF,14d RSI EMGF LT30 - L EMGF,exact_both
2021,EPOL,5d RSI EPOL LT10 - L EPOL,5d RSI EPOL LT10 - L EPOL,exact_both
2021,ERY,3d RSI ERY LT11 - L ERY,3d RSI ERY LT11 - L ERY,exact_both
2021,ESGE,4d RSI ESGE LT14 - L ESGE,4d RSI ESGE LT14 - L ESGE,exact_both
2021,EWH,11d RSI EWH LT30 - L EWH,11d RSI EWH LT30 - L EWH,exact_both
2021,EWP,4d RSI EWP LT11 - L EWP,4d RSI EWP LT11 - L EWP,exact_both
2021,EWQ,4d RSI EWQ LT12 - L EWQ,4d RSI EWQ LT12 - L EWQ,exact_both
2021,EWS,3d RSI EWS LT10 - L EWS,3d RSI EWS LT10 - L EWS,exact_both
2021,EWT,3d RSI EWT LT17 - L EWT,3d RSI EWT LT17 - L EWT,exact_both
2021,EWZS,3d RSI EWZS LT10 - L EWZS,3d RSI EWZS LT10 - L EWZS,exact_both
2021,FAZ,18d RSI FAZ LT32 - L FAZ,18d RSI FAZ LT32 - L FAZ,exact_both
2021,FBT,6d RSI FBT LT23 - L FBT,6d RSI FBT LT23 - L FBT,exact_both
2021,FCOM,3d RSI FCOM LT19 - L FCOM,3d RSI FCOM LT19 - L FCOM,exact_both
2021,FDIS,4d RSI FDIS LT16 - L FDIS,4d RSI FDIS LT16 - L FDIS,exact_both
2021,FDT,4d RSI FDT LT11 - L FDT,4d RSI FDT LT11 - L FDT,exact_both
2021,FDVV,3d RSI FDVV LT10 - L FDVV,3d RSI FDVV LT10 - L FDVV,exact_both
2021,FEZ,4d RSI FEZ LT11 - L FEZ,4d RSI FEZ LT11 - L FEZ,exact_both
2021,FFTY,13d RSI FFTY LT33 - L FFTY,13d RSI FFTY LT33 - L FFTY,exact_both
2021,FHLC,8d RSI FHLC LT28 - L FHLC,8d RSI FHLC LT28 - L FHLC,exact_both
2021,FIDU,7d RSI FIDU LT22 - L FIDU,7d RSI FIDU LT22 - L FIDU,exact_both
2021,FLJP,10d RSI FLJP LT23 - L FLJP,10d RSI FLJP LT23 - L FLJP,exact_both
2021,FNCL,7d RSI FNCL LT22 - L FNCL,7d RSI FNCL LT22 - L FNCL,exact_both
2021,FNDC,5d RSI FNDC LT19 - L FNDC,5d RSI FNDC LT19 - L FNDC,exact_both
2021,FNDE,6d RSI FNDE LT17 - L FNDE,6d RSI FNDE LT17 - L FNDE,exact_both
2021,FNDF,4d RSI FNDF LT11 - L FNDF,4d RSI FNDF LT11 - L FNDF,exact_both
2021,FTXL,4d RSI FTXL LT18 - L FTXL,4d RSI FTXL LT18 - L FTXL,exact_both
2021,FXE,4d RSI FXE LT11 - L FXE,4d RSI FXE LT11 - L FXE,exact_both
2021,FXI,11d RSI FXI LT29 - L FXI,11d RSI FXI LT29 - L FXI,exact_both
