oos_year,ticker,ours_branch_id,sheet_branch_id,status
2022,ACWI,15d RSI ACWI LT35 - L ACWI,15d RSI ACWI LT35 - L ACWI,exact_both
2022,ACWV,20d RSI ACWV LT39 - L ACWV,20d RSI ACWV LT39 - L ACWV,exact_both
2022,AGG,4d RSI AGG LT11 - L AGG,4d RSI AGG LT11 - L AGG,exact_both
2022,AGQ,21d RSI AGQ LT35 - L AGQ,21d RSI AGQ LT35 - L AGQ,exact_both
2022,AMLP,4d RSI AMLP LT17 - L AMLP,4d RSI AMLP LT17 - L AMLP,exact_both
2022,AOA,17d RSI AOA LT38 - L AOA,17d RSI AOA LT38 - L AOA,exact_both
2022,AOR,4d RSI AOR LT18 - L AOR,4d RSI AOR LT18 - L AOR,exact_both
2022,ARGT,21d RSI ARGT LT37 - L ARGT,21d RSI ARGT LT37 - L ARGT,exact_both
2022,ARKK,20d RSI ARKK LT34 - L ARKK,20d RSI ARKK LT34 - L ARKK,exact_both
2022,ARKQ,5d RSI ARKQ LT15 - L ARKQ,5d RSI ARKQ LT15 - L ARKQ,exact_both
2022,ARKW,12d RSI ARKW LT27 - L ARKW,12d RSI ARKW LT27 - L ARKW,exact_both
2022,ASHR,8d RSI ASHR LT26 - L ASHR,8d RSI ASHR LT26 - L ASHR,exact_both
2022,BAR,4d RSI BAR LT11 - L BAR,4d RSI BAR LT11 - L BAR,exact_both
2022,BCI,20d RSI BCI LT39 - L BCI,20d RSI BCI LT39 - L BCI,exact_both
2022,BIV,6d RSI BIV LT16 - L BIV,6d RSI BIV LT16 - L BIV,exact_both
2022,BIZD,5d RSI BIZD LT21 - L BIZD,5d RSI BIZD LT21 - L BIZD,exact_both
2022,BLV,6d RSI BLV LT18 - L BLV,6d RSI BLV LT18 - L BLV,exact_both
2022,BND,4d RSI BND LT12 - L BND,4d RSI BND LT12 - L BND,exact_both
2022,BNO,3d RSI BNO LT12 - L BNO,3d RSI BNO LT12 - L BNO,exact_both
2022,CALF,10d RSI CALF LT34 - L CALF,10d RSI CALF LT34 - L CALF,exact_both
2022,CEF,10d RSI CEF LT26 - L CEF,10d RSI CEF LT26 - L CEF,exact_both
2022,CHAU,8d RSI CHAU LT27 - L CHAU,8d RSI CHAU LT27 - L CHAU,exact_both
2022,COMT,3d RSI COMT LT10 - L COMT,3d RSI COMT LT10 - L COMT,exact_both
2022,CORN,4d RSI CORN LT16 - L CORN,4d RSI CORN LT16 - L CORN,exact_both
2022,COWZ,21d RSI COWZ LT46 - L COWZ,21d RSI COWZ LT46 - L COWZ,exact_both
2022,CPER,21d RSI CPER LT42 - L CPER,21d RSI CPER LT42 - L CPER,exact_both
2022,CQQQ,12d RSI CQQQ LT25 - L CQQQ,12d RSI CQQQ LT25 - L CQQQ,exact_both
2022,DBB,21d RSI DBB LT44 - L DBB,21d RSI DBB LT44 - L DBB,exact_both
2022,DBC,5d RSI DBC LT18 - L DBC,5d RSI DBC LT18 - L DBC,exact_both
