oos_year,ours_rows,sheet_rows,common_tickers,exact_both,same_ticker_different_branch,ours_only,sheet_only,ours_csv,sheet_csv,detail_csv
2020,1289,683,661,239,422,628,22,/home/hassanchaudhary/.openclaw/workspace/quant-multicharts/research/vbt-projects/system30_output/full_2020_2026_20260330_201102/offline_ensemble/selected_branches_for_oos_2020.csv,/home/hassanchaudhary/.openclaw/workspace/google-sheets/system30_refresh_2026-03-30/csv/04__C1_Sys_30_BR_List_for_2020.csv,/home/hassanchaudhary/.openclaw/workspace/quant-multicharts/research/vbt-projects/system30_output/full_2020_2026_20260330_201102/refresh_compare_2026-03-30/selected_branches_diff_2020.csv
2021,871,401,380,162,218,491,21,/home/hassanchaudhary/.openclaw/workspace/quant-multicharts/research/vbt-projects/system30_output/full_2020_2026_20260330_201102/offline_ensemble/selected_branches_for_oos_2021.csv,/home/hassanchaudhary/.openclaw/workspace/google-sheets/system30_refresh_2026-03-30/csv/05__C2_Sys_30_BR_List_for_2021.csv,/home/hassanchaudhary/.openclaw/workspace/quant-multicharts/research/vbt-projects/system30_output/full_2020_2026_20260330_201102/refresh_compare_2026-03-30/selected_branches_diff_2021.csv
2022,1345,676,662,306,356,683,14,/home/hassanchaudhary/.openclaw/workspace/quant-multicharts/research/vbt-projects/system30_output/full_2020_2026_20260330_201102/offline_ensemble/selected_branches_for_oos_2022.csv,/home/hassanchaudhary/.openclaw/workspace/google-sheets/system30_refresh_2026-03-30/csv/06__C3_Sys_30_BR_List_for_2022.csv,/home/hassanchaudhary/.openclaw/workspace/quant-multicharts/research/vbt-projects/system30_output/full_2020_2026_20260330_201102/refresh_compare_2026-03-30/selected_branches_diff_2022.csv
2023,1314,515,509,304,205,805,6,/home/hassanchaudhary/.openclaw/workspace/quant-multicharts/research/vbt-projects/system30_output/full_2020_2026_20260330_201102/offline_ensemble/selected_branches_for_oos_2023.csv,/home/hassanchaudhary/.openclaw/workspace/google-sheets/system30_refresh_2026-03-30/csv/07__C4_Sys_30_BR_List_for_2023.csv,/home/hassanchaudhary/.openclaw/workspace/quant-multicharts/research/vbt-projects/system30_output/full_2020_2026_20260330_201102/refresh_compare_2026-03-30/selected_branches_diff_2023.csv
2024,1360,598,587,263,324,773,11,/home/hassanchaudhary/.openclaw/workspace/quant-multicharts/research/vbt-projects/system30_output/full_2020_2026_20260330_201102/offline_ensemble/selected_branches_for_oos_2024.csv,/home/hassanchaudhary/.openclaw/workspace/google-sheets/system30_refresh_2026-03-30/csv/08__C5_Sys_30_BR_List_for_2024.csv,/home/hassanchaudhary/.openclaw/workspace/quant-multicharts/research/vbt-projects/system30_output/full_2020_2026_20260330_201102/refresh_compare_2026-03-30/selected_branches_diff_2024.csv
2025,1386,664,654,342,312,732,10,/home/hassanchaudhary/.openclaw/workspace/quant-multicharts/research/vbt-projects/system30_output/full_2020_2026_20260330_201102/offline_ensemble/selected_branches_for_oos_2025.csv,/home/hassanchaudhary/.openclaw/workspace/google-sheets/system30_refresh_2026-03-30/csv/09__C6_Sys_30_BR_List_for_2025.csv,/home/hassanchaudhary/.openclaw/workspace/quant-multicharts/research/vbt-projects/system30_output/full_2020_2026_20260330_201102/refresh_compare_2026-03-30/selected_branches_diff_2025.csv
2026,1364,491,485,197,288,879,6,/home/hassanchaudhary/.openclaw/workspace/quant-multicharts/research/vbt-projects/system30_output/full_2020_2026_20260330_201102/offline_ensemble/selected_branches_for_oos_2026.csv,/home/hassanchaudhary/.openclaw/workspace/google-sheets/system30_refresh_2026-03-30/csv/10__C7_Sys_30_BR_List_for_2026.csv,/home/hassanchaudhary/.openclaw/workspace/quant-multicharts/research/vbt-projects/system30_output/full_2020_2026_20260330_201102/refresh_compare_2026-03-30/selected_branches_diff_2026.csv
